source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_key,normalized_opponent_name,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,site_research_status,site_research_basis,notes,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id,source_series_event_note
HOU-R-00017,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1950-1951,1951,1951-02-03,Midwestern,midwestern-state,Midwestern State,No,58,36,W,0,,,HOME_BOLD,SOURCE_PROGRAM_HOME,,Jeppesen Fieldhouse,Houston,TX,,,REGULAR_SEASON,,printed page 163,F3 | W 58-36 | Midwestern,resolved,,,,,,,,
HOU-R-00018,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1950-1951,1951,1951-02-06,* #5/ Bradley,bradley,Bradley,Yes,47,60,L,0,,,HOME_BOLD,SOURCE_PROGRAM_HOME,,Jeppesen Fieldhouse,Houston,TX,,,REGULAR_SEASON,,printed page 163,F6 | L 47-60 | * #5/ Bradley,resolved,,,,,,,,
HOU-R-00019,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1950-1951,1951,1951-02-10,* Tulsa,tulsa,Tulsa,Yes,45,50,L,0,,,HOME_BOLD,SOURCE_PROGRAM_HOME,,Jeppesen Fieldhouse,Houston,TX,,,REGULAR_SEASON,,printed page 163,F10 L 45-50 | * Tulsa,resolved,,,,,,,,
HOU-R-00020,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1950-1951,1951,1951-02-13,* at Detroit,detroit-mercy,Detroit Mercy,Yes,61,70,L,0,,,AT,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,printed page 163,F13 L 61-70 | * at Detroit,resolved,,,,,,,,
HOU-R-00021,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1950-1951,1951,1951-02-14,* at Detroit,detroit-mercy,Detroit Mercy,Yes,73,93,L,0,,,AT,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,printed page 163,F14 L 73-93 | * at Detroit,resolved,,,,,,,,
HOU-R-00022,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1950-1951,1951,1951-02-21,* #2/ Oklahoma State,oklahoma-state,Oklahoma State,Yes,52,61,L,0,,,HOME_BOLD,SOURCE_PROGRAM_HOME,,Jeppesen Fieldhouse,Houston,TX,,,REGULAR_SEASON,,printed page 163,F21 L 52-61 | * #2/ Oklahoma State,resolved,,,,,,,,
HOU-R-00023,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1950-1951,1951,1951-02-23,at North Texas,north-texas,North Texas,Yes,57,60,L,0,,,AT,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,printed page 163,F23 L 57-60 | at North Texas,resolved,,,,,,,,
HOU-R-00024,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1950-1951,1951,1951-02-24,at Oklahoma City,oklahoma-city,Oklahoma City,No,54,57,L,0,,,AT,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,printed page 163,F24 L 54-57 | at Oklahoma City,resolved,,,,,,,,
HOU-R-00025,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1950-1951,1951,1951-02-27,Trinity,trinity-texas,Trinity (TX),No,72,61,W,0,,,HOME_BOLD,SOURCE_PROGRAM_HOME,,Jeppesen Fieldhouse,Houston,TX,,,REGULAR_SEASON,,printed page 163,F27 W 72-61 | Trinity,resolved,,,,,,,,
HOU-R-00026,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1950-1951,1951,1951-03-02,at Texas A&M,texas-a-m,Texas A&M,Yes,46,55,L,0,,,AT,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,printed page 163,M2 | L 46-55 | at Texas A&M,resolved,,,,,,,,
HOU-R-00027,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1950-1951,1951,1951-03-05,* at Tulsa,tulsa,Tulsa,Yes,44,60,L,0,,,AT,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,printed page 163,M5 | L 44-60 | * at Tulsa,resolved,,,,,,,,
HOU-R-00028,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1950-1951,1951,1951-03-07,* at #2/ Oklahoma State,oklahoma-state,Oklahoma State,Yes,39,57,L,0,,,AT,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,printed page 163,M7 | L 39-57 | * at #2/ Oklahoma State,resolved,,,,,,,,
HOU-R-00029,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1951-1952,1952,1951-12-08,at Texas A&M,texas-a-m,Texas A&M,Yes,38,29,W,0,,,AT,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,printed page 163,D8 | W 38-29 | at Texas A&M,resolved,,,,,,,,
HOU-R-00030,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1951-1952,1952,1951-12-15,Oklahoma City,oklahoma-city,Oklahoma City,No,39,42,L,0,,,HOME_BOLD,SOURCE_PROGRAM_HOME,,Jeppesen Fieldhouse,Houston,TX,,,REGULAR_SEASON,,printed page 163,D15 L 39-42 | Oklahoma City,resolved,,,,,,,,
HOU-R-00031,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1951-1952,1952,1951-12-19,Murray State,murray-state,Murray State,Yes,65,67,L,0,,,HOME_BOLD,SOURCE_PROGRAM_HOME,,Jeppesen Fieldhouse,Houston,TX,,,REGULAR_SEASON,,printed page 163,D19 L 65-67 | Murray State,resolved,,,,,,,,
HOU-R-00032,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1951-1952,1952,1951-12-21,* Detroit,detroit-mercy,Detroit Mercy,Yes,56,73,L,0,,,HOME_BOLD,SOURCE_PROGRAM_HOME,,Jeppesen Fieldhouse,Houston,TX,,,REGULAR_SEASON,,printed page 163,D21 L 56-73 | * Detroit,resolved,,,,,,,,
HOU-R-00033,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1951-1952,1952,1951-12-22,* Detroit,detroit-mercy,Detroit Mercy,Yes,74,71,W,0,,,HOME_BOLD,SOURCE_PROGRAM_HOME,,Rice Gymnasium / Autry Court,Houston,TX,,,REGULAR_SEASON,,printed page 163,D22 W 74-71 | * Detroit,resolved,,,,,,,,
HOU-R-00034,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1951-1952,1952,1952-01-02,* #5/ Saint Louis,saint-louis,Saint Louis,Yes,57,64,L,0,,,HOME_BOLD,SOURCE_PROGRAM_HOME,,Rice Gymnasium / Autry Court,Houston,TX,,,REGULAR_SEASON,,printed page 163,J2 | L 57-64 | * #5/ Saint Louis,resolved,,,,,,,,
HOU-R-00035,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1951-1952,1952,1952-01-04,* Tulsa,tulsa,Tulsa,Yes,42,41,W,0,,,HOME_BOLD,SOURCE_PROGRAM_HOME,,Rice Gymnasium / Autry Court,Houston,TX,,,REGULAR_SEASON,,printed page 163,J4 | W 42-41 | * Tulsa,resolved,,,,,,,,
HOU-R-00036,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1951-1952,1952,1952-01-11,* at Oklahoma State,oklahoma-state,Oklahoma State,Yes,44,71,L,0,,,AT,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,printed page 163,J11 L 44-71 | * at Oklahoma State,resolved,,,,,,,,
HOU-R-00037,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1951-1952,1952,1952-01-19,Sam Houston,sam-houston,Sam Houston,Yes,60,57,W,1,,,HOME_BOLD,SOURCE_PROGRAM_HOME,,Jeppesen Fieldhouse,Houston,TX,,,REGULAR_SEASON,,printed page 163,J19 W 60-57 (OT) | Sam Houston,resolved,,,,,,,,
HOU-R-00038,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1951-1952,1952,1952-01-25,Texas A&M,texas-a-m,Texas A&M,Yes,52,44,W,0,,,HOME_BOLD,SOURCE_PROGRAM_HOME,,Jeppesen Fieldhouse,Houston,TX,,,REGULAR_SEASON,,printed page 163,J25 W 52-44 | Texas A&M,resolved,,,,,,,,
HOU-R-00039,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1951-1952,1952,1952-01-30,at Sam Houston,sam-houston,Sam Houston,Yes,67,62,W,1,,,AT,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,printed page 163,J30 W 67-62 (OT) | at Sam Houston,resolved,,,,,,,,
HOU-R-00040,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1951-1952,1952,1952-02-01,* at Tulsa,tulsa,Tulsa,Yes,52,55,L,0,,,AT,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,printed page 163,F1 | L 52-55 | * at Tulsa,resolved,,,,,,,,
HOU-R-00041,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1951-1952,1952,1952-02-02,at #16/ Oklahoma City,oklahoma-city,Oklahoma City,No,46,51,L,0,,,AT,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,printed page 163,F2 | L 46-51 | at #16/ Oklahoma City,resolved,,,,,,,,
HOU-R-00042,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1951-1952,1952,1952-02-11,* at Wichita State,wichita-state,Wichita State,Yes,49,70,L,0,,,AT,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,printed page 163,F11 L 49-70 | * at Wichita State,resolved,,,,,,,,
HOU-R-00043,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1951-1952,1952,1952-02-12,* at Wichita State,wichita-state,Wichita State,Yes,54,53,W,0,,,AT,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,printed page 163,F12 W 54-53 | * at Wichita State,resolved,,,,,,,,
HOU-R-00044,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1951-1952,1952,1952-02-18,at Bradley,bradley,Bradley,Yes,47,74,L,0,,,AT,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,printed page 163,F18 L 47-74 | at Bradley,resolved,,,,,,,,
HOU-R-00045,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1951-1952,1952,1952-02-20,* at #9/ Saint Louis,saint-louis,Saint Louis,Yes,55,63,L,0,,,AT,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,printed page 163,F20 L 55-63 | * at #9/ Saint Louis,resolved,,,,,,,,
HOU-R-00046,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1951-1952,1952,1952-02-27,Bradley,bradley,Bradley,Yes,50,54,L,0,,,HOME_BOLD,SOURCE_PROGRAM_HOME,,Jeppesen Fieldhouse,Houston,TX,,,REGULAR_SEASON,,printed page 163,F27 L 50-54 | Bradley,resolved,,,,,,,,
HOU-R-00047,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1951-1952,1952,1952-03-01,Drake,drake,Drake,Yes,47,76,L,0,,,HOME_BOLD,SOURCE_PROGRAM_HOME,,Jeppesen Fieldhouse,Houston,TX,,,REGULAR_SEASON,,printed page 163,M1 L 47-76 | Drake,resolved,,,,,,,,
HOU-R-00048,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1951-1952,1952,1952-03-03,Drake,drake,Drake,Yes,68,82,L,0,,,HOME_BOLD,SOURCE_PROGRAM_HOME,,Jeppesen Fieldhouse,Houston,TX,,,REGULAR_SEASON,,printed page 163,M3 L 68-82 | Drake,resolved,,,,,,,,
HOU-R-00049,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1951-1952,1952,1952-03-08,Oklahoma State,oklahoma-state,Oklahoma State,Yes,43,57,L,0,,,HOME_BOLD,SOURCE_PROGRAM_HOME,,Jeppesen Fieldhouse,Houston,TX,,,REGULAR_SEASON,,printed page 163,M8 L 43-57 | Oklahoma State,resolved,,,,,,,,
HOU-R-00050,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1952-1953,1953,1952-12-02,Hardin-Simmons (1),hardin-simmons,Hardin-Simmons,No,67,54,W,0,,,HOME_BOLD,SOURCE_PROGRAM_HOME,,Sam Houston Coliseum,Houston,TX,,,REGULAR_SEASON,,printed page 163,D2 W 67-54 | Hardin-Simmons (1),resolved,,,,,,,,
HOU-R-00051,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1952-1953,1953,1952-12-10,at Texas A&M,texas-a-m,Texas A&M,Yes,59,65,L,0,,,AT,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,printed page 163,D10 L 59-65 | at Texas A&M,resolved,,,,,,,,
HOU-R-00052,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1952-1953,1953,1952-12-16,* at Detroit,detroit-mercy,Detroit Mercy,Yes,72,69,W,1,,,AT,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,printed page 163,D16 W 72-69 (OT) | * at Detroit,resolved,,,,,,,,
HOU-R-00053,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1952-1953,1953,1952-12-17,* at Detroit,detroit-mercy,Detroit Mercy,Yes,64,74,L,0,,,AT,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,printed page 163,D17 L 64-74 | * at Detroit,resolved,,,,,,,,
HOU-R-00054,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1952-1953,1953,1952-12-19,at Murray State,murray-state,Murray State,Yes,70,66,W,0,,,AT,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,printed page 163,D19 W 70-66 | at Murray State,resolved,,,,,,,,
HOU-R-00055,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1952-1953,1953,1953-01-03,* at Wichita State,wichita-state,Wichita State,Yes,68,86,L,0,,,AT,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,printed page 163,J3 | L 68-86 | * at Wichita State,resolved,,,,,,,,
HOU-R-00056,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1952-1953,1953,1953-01-05,at #16/ Oklahoma City,oklahoma-city,Oklahoma City,No,52,68,L,0,,,AT,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,printed page 163,J5 | L 52-68 | at #16/ Oklahoma City,resolved,,,,,,,,
HOU-R-00057,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1952-1953,1953,1953-01-06,* at #17/ Tulsa,tulsa,Tulsa,Yes,60,91,L,0,,,AT,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,printed page 163,J6 | L 60-91 | * at #17/ Tulsa,resolved,,,,,,,,
HOU-R-00058,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1952-1953,1953,1953-01-12,* Saint Louis (2),saint-louis,Saint Louis,Yes,68,86,L,0,,,HOME_BOLD,SOURCE_PROGRAM_HOME,,Jeppesen Fieldhouse,Houston,TX,,,REGULAR_SEASON,,printed page 163,J12 L 68-86 | * Saint Louis (2),resolved,,,,,,,,
HOU-R-00059,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1952-1953,1953,1953-01-21,Sam Houston (2),sam-houston,Sam Houston,Yes,66,56,W,0,,,HOME_BOLD,SOURCE_PROGRAM_HOME,,Jeppesen Fieldhouse,Houston,TX,,,REGULAR_SEASON,,printed page 163,J21 W 66-56 | Sam Houston (2),resolved,,,,,,,,
HOU-R-00060,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1952-1953,1953,1953-01-24,* #11 Tulsa (1),tulsa,Tulsa,Yes,61,56,W,0,,,HOME_BOLD,SOURCE_PROGRAM_HOME,,Sam Houston Coliseum,Houston,TX,,,REGULAR_SEASON,,printed page 163,J24 W 61-56 | * #11 Tulsa (1),resolved,,,,,,,,
HOU-R-00061,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1952-1953,1953,1953-01-26,at Baylor,baylor,Baylor,Yes,62,77,L,0,,,AT,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,printed page 163,J26 L 62-77 | at Baylor,resolved,,,,,,,,
HOU-R-00062,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1952-1953,1953,1953-01-28,* at Saint Louis,saint-louis,Saint Louis,Yes,71,70,W,0,,,AT,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,printed page 163,J28 W 71-70 | * at Saint Louis,resolved,,,,,,,,
HOU-R-00063,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1952-1953,1953,1953-01-30,at Drake,drake,Drake,Yes,66,88,L,0,,,AT,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,printed page 163,J30 L 66-88 | at Drake,resolved,,,,,,,,
HOU-R-00064,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1952-1953,1953,1953-02-02,Pittsburgh (2),pittsburgh,Pittsburgh,Yes,63,66,L,0,,,HOME_BOLD,SOURCE_PROGRAM_HOME,,Jeppesen Fieldhouse,Houston,TX,,,REGULAR_SEASON,,printed page 163,F2 | L 63-66 | Pittsburgh (2),resolved,,,,,,,,
HOU-R-00065,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1952-1953,1953,1953-02-07,#16/ Oklahoma City (1),oklahoma-city,Oklahoma City,No,58,64,L,0,,,HOME_BOLD,SOURCE_PROGRAM_HOME,,Sam Houston Coliseum,Houston,TX,,,REGULAR_SEASON,,printed page 163,F7 | L 58-64 | #16/ Oklahoma City (1),resolved,,,,,,,,
HOU-R-00066,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1952-1953,1953,1953-02-17,at Texas,texas,Texas,Yes,65,79,L,0,,,AT,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,printed page 163,F17 L 65-79 | at Texas,resolved,,,,,,,,
HOU-R-00067,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1952-1953,1953,1953-02-18,* #9/ Oklahoma State (1),oklahoma-state,Oklahoma State,Yes,50,46,W,0,,,HOME_BOLD,SOURCE_PROGRAM_HOME,,Sam Houston Coliseum,Houston,TX,,,REGULAR_SEASON,,printed page 163,F18 W 50-46 | * #9/ Oklahoma State (1),resolved,,,,,,,,
HOU-R-00068,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1952-1953,1953,1953-02-21,Texas A&M (1),texas-a-m,Texas A&M,Yes,48,44,W,0,,,HOME_BOLD,SOURCE_PROGRAM_HOME,,Sam Houston Coliseum,Houston,TX,,,REGULAR_SEASON,,printed page 163,F21 W 48-44 | Texas A&M (1),resolved,,,,,,,,
HOU-R-00069,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1952-1953,1953,1953-02-25,* Wichita State (1),wichita-state,Wichita State,Yes,75,62,W,0,,,HOME_BOLD,SOURCE_PROGRAM_HOME,,Sam Houston Coliseum,Houston,TX,,,REGULAR_SEASON,,printed page 163,F25 W 75-62 | * Wichita State (1),resolved,,,,,,,,
HOU-R-00070,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1952-1953,1953,1953-03-02,Drake (1),drake,Drake,Yes,64,73,L,0,,,HOME_BOLD,SOURCE_PROGRAM_HOME,,Sam Houston Coliseum,Houston,TX,,,REGULAR_SEASON,,printed page 163,M2 L 64-73 | Drake (1),resolved,,,,,,,,
HOU-R-00071,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1952-1953,1953,1953-03-05,* at #7 Oklahoma State,oklahoma-state,Oklahoma State,Yes,48,68,L,0,,,AT,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,printed page 163,M5 | L 48-68 | * at #7 Oklahoma State,resolved,,,,,,,,
HOU-R-00072,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1953-1954,1954,1953-12-04,at Sam Houston,sam-houston,Sam Houston,Yes,89,88,W,0,,,AT,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,printed page 163,D4 | W 89-88 | at Sam Houston,resolved,,,,,,,,
HOU-R-00073,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1953-1954,1954,1953-12-08,Texas A&M,texas-a-m,Texas A&M,Yes,62,56,W,0,,,HOME_BOLD,SOURCE_PROGRAM_HOME,,Jeppesen Fieldhouse,Houston,TX,,,REGULAR_SEASON,,printed page 163,D8 W 62-56 | Texas A&M,resolved,,,,,,,,
HOU-R-00074,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1953-1954,1954,1953-12-12,at Texas,texas,Texas,Yes,64,68,L,0,,,AT,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,printed page 163,D12 L 64-68 | at Texas,resolved,,,,,,,,
HOU-R-00075,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1953-1954,1954,1953-12-15,Lamar,lamar,Lamar,Yes,78,65,W,0,,,HOME_BOLD,SOURCE_PROGRAM_HOME,,Jeppesen Fieldhouse,Houston,TX,,,REGULAR_SEASON,,printed page 163,D15 W 78-65 | Lamar,resolved,,,,,,,,
HOU-R-00076,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1953-1954,1954,1953-12-18,*Detroit,detroit-mercy,Detroit Mercy,Yes,77,62,W,0,,,HOME_BOLD,SOURCE_PROGRAM_HOME,,Jeppesen Fieldhouse,Houston,TX,,,REGULAR_SEASON,,printed page 163,D18 W 77-62 | *Detroit,resolved,,,,,,,,
