index,source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
10,texas-a-m,coleman-coliseum,VEN-000048,Coleman Coliseum,,Tuscaloosa,AL,ARENA,,,,1,2026-02-04,2026-02-04,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000048.
11,texas-a-m,college-park-center,VEN-000365,College Park Center,,Arlington,TX,ARENA,,,,1,2025-12-07,2025-12-07,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000365.
12,texas-a-m,colonial-life-arena,VEN-000049,Colonial Life Arena,,Columbia,SC,ARENA,,,,1,2025-02-01,2025-02-01,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000049.
13,texas-a-m,crypto-com-arena,VEN-000051,Crypto.com Arena,,Los Angeles,CA,ARENA,,,,1,2018-03-24,2018-03-24,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000051.
14,texas-a-m,deware-field-house,VEN-000366,DeWare Field House,,College Station,TX,ARENA,,,,421,1924-1925,1954-02-24,HOME,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000366.
15,texas-a-m,dickies-arena,VEN-000057,Dickies Arena,,Fort Worth,TX,ARENA,,,,1,2024-12-08,2024-12-08,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000057.
16,texas-a-m,enterprise-center,VEN-000060,Enterprise Center,,St. Louis,MO,ARENA,,,,1,2018-03-08,2018-03-08,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000060.
17,texas-a-m,oconnell-center,VEN-000154,Exactech Arena,,Gainesville,FL,ARENA,,,,1,2025-03-01,2025-03-01,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000154.
18,texas-a-m,fedexforum,VEN-000062,FedExForum,,Memphis,TN,ARENA,,,,2,2024-03-22,2024-03-24,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000062.
20,texas-a-m,g-rollie-white-coliseum,VEN-000334,G. Rollie White Coliseum,,College Station,TX,ARENA,,,,498,1954-12-02,1998-02-28,HOME,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000334.
21,texas-a-m,gainbridge-fieldhouse,VEN-000070,Gainbridge Fieldhouse,,Indianapolis,IN,ARENA,,,,1,2024-12-14,2024-12-14,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000070.
22,texas-a-m,gallagher-iba-arena,VEN-000072,Gallagher-Iba Arena,,Stillwater,OK,ARENA,,,,1,2025-11-09,2025-11-09,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000072.
23,texas-a-m,georgia-dome,VEN-000073,Georgia Dome,,Atlanta,GA,ARENA,,,,1,2014-03-13,2014-03-13,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000073.
24,texas-a-m,gregory-gym,VEN-000335,Gregory Gymnasium,,Austin,TX,ARENA,,,,2,1951-03-12,1951-03-13,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000335.
25,texas-a-m,hec-edmundson-pavilion,VEN-000078,Hec Edmundson Pavilion,,Seattle,WA,ARENA,,,,1,1982-03-15,1982-03-15,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000078.
26,texas-a-m,hemisfair-arena,VEN-000337,HemisFair Arena,,San Antonio,TX,ARENA,,,,2,1980-02-28,1980-03-01,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000337.
27,texas-a-m,honda-center,VEN-000082,Honda Center,,Anaheim,CA,ARENA,,,,3,2008-03-20,2016-03-24,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000082.
28,texas-a-m,hoosier-dome,VEN-000083,Hoosier Dome,,Indianapolis,IN,ARENA,,,,1,1987-03-12,1987-03-12,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000083.
29,texas-a-m,humphrey-coliseum,VEN-000087,Humphrey Coliseum,,Starkville,MS,ARENA,,,,1,2025-02-18,2025-02-18,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000087.
30,texas-a-m,vystar-veterans-memorial-arena,VEN-000227,Jacksonville Veterans Memorial Arena,,Jacksonville,FL,ARENA,,,,2,2006-03-16,2006-03-18,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000227.
31,texas-a-m,kemper-arena,VEN-000099,Kemper Arena,,Kansas City,MO,ARENA,,,,7,1997-03-06,2005-03-10,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000099.
32,texas-a-m,lakefront-arena,VEN-000367,Lakefront Arena,,New Orleans,LA,ARENA,,,,1,1994-03-16,1994-03-16,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000367.
33,texas-a-m,lloyd-noble-center,VEN-000116,Lloyd Noble Center,,Norman,OK,ARENA,,,,2,2025-01-08,2026-02-21,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000116.
34,texas-a-m,lubbock-municipal-coliseum,VEN-000119,Lubbock Municipal Coliseum,,Lubbock,TX,ARENA,,,,2,1975-03-15,1978-02-25,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000119.
35,texas-a-m,mgm-grand-garden-arena,VEN-000133,MGM Grand Garden Arena,,Paradise,NV,ARENA,,,,3,2024-11-26,2024-11-30,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000133.
36,texas-a-m,mackey-arena,VEN-000122,Mackey Arena,,West Lafayette,IN,ARENA,,,,1,1982-03-19,1982-03-19,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000122.
37,texas-a-m,madison-square-garden-1968,VEN-000124,Madison Square Garden,,New York,NY,ARENA,,,,3,1979-03-15,2022-03-31,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000124.
38,texas-a-m,pete-maravich-assembly-center,VEN-000163,Maravich Assembly Center,,Baton Rouge,LA,ARENA,,,,2,2025-03-08,2026-03-07,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000163.
39,texas-a-m,memorial-gymnasium,VEN-000130,Memorial Gymnasium,,Nashville,TN,ARENA,,,,1,2026-02-14,2026-02-14,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000130.
40,texas-a-m,mizzou-arena,VEN-000137,Mizzou Arena,,Columbia,MO,ARENA,,,,1,2025-02-08,2025-02-08,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000137.
41,texas-a-m,moody-center,VEN-000140,Moody Center,,Austin,TX,ARENA,,,,2,2025-01-25,2026-01-17,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000140.
42,texas-a-m,moody-coliseum,VEN-000141,Moody Coliseum,,Dallas,TX,ARENA,,,,2,1964-03-09,1976-02-28,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000141.
43,texas-a-m,municipal-auditorium-kc,VEN-000143,Municipal Auditorium,,Kansas City,MO,ARENA,,,,1,1951-03-22,1951-03-22,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000143.
44,texas-a-m,neville-arena,VEN-000150,Neville Arena,,Auburn,AL,ARENA,,,,1,2026-01-06,2026-01-06,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000150.
45,texas-a-m,old-gymnasium-nevada,VEN-000368,Old Gymnasium (Nevada),,Reno,NV,ARENA,,,,1,1979-03-12,1979-03-12,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000368.
46,texas-a-m,paycom-center,VEN-000162,Paycom Center,Ford Center; Chesapeake Energy Arena,Oklahoma City,OK,ARENA,,,,6,2007-03-09,2026-03-21,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Bounded venue-identity QA merged the historical Ford Center label into this same Oklahoma City physical arena; current-main physical reuse is VEN-000162. Integration rebase resolved final global venue ID VEN-000162.
47,texas-a-m,petersen-events-center,VEN-000164,Petersen Events Center,,Pittsburgh,PA,ARENA,,,,1,2025-12-02,2025-12-02,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000164.
48,texas-a-m,redbird-arena,VEN-000369,Redbird Arena,,Normal,IL,ARENA,,,,1,2014-03-24,2014-03-24,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000369.
49,texas-a-m,reed-arena,VEN-000171,Reed Arena,,College Station,TX,ARENA,,,,467,1998-11-13,2026-03-03,HOME,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000171.
50,texas-a-m,reunion-arena,VEN-000173,Reunion Arena,,Dallas,TX,ARENA,,,,24,1982-03-04,1996-03-07,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000173.
51,texas-a-m,rupp-arena,VEN-000181,Rupp Arena,,Lexington,KY,ARENA,,,,3,2007-03-15,2025-01-14,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000181.
52,texas-a-m,sjb-pavilion,VEN-000187,SJB Pavilion,,Oxford,MS,ARENA,,,,1,2025-01-21,2025-01-21,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000187.
53,texas-a-m,schollmaier-arena,VEN-000370,Schollmaier Arena,,Fort Worth,TX,ARENA,,,,1,1969-03-08,1969-03-08,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000370.
54,texas-a-m,spectrum-center,VEN-000190,Spectrum Center,,Charlotte,NC,ARENA,,,,2,2018-03-16,2018-03-20,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000190.
55,texas-a-m,numerica-veterans-arena,VEN-000152,Spokane Arena,,Spokane,WA,ARENA,,,,2,2010-03-19,2010-03-21,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000152.
56,texas-a-m,stegeman-coliseum,VEN-000198,Stegeman Coliseum,,Athens,GA,ARENA,,,,1,2026-01-31,2026-01-31,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000198.
57,texas-a-m,t-mobile-center,VEN-000202,T-Mobile Center,,Kansas City,MO,ARENA,,,,9,2008-03-13,2012-03-08,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000202.
58,texas-a-m,the-pit,VEN-000208,The Pit,,Albuquerque,NM,ARENA,,,,2,1979-03-08,1985-03-12,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000208.
59,texas-a-m,the-summit,VEN-000210,The Summit,,Houston,TX,ARENA,,,,5,1977-03-03,1984-03-10,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000210.
60,texas-a-m,unt-coliseum,VEN-000273,The Super Pit,,Denton,TX,ARENA,,,,2,1980-03-07,1980-03-09,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000273.
61,texas-a-m,thompson-boling-arena,VEN-000211,Thompson-Boling Arena at Food City Center,,Knoxville,TN,ARENA,,,,1,2026-01-13,2026-01-13,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000211.
62,texas-a-m,united-center,VEN-000217,United Center,,Chicago,IL,ARENA,,,,1,2011-03-18,2011-03-18,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000217.
63,texas-a-m,wells-fargo-arena,VEN-000228,Wells Fargo Arena,,Des Moines,IA,ARENA,,,,1,2023-03-16,2023-03-16,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000228.
64,texas-a-m,xfinity-mobile-arena,VEN-000237,Wells Fargo Center,,Philadelphia,PA,ARENA,,,,2,2009-03-19,2009-03-21,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000237.
