index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
12,texas-a-m,Alaska-Anchorage,alaska-anchorage,Alaska-anchorage,No,3,1978-1979,1984-1985,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
13,texas-a-m,ALCORN STATE,alcorn-state,Alcorn State,Yes,4,1985-1986,2021-2022,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
14,texas-a-m,AMERICAN,american-university,American University,Yes,1,2016-2017,2016-2017,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
15,texas-a-m,ANGELO STATE,angelo-state,Angelo State,No,6,1972-1973,2009-2010,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
16,texas-a-m,Arizona,arizona,Arizona,Yes,9,1949-1950,2017-2018,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
17,texas-a-m,Arizona State,arizona-state,Arizona State,Yes,6,1987-1988,2015-2016,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
18,texas-a-m,Arkansas,arkansas,Arkansas,Yes,172,1923-1924,2025-2026,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
19,texas-a-m,ARKANSAS TECH,arkansas-tech,Arkansas Tech,No,1,2011-2012,2011-2012,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
20,texas-a-m,ARKANSAS-LITTLE ROCK,little-rock,Little Rock,Yes,1,2006-2007,2006-2007,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
21,texas-a-m,ARKANSAS-PINE BLUFF,arkansas-pine-bluff,Arkansas-Pine Bluff,Yes,4,2003-2004,2013-2014,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
22,texas-a-m,ARLINGTON STATE,arlington-state,Arlington State,No,1,1964-1965,1964-1965,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
23,texas-a-m,ARMY,army,Army,Yes,1,2012-2013,2012-2013,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
24,texas-a-m,Army Pilots Personnel Training Sch.,army-pilots-personnel-training-sch,Army Pilots Personnel Training Sch.,No,1,1945-1946,1945-1946,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
25,texas-a-m,Auburn,auburn,Auburn,Yes,24,1961-1962,2025-2026,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
26,texas-a-m,AUSTIN COLLEGE,austin-college,Austin College,No,1,1924-1925,1924-1925,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
27,texas-a-m,Austin Peay,austin-peay,Austin Peay,Yes,1,1977-1978,1977-1978,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
28,texas-a-m,Baker’s Clothiers of Port Arthur,bakers-clothiers-of-port-arthur,Baker’s Clothiers Of Port Arthur,No,1,1932-1933,1932-1933,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
29,texas-a-m,Baldwin Wallace,baldwin-wallace,Baldwin Wallace,No,1,1947-1948,1947-1948,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
30,texas-a-m,Baldwin-Wallace,baldwin-wallace,Baldwin-wallace,No,1,1948-1949,1948-1949,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
31,texas-a-m,Baylor,baylor,Baylor,Yes,207,1914-1915,2015-2016,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
32,texas-a-m,BAYLOR MEDICS,baylor-medics,Baylor Medics,No,4,1919-1920,1920-1921,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
33,texas-a-m,Beaumont KP,beaumont-kp,Beaumont Kp,No,1,1935-1936,1935-1936,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
34,texas-a-m,Beaumont Mobiloilers,beaumont-mobiloilers,Beaumont Mobiloilers,No,1,1937-1938,1937-1938,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
35,texas-a-m,Beaumont YMCA,beaumont-ymca,Beaumont Ymca,No,1,1932-1933,1932-1933,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
36,texas-a-m,Bergstrom Field,bergstrom-field,Bergstrom Field,No,2,1943-1944,1944-1945,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
37,texas-a-m,Bergstrom Fld. Flyers,bergstrom-fld-flyers,Bergstrom Fld. Flyers,No,1,1945-1946,1945-1946,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
38,texas-a-m,BETHUNE-COOKMAN,bethune-cookman,Bethune-Cookman,Yes,2,1995-1996,1997-1998,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
39,texas-a-m,BIRMINGHAM SOUTHERN,birmingham-southern,Birmingham Southern,No,1,2000-2001,2000-2001,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
40,texas-a-m,Boise State,boise-state,Boise State,Yes,1,2022-2023,2022-2023,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
41,texas-a-m,Boston College,boston-college,Boston College,Yes,1,2010-2011,2010-2011,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
42,texas-a-m,Boston University,boston-university,Boston University,Yes,1,1986-1987,1986-1987,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
43,texas-a-m,Bowling Green,bowling-green,Bowling Green,Yes,2,1965-1966,1976-1977,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
44,texas-a-m,Bradley,bradley,Bradley,Yes,1,1979-1980,1979-1980,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
45,texas-a-m,Bradley Tech,bradley-tech,Bradley Tech,No,1,1941-1942,1941-1942,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
46,texas-a-m,Bradley Tech.,bradley-tech,Bradley Tech.,No,1,1946-1947,1946-1947,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
47,texas-a-m,BROOKE ARMY MEDICS,brooke-army-medics,Brooke Army Medics,No,1,1946-1947,1946-1947,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
48,texas-a-m,Brooks Field,brooks-field,Brooks Field,No,1,1943-1944,1943-1944,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
49,texas-a-m,BROWN,brown,Brown,Yes,1,1992-1993,1992-1993,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
50,texas-a-m,Brown Paper Co.,brown-paper-co,Brown Paper Co.,No,3,1932-1933,1935-1936,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
51,texas-a-m,BUCKNELL,bucknell,Bucknell,Yes,1,1993-1994,1993-1994,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
52,texas-a-m,BUFFALO,buffalo,Buffalo,Yes,2,2013-2014,2017-2018,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
53,texas-a-m,Butler,butler,Butler,Yes,1,2021-2022,2021-2022,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
54,texas-a-m,BYU,byu,BYU,Yes,3,1972-1973,2008-2009,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
55,texas-a-m,C.C. Naval Air Station,c-c-naval-air-station,C.c. Naval Air Station,No,3,1942-1943,1944-1945,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
56,texas-a-m,CAL POLY,cal-poly,Cal Poly,Yes,1,2015-2016,2015-2016,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
57,texas-a-m,Cal Santa Barbara,uc-santa-barbara,UC Santa Barbara,Yes,2,1976-1977,1979-1980,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
58,texas-a-m,Cal State Sacramento,cal-state-sacramento,Cal State Sacramento,No,1,1987-1988,1987-1988,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
59,texas-a-m,Cal-Irvine,uc-irvine,UC Irvine,Yes,1,1980-1981,1980-1981,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
60,texas-a-m,California,california,California,Yes,1,1949-1950,1949-1950,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
61,texas-a-m,CAMP BOWIE,camp-bowie,Camp Bowie,No,1,1945-1946,1945-1946,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
62,texas-a-m,Camp MacArthur,camp-macarthur,Camp Macarthur,No,1,1917-1918,1917-1918,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
63,texas-a-m,Camp Normoyle,camp-normoyle,Camp Normoyle,No,1,1944-1945,1944-1945,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
64,texas-a-m,Canisius,canisius,Canisius,Yes,1,1950-1951,1950-1951,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
65,texas-a-m,Carr-Sweeney of Houston,carr-sweeney-of-houston,Carr-sweeney Of Houston,No,2,1940-1941,1940-1941,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
66,texas-a-m,Centenary,centenary,Centenary,No,29,1925-1926,2002-2003,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
67,texas-a-m,CENTRAL ARKANSAS,central-arkansas,Central Arkansas,Yes,1,2021-2022,2021-2022,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
68,texas-a-m,Central Michigan,central-michigan,Central Michigan,Yes,1,1988-1989,1988-1989,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
69,texas-a-m,Chaminade,chaminade,Chaminade,No,1,1994-1995,1994-1995,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
70,texas-a-m,CHICAGO STATE,chicago-state,Chicago State,Yes,1,2004-2005,2004-2005,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
71,texas-a-m,Cincinnati,cincinnati,Cincinnati,Yes,1,1974-1975,1974-1975,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
72,texas-a-m,Clemson,clemson,Clemson,Yes,6,1969-1970,2009-2010,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
73,texas-a-m,College of Charleston,charleston,Charleston,Yes,1,2014-2015,2014-2015,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
74,texas-a-m,Colorado,colorado,Colorado,Yes,19,1968-1969,2022-2023,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
75,texas-a-m,COLORADO A&M,colorado-state,Colorado State,Yes,1,1952-1953,1952-1953,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
76,texas-a-m,COLORADO STATE,colorado-state,Colorado State,Yes,3,1969-1970,1997-1998,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
77,texas-a-m,Columbia,columbia,Columbia,Yes,1,1995-1996,1995-1996,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
78,texas-a-m,Connecticut,uconn,UConn,Yes,3,1982-1983,2008-2009,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
79,texas-a-m,Corpus Christi NAS,corpus-christi-nas,Corpus Christi Nas,No,2,1945-1946,1945-1946,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
80,texas-a-m,Corsicana Army Air Field,corsicana-army-air-field,Corsicana Army Air Field,No,1,1943-1944,1943-1944,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
81,texas-a-m,Creighton,creighton,Creighton,Yes,2,1971-1972,2024-2025,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
82,texas-a-m,CSUN,cal-state-northridge,Cal State Northridge,Yes,1,2016-2017,2016-2017,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
83,texas-a-m,Dallas Athletic Club,dallas-athletic-club,Dallas Athletic Club,No,1,1925-1926,1925-1926,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
84,texas-a-m,DALLAS CHRISTIAN,dallas-christian,Dallas Christian,No,1,2021-2022,2021-2022,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
85,texas-a-m,Dallas U.,dallas-u,Dallas U.,No,3,1914-1915,1915-1916,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
86,texas-a-m,Daniel Baker C.,daniel-baker-c,Daniel Baker C.,No,2,1916-1917,1916-1917,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
87,texas-a-m,Dartmouth,dartmouth,Dartmouth,Yes,1,1989-1990,1989-1990,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
88,texas-a-m,Davidson,davidson,Davidson,Yes,1,1980-1981,1980-1981,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
89,texas-a-m,Dayton,dayton,Dayton,Yes,2,1999-2000,2014-2015,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
90,texas-a-m,Decatur BC,decatur-bc,Decatur Bc,No,2,1914-1915,1914-1915,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
91,texas-a-m,DECATUR COLLEGE,decatur-college,Decatur College,No,1,1915-1916,1915-1916,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
92,texas-a-m,Decatur Gym Club,decatur-gym-club,Decatur Gym Club,No,1,1914-1915,1914-1915,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
93,texas-a-m,Decatur HS,decatur-hs,Decatur Hs,No,1,1914-1915,1914-1915,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
94,texas-a-m,Delaware State,delaware-state,Delaware State,Yes,1,1991-1992,1991-1992,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
95,texas-a-m,Denver,denver,Denver,Yes,2,1973-1974,2016-2017,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
96,texas-a-m,DePaul,depaul,DePaul,Yes,3,2004-2005,2023-2024,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
97,texas-a-m,DETROIT,detroit-mercy,Detroit Mercy,Yes,1,2007-2008,2007-2008,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
98,texas-a-m,Detroit Mercy,detroit-mercy,Detroit Mercy,Yes,1,2000-2001,2000-2001,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
99,texas-a-m,Drake,drake,Drake,Yes,4,1968-1969,1988-1989,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
100,texas-a-m,Drury College (Mo.),drury-college-mo,Drury College (mo.),No,1,1938-1939,1938-1939,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
101,texas-a-m,Duke,duke,Duke,Yes,1,1986-1987,1986-1987,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
102,texas-a-m,Duncan Field,duncan-field,Duncan Field,No,2,1942-1943,1942-1943,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
103,texas-a-m,Duquesne,duquesne,Duquesne,Yes,2,1950-1951,1968-1969,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
104,texas-a-m,East Texas A&M,east-texas-a-m,East Texas A&M,Yes,2,2024-2025,2025-2026,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
105,texas-a-m,EAST TEXAS NORMAL,east-texas-normal,East Texas Normal,No,1,1915-1916,1915-1916,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
106,texas-a-m,EAST TEXAS STATE,east-texas-a-m,East Texas A&M,Yes,3,1947-1948,1979-1980,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
107,texas-a-m,Eastern Kentucky,eastern-kentucky,Eastern Kentucky,Yes,1,1960-1961,1960-1961,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
108,texas-a-m,Eastern Montana,eastern-montana,Eastern Montana,No,1,1980-1981,1980-1981,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
109,texas-a-m,EASTERN NEW MEXICO,eastern-new-mexico,Eastern New Mexico,No,1,1952-1953,1952-1953,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
110,texas-a-m,ECTTC,ecttc,Ecttc,No,1,1939-1940,1939-1940,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
111,texas-a-m,Fairfield,fairfield,Fairfield,Yes,2,1974-1975,2019-2020,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
112,texas-a-m,FAU,florida-atlantic,Florida Atlantic,Yes,1,2023-2024,2023-2024,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
113,texas-a-m,FGCU,florida-gulf-coast,Florida Gulf Coast,Yes,1,2015-2016,2015-2016,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
114,texas-a-m,FIU,florida-international,Florida International,Yes,1,1989-1990,1989-1990,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
115,texas-a-m,Florida,florida,Florida,Yes,21,1991-1992,2025-2026,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
116,texas-a-m,FLORIDA A&M,florida-a-m,Florida A&M,Yes,2,2007-2008,2008-2009,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
117,texas-a-m,Florida State,florida-state,Florida State,Yes,5,1956-1957,2025-2026,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
118,texas-a-m,FORDHAM,fordham,Fordham,Yes,1,2006-2007,2006-2007,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
119,texas-a-m,Furman,furman,Furman,Yes,2,1969-1970,1970-1971,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
120,texas-a-m,Galveston Y.M.C.A.,galveston-y-m-c-a,Galveston Y.m.c.a.,No,4,1912-1913,1913-1914,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
121,texas-a-m,George Washington,george-washington,George Washington,Yes,5,1971-1972,2001-2002,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
122,texas-a-m,GEORGIA,georgia,Georgia,Yes,16,2012-2013,2025-2026,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
123,texas-a-m,Georgia Southern,georgia-southern,Georgia Southern,Yes,2,1995-1996,1996-1997,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
124,texas-a-m,Georgia Tech,georgia-tech,Georgia Tech,Yes,2,1956-1957,1985-1986,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
