index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
0,ucla,20th Century-Fox,20th-century-fox,20th Century-Fox,No,13,1939-1940,1948-1949,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,Owner approved complete NON_D1 sanity scan on 2026-09-02.
26,ucla,Cal State Fullerton,cal-state-fullerton,Cal State Fullerton,Yes,13,1986-1987,2024-2025,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
27,ucla,Cal State Northridge,cal-state-northridge,Cal State Northridge,Yes,8,1992-1993,2012-2013,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
28,ucla,Cal Tech,caltech,Caltech,No,19,1920-1921,1945-1946,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,Owner approved complete NON_D1 sanity scan on 2026-09-02.
29,ucla,California,california,California,Yes,254,1920-1921,2025-2026,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
30,ucla,Camp Ross,camp-ross,Camp Ross,No,4,1944-1945,1945-1946,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,Owner approved complete NON_D1 sanity scan on 2026-09-02.
31,ucla,Camp Santa Anita,camp-santa-anita,Camp Santa Anita,No,1,1943-1944,1943-1944,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,Owner approved complete NON_D1 sanity scan on 2026-09-02.
32,ucla,Carroll Shamrocks,carroll-shamrocks,Carroll Shamrocks,No,1,1945-1946,1945-1946,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,Owner approved complete NON_D1 sanity scan on 2026-09-02.
33,ucla,Carroll’s Shamrocks,carroll-shamrocks,Carroll Shamrocks,No,1,1946-1947,1946-1947,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,Owner approved complete NON_D1 sanity scan on 2026-09-02.
34,ucla,Central Arkansas,central-arkansas,Central Arkansas,Yes,1,2017-2018,2017-2018,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
35,ucla,Central Michigan,central-michigan,Central Michigan,Yes,1,1986-1987,1986-1987,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
36,ucla,Chaminade,chaminade,Chaminade,No,4,2006-2007,2023-2024,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,Owner approved complete NON_D1 sanity scan on 2026-09-02.
37,ucla,Charleston Southern,charleston-southern,Charleston Southern,Yes,1,1996-1997,1996-1997,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
38,ucla,Chattanooga,chattanooga,Chattanooga,Yes,1,2013-2014,2013-2014,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
39,ucla,Chicago State,chicago-state,Chicago State,Yes,1,2004-2005,2004-2005,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
40,ucla,Chico State,chico-state,Chico State,No,4,1933-1934,1937-1938,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,Owner approved complete NON_D1 sanity scan on 2026-09-02.
41,ucla,Cincinnati,cincinnati,Cincinnati,Yes,6,1961-1962,2018-2019,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
42,ucla,City College of N.Y.,ccny,CCNY,No,1,1949-1950,1949-1950,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,Owner approved complete NON_D1 sanity scan on 2026-09-02.
43,ucla,Clemson,clemson,Clemson,Yes,1,1979-1980,1979-1980,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
44,ucla,Coastal Carolina,coastal-carolina,Coastal Carolina,Yes,1,2014-2015,2014-2015,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
45,ucla,College of Pacific,pacific,Pacific,Yes,2,1935-1936,1947-1948,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
46,ucla,Colorado,colorado,Colorado,Yes,27,1954-1955,2023-2024,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
47,ucla,Colorado State,colorado-state,Colorado State,Yes,7,1961-1962,2009-2010,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
48,ucla,Columbia,columbia,Columbia,Yes,1,2001-2002,2001-2002,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
49,ucla,Compton Junior College,compton-junior-college,Compton Junior College,No,1,1936-1937,1936-1937,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,Owner approved complete NON_D1 sanity scan on 2026-09-02.
50,ucla,Connecticut,uconn,UConn,Yes,1,1994-1995,1994-1995,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
51,ucla,Coppin State,coppin-state,Coppin State,Yes,1,2005-2006,2005-2006,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
52,ucla,Cornell,cornell,Cornell,Yes,1,1947-1948,1947-1948,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
53,ucla,Creighton,creighton,Creighton,Yes,4,1941-1942,2017-2018,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
54,ucla,CS San Bernardino,cal-state-san-bernardino,Cal State San Bernardino,No,1,2007-2008,2007-2008,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,Owner approved complete NON_D1 sanity scan on 2026-09-02.
55,ucla,CSU Bakersfield,cal-state-bakersfield,Cal State Bakersfield,Yes,2,2017-2018,2021-2022,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
56,ucla,CSUN,cal-state-northridge,Cal State Northridge,Yes,3,2015-2016,2023-2024,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
57,ucla,Davidson,davidson,Davidson,Yes,2,1974-1975,2007-2008,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
58,ucla,Dayton,dayton,Dayton,Yes,4,1954-1955,1973-1974,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
59,ucla,Delaware State,delaware-state,Delaware State,Yes,3,1998-1999,2009-2010,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
60,ucla,Denver,denver,Denver,Yes,13,1951-1952,2022-2023,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
61,ucla,DePaul,depaul,DePaul,Yes,18,1940-1941,2008-2009,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
62,ucla,DePauw,depauw,DePauw,No,3,1957-1958,1961-1962,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,Owner approved complete NON_D1 sanity scan on 2026-09-02.
63,ucla,Detroit,detroit-mercy,Detroit Mercy,Yes,1,1998-1999,1998-1999,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
64,ucla,Detroit Mercy,detroit-mercy,Detroit Mercy,Yes,1,2017-2018,2017-2018,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
65,ucla,Drake,drake,Drake,Yes,2,1968-1969,1972-1973,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
66,ucla,Drexel,drexel,Drexel,Yes,2,2005-2006,2013-2014,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
67,ucla,Duke,duke,Duke,Yes,16,1953-1954,2013-2014,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
68,ucla,Duquesne,duquesne,Duquesne,Yes,1,1955-1956,1955-1956,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
69,ucla,East Tennessee State,east-tennessee-state,East Tennessee State,Yes,1,1989-1990,1989-1990,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
70,ucla,Eastern Washington,eastern-washington,Eastern Washington,Yes,2,2011-2012,2025-2026,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
71,ucla,El Toro Marines,el-toro-marines,El Toro Marines,No,1,1944-1945,1944-1945,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,Owner approved complete NON_D1 sanity scan on 2026-09-02.
72,ucla,Elks Club,elks-club,Elks Club,No,1,1929-1930,1929-1930,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,Owner approved complete NON_D1 sanity scan on 2026-09-02.
73,ucla,Evansville,evansville,Evansville,Yes,2,1957-1958,1980-1981,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
74,ucla,Fairfield,fairfield,Fairfield,Yes,1,1999-2000,1999-2000,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
75,ucla,Fairfield Skymasters,fairfield-skymasters,Fairfield Skymasters,No,1,1944-1945,1944-1945,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,Owner approved complete NON_D1 sanity scan on 2026-09-02.
76,ucla,FIU,florida-international,Florida International,Yes,1,2008-2009,2008-2009,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
77,ucla,Florida,florida,Florida,Yes,4,2005-2006,2013-2014,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
78,ucla,Florida International,florida-international,Florida International,Yes,1,1994-1995,1994-1995,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
79,ucla,Florida State,florida-state,Florida State,Yes,2,1971-1972,1992-1993,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
80,ucla,Fordham,fordham,Fordham,Yes,1,1978-1979,1978-1979,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
81,ucla,Fresno State,fresno-state,Fresno State,Yes,7,1934-1935,2012-2013,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
82,ucla,George Mason,george-mason,George Mason,Yes,1,1994-1995,1994-1995,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
83,ucla,George Washington,george-washington,George Washington,Yes,1,2007-2008,2007-2008,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
84,ucla,Georgetown,georgetown,Georgetown,Yes,3,2001-2002,2012-2013,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
85,ucla,Georgia,georgia,Georgia,Yes,3,1991-1992,2012-2013,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
86,ucla,Georgia Tech,georgia-tech,Georgia Tech,Yes,5,1966-1967,2017-2018,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
87,ucla,Glendale Junior College,glendale-junior-college,Glendale Junior College,No,1,1935-1936,1935-1936,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,Owner approved complete NON_D1 sanity scan on 2026-09-02.
88,ucla,Gonzaga,gonzaga,Gonzaga,Yes,11,1999-2000,2025-2026,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
89,ucla,Hancock Oilers,hancock-oilers,Hancock Oilers,No,1,1932-1933,1932-1933,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,Owner approved complete NON_D1 sanity scan on 2026-09-02.
90,ucla,Hawai’i,hawai-i,Hawai'i,Yes,2,2000-2001,2018-2019,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
91,ucla,Hofstra,hofstra,Hofstra,Yes,3,1979-1980,2019-2020,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
92,ucla,Hollywood AC,hollywood-athletic-club,Hollywood Athletic Club,No,8,1925-1926,1932-1933,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,Owner approved complete NON_D1 sanity scan on 2026-09-02.
93,ucla,Hollywood HS,hollywood-high-school,Hollywood High School,No,1,1919-1920,1919-1920,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,Owner approved complete NON_D1 sanity scan on 2026-09-02.
94,ucla,Holy Cross,holy-cross,Holy Cross,Yes,1,1967-1968,1967-1968,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
95,ucla,Houston,houston,Houston,Yes,9,1961-1962,2001-2002,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
96,ucla,Howard,howard,Howard,Yes,1,1983-1984,1983-1984,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
97,ucla,Idaho,idaho,Idaho,Yes,15,1926-1927,1984-1985,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
98,ucla,Idaho State,idaho-state,Idaho State,Yes,5,1976-1977,2024-2025,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
99,ucla,Illinois,illinois,Illinois,Yes,12,1949-1950,2025-2026,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
100,ucla,Illinois State,illinois-state,Illinois State,Yes,1,1940-1941,1940-1941,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
101,ucla,Indiana,indiana,Indiana,Yes,14,1937-1938,2025-2026,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
102,ucla,Indiana State,indiana-state,Indiana State,Yes,2,1964-1965,2012-2013,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
103,ucla,Iona,iona,Iona,Yes,1,1999-2000,1999-2000,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
104,ucla,Iowa,iowa,Iowa,Yes,10,1950-1951,2025-2026,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
105,ucla,Iowa State,iowa-state,Iowa State,Yes,7,1958-1959,1999-2000,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
106,ucla,Jackson State,jackson-state,Jackson State,Yes,1,1996-1997,1996-1997,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
107,ucla,Jacksonville,jacksonville,Jacksonville,Yes,2,1969-1970,1976-1977,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
108,ucla,James Madison,james-madison,James Madison,Yes,1,2012-2013,2012-2013,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
109,ucla,Joe E. Brown All-Stars,joe-e-brown-all-stars,Joe E. Brown All-Stars,No,1,1935-1936,1935-1936,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,Owner approved complete NON_D1 sanity scan on 2026-09-02.
110,ucla,Kansas,kansas,Kansas,Yes,18,1958-1959,2015-2016,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
111,ucla,Kansas State,kansas-state,Kansas State,Yes,4,1954-1955,1963-1964,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
112,ucla,Kent State,kent-state,Kent State,Yes,1,2016-2017,2016-2017,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
113,ucla,Kentucky,kentucky,Kentucky,Yes,16,1951-1952,2022-2023,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
114,ucla,La Salle,la-salle,La Salle,Yes,3,1949-1950,1954-1955,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
115,ucla,La Verne,la-verne,La Verne,No,7,1924-1925,1938-1939,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,Owner approved complete NON_D1 sanity scan on 2026-09-02.
116,ucla,Lafayette,lafayette,Lafayette,Yes,1,2023-2024,2023-2024,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
117,ucla,Lehigh,lehigh,Lehigh,Yes,1,2024-2025,2024-2025,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
118,ucla,Liberty,liberty,Liberty,Yes,1,2018-2019,2018-2019,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
119,ucla,LIU,long-island-university,Long Island University,Yes,1,2023-2024,2023-2024,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
120,ucla,Lockheed-Vega All-Stars,lockheed-vega-all-stars,Lockheed-Vega All-Stars,No,1,1942-1943,1942-1943,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,Owner approved complete NON_D1 sanity scan on 2026-09-02.
121,ucla,Long Beach ATC,long-beach-atc,Long Beach ATC,No,1,1945-1946,1945-1946,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,Owner approved complete NON_D1 sanity scan on 2026-09-02.
122,ucla,Long Beach Ferry Command,long-beach-ferry-command,Long Beach Ferry Command,No,1,1943-1944,1943-1944,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,Owner approved complete NON_D1 sanity scan on 2026-09-02.
123,ucla,Long Beach Junior College,long-beach-city-college,Long Beach City College,No,2,1933-1934,1938-1939,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,Owner approved complete NON_D1 sanity scan on 2026-09-02.
124,ucla,Long Beach Proctors,long-beach-proctors,Long Beach Proctors,No,1,1945-1946,1945-1946,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,Owner approved complete NON_D1 sanity scan on 2026-09-02.
125,ucla,Long Beach State,long-beach-state,Long Beach State,Yes,21,1969-1970,2022-2023,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
126,ucla,Long Island,long-island-university,Long Island University,Yes,2,1947-1948,1950-1951,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
127,ucla,Los Alamitos Naval AB,los-alamitos-naval-air-base,Los Alamitos Naval Air Base,No,1,1942-1943,1942-1943,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,Owner approved complete NON_D1 sanity scan on 2026-09-02.
