index,source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id,site_research_status,site_research_basis
15,MSURAW-00016,mississippi-state,2025-26_record_book,1910-1911,1911,1911-02-17,Union,Union,union,No,32,12,W,0,,,H,SOURCE_PROGRAM_HOME,,,Starkville,MS,,,REGULAR_SEASON,,PDF p. 313,02/17  Union  W  32-12 2-4,resolved,[RESEARCHED_UNRESOLVED_HOME_VENUE],,,,,RESEARCHED_UNRESOLVED_HOME_VENUE,"Mississippi State official record book and institutional basketball/facility history, known home-venue chronology, reciprocal published evidence, and available archival material were reviewed. Mississippi State establishes Starkville, MS HOME context; its history says the program had no indoor basketball court/training facility until 1920 and identifies the later Tin Gym as the first permanent gymnasium. The surviving record does not safely identify the exact physical home venue for this pre-Tin game."
16,MSURAW-00017,mississippi-state,2025-26_record_book,1911-1912,1912,1912-01-25,Mississippi College,Mississippi College,mississippi-college,No,45,17,W,0,,,H,SOURCE_PROGRAM_HOME,,,Starkville,MS,,,REGULAR_SEASON,,PDF p. 313,01/25 Mississippi College  W  45-17 1-0,resolved,[RESEARCHED_UNRESOLVED_HOME_VENUE],,,,,RESEARCHED_UNRESOLVED_HOME_VENUE,"Mississippi State official record book and institutional basketball/facility history, known home-venue chronology, reciprocal published evidence, and available archival material were reviewed. Mississippi State establishes Starkville, MS HOME context; its history says the program had no indoor basketball court/training facility until 1920 and identifies the later Tin Gym as the first permanent gymnasium. The surviving record does not safely identify the exact physical home venue for this pre-Tin game."
17,MSURAW-00018,mississippi-state,2025-26_record_book,1911-1912,1912,1912-01-26,Mississippi College,Mississippi College,mississippi-college,No,30,20,W,0,,,H,SOURCE_PROGRAM_HOME,,,Starkville,MS,,,REGULAR_SEASON,,PDF p. 313,01/26 Mississippi College  W  30-20 2-0,resolved,[RESEARCHED_UNRESOLVED_HOME_VENUE],,,,,RESEARCHED_UNRESOLVED_HOME_VENUE,"Mississippi State official record book and institutional basketball/facility history, known home-venue chronology, reciprocal published evidence, and available archival material were reviewed. Mississippi State establishes Starkville, MS HOME context; its history says the program had no indoor basketball court/training facility until 1920 and identifies the later Tin Gym as the first permanent gymnasium. The surviving record does not safely identify the exact physical home venue for this pre-Tin game."
18,MSURAW-00019,mississippi-state,2025-26_record_book,1911-1912,1912,1912-02-01,Union,Union,union,No,66,18,W,0,,,H,SOURCE_PROGRAM_HOME,,,Starkville,MS,,,REGULAR_SEASON,,PDF p. 313,02/01 Union  W  66-18 3-0,resolved,[RESEARCHED_UNRESOLVED_HOME_VENUE],,,,,RESEARCHED_UNRESOLVED_HOME_VENUE,"Mississippi State official record book and institutional basketball/facility history, known home-venue chronology, reciprocal published evidence, and available archival material were reviewed. Mississippi State establishes Starkville, MS HOME context; its history says the program had no indoor basketball court/training facility until 1920 and identifies the later Tin Gym as the first permanent gymnasium. The surviving record does not safely identify the exact physical home venue for this pre-Tin game."
19,MSURAW-00020,mississippi-state,2025-26_record_book,1911-1912,1912,1912-02-02,Union,Union,union,No,36,11,W,0,,,H,SOURCE_PROGRAM_HOME,,,Starkville,MS,,,REGULAR_SEASON,,PDF p. 313,02/02 Union  W  36-11 4-0,resolved,[RESEARCHED_UNRESOLVED_HOME_VENUE],,,,,RESEARCHED_UNRESOLVED_HOME_VENUE,"Mississippi State official record book and institutional basketball/facility history, known home-venue chronology, reciprocal published evidence, and available archival material were reviewed. Mississippi State establishes Starkville, MS HOME context; its history says the program had no indoor basketball court/training facility until 1920 and identifies the later Tin Gym as the first permanent gymnasium. The surviving record does not safely identify the exact physical home venue for this pre-Tin game."
20,MSURAW-00021,mississippi-state,2025-26_record_book,1911-1912,1912,1912-02-06,LSU,LSU,lsu,Yes,22,16,W,0,,,H,SOURCE_PROGRAM_HOME,,,Starkville,MS,,,REGULAR_SEASON,,PDF p. 313,02/06 LSU  W  22-16 5-0,resolved,[RESEARCHED_UNRESOLVED_HOME_VENUE],,,,,RESEARCHED_UNRESOLVED_HOME_VENUE,"Mississippi State official record book and institutional basketball/facility history, known home-venue chronology, reciprocal published evidence, and available archival material were reviewed. Mississippi State establishes Starkville, MS HOME context; its history says the program had no indoor basketball court/training facility until 1920 and identifies the later Tin Gym as the first permanent gymnasium. The surviving record does not safely identify the exact physical home venue for this pre-Tin game."
21,MSURAW-00022,mississippi-state,2025-26_record_book,1911-1912,1912,1912-02-07,LSU,LSU,lsu,Yes,21,11,W,0,,,H,SOURCE_PROGRAM_HOME,,,Starkville,MS,,,REGULAR_SEASON,,PDF p. 313,02/07 LSU  W   21-11 6-0,resolved,[RESEARCHED_UNRESOLVED_HOME_VENUE],,,,,RESEARCHED_UNRESOLVED_HOME_VENUE,"Mississippi State official record book and institutional basketball/facility history, known home-venue chronology, reciprocal published evidence, and available archival material were reviewed. Mississippi State establishes Starkville, MS HOME context; its history says the program had no indoor basketball court/training facility until 1920 and identifies the later Tin Gym as the first permanent gymnasium. The surviving record does not safely identify the exact physical home venue for this pre-Tin game."
22,MSURAW-00023,mississippi-state,2025-26_record_book,1911-1912,1912,1912-02-12,Millsaps College,Millsaps,millsaps,No,22,6,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 313,02/12 at Millsaps College  W  22-6 7-0,resolved,,,,,,,
23,MSURAW-00024,mississippi-state,2025-26_record_book,1911-1912,1912,1912-02-14,Mississippi College,Mississippi College,mississippi-college,No,25,17,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 313,02/14 at Mississippi College  W  25-17 8-0,resolved,,,,,,,
24,MSURAW-00025,mississippi-state,2025-26_record_book,1911-1912,1912,1912-02-15,Mississippi College,Mississippi College,mississippi-college,No,21,13,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 313,02/15 at Mississippi College  W  21-13 9-0,resolved,,,,,,,
25,MSURAW-00026,mississippi-state,2025-26_record_book,1912-1913,1913,1913-01-24,Millsaps College,Millsaps,millsaps,No,35,15,W,0,,,H,SOURCE_PROGRAM_HOME,,,Starkville,MS,,,REGULAR_SEASON,,PDF p. 313,01/24 Millsaps College  W  35-15 1-0,resolved,[RESEARCHED_UNRESOLVED_HOME_VENUE],,,,,RESEARCHED_UNRESOLVED_HOME_VENUE,"Mississippi State official record book and institutional basketball/facility history, known home-venue chronology, reciprocal published evidence, and available archival material were reviewed. Mississippi State establishes Starkville, MS HOME context; its history says the program had no indoor basketball court/training facility until 1920 and identifies the later Tin Gym as the first permanent gymnasium. The surviving record does not safely identify the exact physical home venue for this pre-Tin game."
26,MSURAW-00027,mississippi-state,2025-26_record_book,1912-1913,1913,1913-01-25,Millsaps College,Millsaps,millsaps,No,21,24,L,0,,,H,SOURCE_PROGRAM_HOME,,,Starkville,MS,,,REGULAR_SEASON,,PDF p. 313,01/25 Millsaps College    L 24-21 1-1,resolved,[RESEARCHED_UNRESOLVED_HOME_VENUE],,,,,RESEARCHED_UNRESOLVED_HOME_VENUE,"Mississippi State official record book and institutional basketball/facility history, known home-venue chronology, reciprocal published evidence, and available archival material were reviewed. Mississippi State establishes Starkville, MS HOME context; its history says the program had no indoor basketball court/training facility until 1920 and identifies the later Tin Gym as the first permanent gymnasium. The surviving record does not safely identify the exact physical home venue for this pre-Tin game."
27,MSURAW-00028,mississippi-state,2025-26_record_book,1912-1913,1913,1913-01-31,Union,Union,union,No,35,16,W,0,,,H,SOURCE_PROGRAM_HOME,,,Starkville,MS,,,REGULAR_SEASON,,PDF p. 313,01/31 Union  W  35-16 2-1,resolved,[RESEARCHED_UNRESOLVED_HOME_VENUE],,,,,RESEARCHED_UNRESOLVED_HOME_VENUE,"Mississippi State official record book and institutional basketball/facility history, known home-venue chronology, reciprocal published evidence, and available archival material were reviewed. Mississippi State establishes Starkville, MS HOME context; its history says the program had no indoor basketball court/training facility until 1920 and identifies the later Tin Gym as the first permanent gymnasium. The surviving record does not safely identify the exact physical home venue for this pre-Tin game."
28,MSURAW-00029,mississippi-state,2025-26_record_book,1912-1913,1913,1913-02-01,Union,Union,union,No,41,15,W,0,,,H,SOURCE_PROGRAM_HOME,,,Starkville,MS,,,REGULAR_SEASON,,PDF p. 313,02/01 Union  W  41-15 3-1,resolved,[RESEARCHED_UNRESOLVED_HOME_VENUE],,,,,RESEARCHED_UNRESOLVED_HOME_VENUE,"Mississippi State official record book and institutional basketball/facility history, known home-venue chronology, reciprocal published evidence, and available archival material were reviewed. Mississippi State establishes Starkville, MS HOME context; its history says the program had no indoor basketball court/training facility until 1920 and identifies the later Tin Gym as the first permanent gymnasium. The surviving record does not safely identify the exact physical home venue for this pre-Tin game."
29,MSURAW-00030,mississippi-state,2025-26_record_book,1912-1913,1913,1913-02-04,Mississippi College,Mississippi College,mississippi-college,No,45,5,W,0,,,H,SOURCE_PROGRAM_HOME,,,Starkville,MS,,,REGULAR_SEASON,,PDF p. 313,02/04 Mississippi College  W  45-5 4-1,resolved,[RESEARCHED_UNRESOLVED_HOME_VENUE],,,,,RESEARCHED_UNRESOLVED_HOME_VENUE,"Mississippi State official record book and institutional basketball/facility history, known home-venue chronology, reciprocal published evidence, and available archival material were reviewed. Mississippi State establishes Starkville, MS HOME context; its history says the program had no indoor basketball court/training facility until 1920 and identifies the later Tin Gym as the first permanent gymnasium. The surviving record does not safely identify the exact physical home venue for this pre-Tin game."
30,MSURAW-00031,mississippi-state,2025-26_record_book,1912-1913,1913,1913-02-05,Mississippi College,Mississippi College,mississippi-college,No,43,15,W,0,,,H,SOURCE_PROGRAM_HOME,,,Starkville,MS,,,REGULAR_SEASON,,PDF p. 313,02/05 Mississippi College  W  43-15 5-1,resolved,[RESEARCHED_UNRESOLVED_HOME_VENUE],,,,,RESEARCHED_UNRESOLVED_HOME_VENUE,"Mississippi State official record book and institutional basketball/facility history, known home-venue chronology, reciprocal published evidence, and available archival material were reviewed. Mississippi State establishes Starkville, MS HOME context; its history says the program had no indoor basketball court/training facility until 1920 and identifies the later Tin Gym as the first permanent gymnasium. The surviving record does not safely identify the exact physical home venue for this pre-Tin game."
31,MSURAW-00032,mississippi-state,2025-26_record_book,1912-1913,1913,1913-02-06,Alabama,Alabama,alabama,Yes,26,21,W,0,,,H,SOURCE_PROGRAM_HOME,,,Starkville,MS,,,REGULAR_SEASON,,PDF p. 313,02/06 Alabama   W  26-21 6-1,resolved,[RESEARCHED_UNRESOLVED_HOME_VENUE],,,,,RESEARCHED_UNRESOLVED_HOME_VENUE,"Mississippi State official record book and institutional basketball/facility history, known home-venue chronology, reciprocal published evidence, and available archival material were reviewed. Mississippi State establishes Starkville, MS HOME context; its history says the program had no indoor basketball court/training facility until 1920 and identifies the later Tin Gym as the first permanent gymnasium. The surviving record does not safely identify the exact physical home venue for this pre-Tin game."
32,MSURAW-00033,mississippi-state,2025-26_record_book,1912-1913,1913,1913-02-07,Alabama,Alabama,alabama,Yes,21,16,W,0,,,H,SOURCE_PROGRAM_HOME,,,Starkville,MS,,,REGULAR_SEASON,,PDF p. 313,02/07 Alabama  W  21-16 7-1,resolved,[RESEARCHED_UNRESOLVED_HOME_VENUE],,,,,RESEARCHED_UNRESOLVED_HOME_VENUE,"Mississippi State official record book and institutional basketball/facility history, known home-venue chronology, reciprocal published evidence, and available archival material were reviewed. Mississippi State establishes Starkville, MS HOME context; its history says the program had no indoor basketball court/training facility until 1920 and identifies the later Tin Gym as the first permanent gymnasium. The surviving record does not safely identify the exact physical home venue for this pre-Tin game."
33,MSURAW-00034,mississippi-state,2025-26_record_book,1912-1913,1913,1913-02-13,Mercer,Mercer,mercer,Yes,28,10,W,0,,,H,SOURCE_PROGRAM_HOME,,,Starkville,MS,,,REGULAR_SEASON,,PDF p. 313,02/13 Mercer  W  28-10 8-1,resolved,[RESEARCHED_UNRESOLVED_HOME_VENUE],,,,,RESEARCHED_UNRESOLVED_HOME_VENUE,"Mississippi State official record book and institutional basketball/facility history, known home-venue chronology, reciprocal published evidence, and available archival material were reviewed. Mississippi State establishes Starkville, MS HOME context; its history says the program had no indoor basketball court/training facility until 1920 and identifies the later Tin Gym as the first permanent gymnasium. The surviving record does not safely identify the exact physical home venue for this pre-Tin game."
34,MSURAW-00035,mississippi-state,2025-26_record_book,1912-1913,1913,1913-02-14,Mercer,Mercer,mercer,Yes,29,22,W,0,,,H,SOURCE_PROGRAM_HOME,,,Starkville,MS,,,REGULAR_SEASON,,PDF p. 313,02/14 Mercer  W  29-22 9-1,resolved,[RESEARCHED_UNRESOLVED_HOME_VENUE],,,,,RESEARCHED_UNRESOLVED_HOME_VENUE,"Mississippi State official record book and institutional basketball/facility history, known home-venue chronology, reciprocal published evidence, and available archival material were reviewed. Mississippi State establishes Starkville, MS HOME context; its history says the program had no indoor basketball court/training facility until 1920 and identifies the later Tin Gym as the first permanent gymnasium. The surviving record does not safely identify the exact physical home venue for this pre-Tin game."
35,MSURAW-00036,mississippi-state,2025-26_record_book,1912-1913,1913,1913-02-20,Maryville College,Maryville College,maryville-college,No,49,13,W,0,,,H,SOURCE_PROGRAM_HOME,,,Starkville,MS,,,REGULAR_SEASON,,PDF p. 313,02/20 Maryville College  W  49-13 10-1,resolved,[RESEARCHED_UNRESOLVED_HOME_VENUE],,,,,RESEARCHED_UNRESOLVED_HOME_VENUE,"Mississippi State official record book and institutional basketball/facility history, known home-venue chronology, reciprocal published evidence, and available archival material were reviewed. Mississippi State establishes Starkville, MS HOME context; its history says the program had no indoor basketball court/training facility until 1920 and identifies the later Tin Gym as the first permanent gymnasium. The surviving record does not safely identify the exact physical home venue for this pre-Tin game."
36,MSURAW-00037,mississippi-state,2025-26_record_book,1912-1913,1913,1913-02-21,Maryville College,Maryville College,maryville-college,No,35,18,W,0,,,H,SOURCE_PROGRAM_HOME,,,Starkville,MS,,,REGULAR_SEASON,,PDF p. 313,02/21 Maryville College  W  35-18 11-1,resolved,[RESEARCHED_UNRESOLVED_HOME_VENUE],,,,,RESEARCHED_UNRESOLVED_HOME_VENUE,"Mississippi State official record book and institutional basketball/facility history, known home-venue chronology, reciprocal published evidence, and available archival material were reviewed. Mississippi State establishes Starkville, MS HOME context; its history says the program had no indoor basketball court/training facility until 1920 and identifies the later Tin Gym as the first permanent gymnasium. The surviving record does not safely identify the exact physical home venue for this pre-Tin game."
37,MSURAW-00038,mississippi-state,2025-26_record_book,1913-1914,1914,1914-01-14,Millsaps College,Millsaps,millsaps,No,63,8,W,0,,,H,SOURCE_PROGRAM_HOME,,,Starkville,MS,,,REGULAR_SEASON,,PDF p. 313,01/14 Millsaps College  W  63-8 1-0,resolved,[RESEARCHED_UNRESOLVED_HOME_VENUE],,,,,RESEARCHED_UNRESOLVED_HOME_VENUE,"Mississippi State official record book and institutional basketball/facility history, known home-venue chronology, reciprocal published evidence, and available archival material were reviewed. Mississippi State establishes Starkville, MS HOME context; its history says the program had no indoor basketball court/training facility until 1920 and identifies the later Tin Gym as the first permanent gymnasium. The surviving record does not safely identify the exact physical home venue for this pre-Tin game."
38,MSURAW-00039,mississippi-state,2025-26_record_book,1913-1914,1914,1914-01-15,Millsaps College,Millsaps,millsaps,No,46,9,W,0,,,H,SOURCE_PROGRAM_HOME,,,Starkville,MS,,,REGULAR_SEASON,,PDF p. 313,01/15 Millsaps College  W  46-9 2-0,resolved,[RESEARCHED_UNRESOLVED_HOME_VENUE],,,,,RESEARCHED_UNRESOLVED_HOME_VENUE,"Mississippi State official record book and institutional basketball/facility history, known home-venue chronology, reciprocal published evidence, and available archival material were reviewed. Mississippi State establishes Starkville, MS HOME context; its history says the program had no indoor basketball court/training facility until 1920 and identifies the later Tin Gym as the first permanent gymnasium. The surviving record does not safely identify the exact physical home venue for this pre-Tin game."
39,MSURAW-00040,mississippi-state,2025-26_record_book,1913-1914,1914,1914-01-30,Mississippi College,Mississippi College,mississippi-college,No,42,9,W,0,,,H,SOURCE_PROGRAM_HOME,,,Starkville,MS,,,REGULAR_SEASON,,PDF p. 313,01/30 Mississippi College  W  42-9 3-0,resolved,[RESEARCHED_UNRESOLVED_HOME_VENUE],,,,,RESEARCHED_UNRESOLVED_HOME_VENUE,"Mississippi State official record book and institutional basketball/facility history, known home-venue chronology, reciprocal published evidence, and available archival material were reviewed. Mississippi State establishes Starkville, MS HOME context; its history says the program had no indoor basketball court/training facility until 1920 and identifies the later Tin Gym as the first permanent gymnasium. The surviving record does not safely identify the exact physical home venue for this pre-Tin game."
40,MSURAW-00041,mississippi-state,2025-26_record_book,1913-1914,1914,1914-01-31,Mississippi College,Mississippi College,mississippi-college,No,50,11,W,0,,,H,SOURCE_PROGRAM_HOME,,,Starkville,MS,,,REGULAR_SEASON,,PDF p. 313,01/31 Mississippi College  W  50-11 4-0,resolved,[RESEARCHED_UNRESOLVED_HOME_VENUE],,,,,RESEARCHED_UNRESOLVED_HOME_VENUE,"Mississippi State official record book and institutional basketball/facility history, known home-venue chronology, reciprocal published evidence, and available archival material were reviewed. Mississippi State establishes Starkville, MS HOME context; its history says the program had no indoor basketball court/training facility until 1920 and identifies the later Tin Gym as the first permanent gymnasium. The surviving record does not safely identify the exact physical home venue for this pre-Tin game."
41,MSURAW-00042,mississippi-state,2025-26_record_book,1913-1914,1914,1914-02-07,Millsaps College,Millsaps,millsaps,No,66,23,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 313,02/07 at Millsaps College  W  66-23 5-0,resolved,,,,,,,
42,MSURAW-00043,mississippi-state,2025-26_record_book,1913-1914,1914,1914-02-09,Mississippi College,Mississippi College,mississippi-college,No,43,9,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 313,02/09 at Mississippi College  W  43-9 6-0,resolved,,,,,,,
43,MSURAW-00044,mississippi-state,2025-26_record_book,1913-1914,1914,1914-02-10,Mississippi College,Mississippi College,mississippi-college,No,22,12,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 313,02/10 at Mississippi College  W  22-12 7-0,resolved,,,,,,,
44,MSURAW-00045,mississippi-state,2025-26_record_book,1913-1914,1914,1914-02-13,Alabama,Alabama,alabama,Yes,31,42,L,0,,,H,SOURCE_PROGRAM_HOME,,,Starkville,MS,,,REGULAR_SEASON,,PDF p. 313,02/13 Alabama   L 42-31 7-1,resolved,[RESEARCHED_UNRESOLVED_HOME_VENUE],,,,,RESEARCHED_UNRESOLVED_HOME_VENUE,"Mississippi State official record book and institutional basketball/facility history, known home-venue chronology, reciprocal published evidence, and available archival material were reviewed. Mississippi State establishes Starkville, MS HOME context; its history says the program had no indoor basketball court/training facility until 1920 and identifies the later Tin Gym as the first permanent gymnasium. The surviving record does not safely identify the exact physical home venue for this pre-Tin game."
