program_key,conference_regular_season_championships,conference_tournament_championships,ncaa_tournament_appearances,final_four_appearances,national_championships,best_finish_key,best_finish_year,verification_status,verification_basis,canonical_crosscheck_status,notes
charlotte,5,5,11,1,0,ELITE_EIGHT,1977,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
chattanooga,15,12,12,0,0,SWEET_SIXTEEN,1997,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,Owner explicitly ruled Final Fours and national championships as zero.
chicago-state,0,1,0,0,0,,,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
cincinnati,29,12,33,6,2,NATIONAL_CHAMPION,1962,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
clemson,1,1,16,0,0,ELITE_EIGHT,2024,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
cleveland-state,6,3,3,0,0,SWEET_SIXTEEN,1986,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
coastal-carolina,8,5,4,0,0,ROUND_OF_64,2015,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
colgate,8,7,7,0,0,ROUND_OF_64,2024,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
colorado,19,1,16,2,0,FINAL_FOUR,1955,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
colorado-state,4,2,13,0,0,ELITE_EIGHT,1969,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
columbia,13,0,3,0,0,SWEET_SIXTEEN,1968,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
coppin-state,11,4,4,0,0,ROUND_OF_32,1997,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
cornell,8,0,5,0,0,SWEET_SIXTEEN,2010,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
creighton,20,12,26,0,0,ELITE_EIGHT,2023,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
dartmouth,12,0,7,2,0,NATIONAL_RUNNER_UP,1944,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
davidson,25,13,15,0,0,ELITE_EIGHT,2008,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
dayton,3,2,19,1,0,NATIONAL_RUNNER_UP,1967,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
delaware,4,6,6,0,0,ROUND_OF_64,2022,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
delaware-state,3,1,1,0,0,ROUND_OF_64,2005,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
denver,4,0,0,0,0,,,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
depaul,2,0,22,2,0,FINAL_FOUR,1979,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
detroit-mercy,2,3,6,0,0,SWEET_SIXTEEN,1977,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
drake,10,4,8,1,0,FINAL_FOUR,1969,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
drexel,7,5,5,0,0,ROUND_OF_32,1996,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
duke,25,29,48,18,5,NATIONAL_CHAMPION,2015,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
duquesne,2,2,6,1,0,FINAL_FOUR,1940,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
east-carolina,0,2,2,0,0,ROUND_OF_64,1993,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
east-tennessee-state,11,11,10,0,0,SWEET_SIXTEEN,1968,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
east-texas-a-m,0,0,0,0,0,,,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
eastern-illinois,0,3,2,0,0,ROUND_OF_64,2001,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
eastern-kentucky,7,6,8,0,0,ROUND_OF_64,2014,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
eastern-michigan,3,4,4,0,0,SWEET_SIXTEEN,1991,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
eastern-washington,6,3,3,0,0,ROUND_OF_64,2021,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
elon,0,0,0,0,0,,,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
evansville,6,3,5,0,0,ROUND_OF_32,1989,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
fairfield,2,3,3,0,0,ROUND_OF_64,1997,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
fairleigh-dickinson,6,6,7,0,0,ROUND_OF_32,2023,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
florida,8,5,26,6,3,NATIONAL_CHAMPION,2025,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,MATCH,
florida-a-m,0,4,3,0,0,ROUND_OF_64,2004,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
florida-atlantic,2,2,3,1,0,FINAL_FOUR,2023,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
florida-gulf-coast,3,3,3,0,0,SWEET_SIXTEEN,2013,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
florida-international,1,1,1,0,0,ROUND_OF_64,1995,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
florida-state,3,2,18,1,0,NATIONAL_RUNNER_UP,1972,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
fordham,4,3,4,0,0,SWEET_SIXTEEN,1971,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
fresno-state,6,5,6,0,0,SWEET_SIXTEEN,1982,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
furman,7,8,8,0,0,SWEET_SIXTEEN,1974,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
gardner-webb,1,1,1,0,0,ROUND_OF_64,2019,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
george-mason,5,4,6,1,0,FINAL_FOUR,2006,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
george-washington,5,5,11,0,0,SWEET_SIXTEEN,1993,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
georgetown,9,11,31,5,1,NATIONAL_CHAMPION,1984,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
georgia,7,3,14,1,0,FINAL_FOUR,1983,VERIFIED,"Owner Gate 1 verified Georgia accomplishments through 2025-26: 7 conference regular-season championships (5 SIAA: 1909, 1914, 1916, 1917, 1918; 1 Southern: 1931; 1 SEC: 1990), 3 conference tournament championships (1932 Southern, 1983 SEC, 2008 SEC), 14 on-court NCAA Tournament appearances, 1 Final Four, 0 national championships, best finish FINAL_FOUR in 1983.",MATCH,Verified through onboarding plan c441a6f50ea8.
georgia-southern,5,3,3,0,0,ROUND_OF_64,1992,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
georgia-state,6,6,6,0,0,ROUND_OF_32,2015,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
georgia-tech,3,5,17,2,0,NATIONAL_RUNNER_UP,2004,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
gonzaga,29,23,28,2,0,NATIONAL_RUNNER_UP,2021,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
grambling,5,1,1,0,0,ROUND_OF_64,2024,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
grand-canyon,2,4,4,0,0,ROUND_OF_32,2024,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
green-bay,4,4,5,0,0,ROUND_OF_32,1994,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
hampton,4,6,6,0,0,ROUND_OF_32,2001,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
harvard,7,0,5,0,0,ELITE_EIGHT,1946,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
hawai-i,3,5,6,0,0,ROUND_OF_32,2016,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
high-point,7,2,2,0,0,ROUND_OF_32,2026,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
hofstra,10,7,5,0,0,ROUND_OF_32,1977,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
holy-cross,6,8,13,2,1,NATIONAL_CHAMPION,1947,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
houston,13,9,27,7,0,NATIONAL_RUNNER_UP,2025,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
houston-christian,2,1,1,0,0,PLAY_IN_ROUND,1984,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
howard,6,6,5,0,0,ROUND_OF_64,2026,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
idaho,8,5,5,0,0,SWEET_SIXTEEN,1982,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
idaho-state,3,2,11,0,0,ELITE_EIGHT,1977,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
illinois,18,4,36,6,0,NATIONAL_RUNNER_UP,2005,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,MATCH,
illinois-state,6,4,6,0,0,ROUND_OF_32,1998,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
incarnate-word,0,0,0,0,0,,,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
indiana,22,0,41,8,5,NATIONAL_CHAMPION,1987,VERIFIED,"Owner-approved Gate 1. Indiana 2025-26 Men's Basketball Record Book supports 22 conference regular-season championships, 0 conference-tournament championships, 41 NCAA appearances, 8 Final Fours, 5 national championships, best finish NATIONAL_CHAMPION, most recently 1987.",MATCH,Verified through onboarding plan 938b85d0ea0c.
indiana-state,3,3,4,1,0,NATIONAL_RUNNER_UP,1979,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
iona,13,14,16,0,0,ROUND_OF_32,1980,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
iowa,8,3,30,3,0,NATIONAL_RUNNER_UP,1956,VERIFIED,"Owner Gate 1 approved: authoritative Iowa/NCAA evidence verifies the supplied accomplishment values, including 8 regular-season conference titles, 3 conference-tournament titles, 30 NCAA appearances, 3 Final Fours, 0 national championships, and a 1956 national-runner-up best finish.",MATCH,Verified through onboarding plan 4ed7e4719e45.
iowa-state,6,7,25,1,0,FINAL_FOUR,1944,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
iu-indianapolis,1,1,1,0,0,ROUND_OF_64,2003,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
jackson-state,6,5,3,0,0,ROUND_OF_64,2007,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
jacksonville,2,2,5,1,0,NATIONAL_RUNNER_UP,1970,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
jacksonville-state,1,1,2,0,0,ROUND_OF_64,2022,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
james-madison,11,5,6,0,0,ROUND_OF_32,2024,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
kansas,64,16,54,16,4,NATIONAL_CHAMPION,2022,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,EXPLAINED_ADMIN_DIFFERENCE,Owner-approved on-court corrections include the vacated 2018 NCAA appearance and Final Four; conference tournament championships corrected to 16.
kansas-city,0,0,0,0,0,,,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
kansas-state,19,2,32,4,0,NATIONAL_RUNNER_UP,1951,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
kennesaw-state,1,2,2,0,0,ROUND_OF_64,2026,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
kent-state,6,7,7,0,0,ELITE_EIGHT,2002,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
kentucky,52,33,64,17,8,NATIONAL_CHAMPION,2012,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,EXPLAINED_ADMIN_DIFFERENCE,Owner-approved on-court appearance count includes the vacated 1988 NCAA Tournament appearance.
la-salle,8,8,12,2,1,NATIONAL_CHAMPION,1954,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
lafayette,15,3,4,0,0,SWEET_SIXTEEN,1957,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
lamar,9,4,6,0,0,SWEET_SIXTEEN,1980,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
le-moyne,0,0,0,0,0,,,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
lehigh,4,6,6,0,0,ROUND_OF_32,2012,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
liberty,8,7,6,0,0,ROUND_OF_32,2019,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
lindenwood,0,0,0,0,0,,,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
lipscomb,4,2,2,0,0,ROUND_OF_64,2025,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
little-rock,10,5,5,0,0,ROUND_OF_32,2016,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
long-beach-state,14,10,10,0,0,SWEET_SIXTEEN,1970,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
long-island-university,13,8,8,0,0,ROUND_OF_64,2026,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
longwood,1,2,2,0,0,ROUND_OF_64,2024,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
louisiana,8,8,11,0,0,SWEET_SIXTEEN,1973,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
louisiana-tech,10,6,5,0,0,SWEET_SIXTEEN,1985,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
louisville,23,17,45,10,3,NATIONAL_CHAMPION,2013,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
loyola-chicago,8,4,8,2,1,NATIONAL_CHAMPION,1963,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
