index,index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
33,33,maryland,Central Connecticut,central-connecticut,Central Connecticut,Yes,1,2014-2015,2014-2015,RESOLVED,Current D1 registry / Maryland source normalization,,
34,34,maryland,Central Florida,ucf,UCF,Yes,1,1986-1987,1986-1987,RESOLVED,Current D1 registry / Maryland source normalization,,
35,35,maryland,Central YMCA,central-ymca,Central YMCA,No,1,1912-1913,1912-1913,RESOLVED,Historical/non-current source identity or documented institutional lineage,,
36,36,maryland,Chaminade,chaminade,Chaminade,No,3,1994-1995,2009-2010,RESOLVED,Historical/non-current source identity or documented institutional lineage,,
37,37,maryland,Charleston Southern,charleston-southern,Charleston Southern,Yes,1,2009-2010,2009-2010,RESOLVED,Current D1 registry / Maryland source normalization,,
38,38,maryland,Charlotte,charlotte,Charlotte,Yes,3,2007-2008,2016-2017,RESOLVED,Current D1 registry / Maryland source normalization,,
39,39,maryland,Chicago State,chicago-state,Chicago State,Yes,2,1996-1997,2000-2001,RESOLVED,Current D1 registry / Maryland source normalization,,
40,40,maryland,Cincinnati,cincinnati,Cincinnati,Yes,4,1948-1949,2009-2010,RESOLVED,Current D1 registry / Maryland source normalization,,
41,41,maryland,City College of NY,city-college-of-ny,City College of NY,No,2,1924-1925,1941-1942,RESOLVED,Historical/non-current source identity or documented institutional lineage,,
42,42,maryland,Clemson,clemson,Clemson,Yes,141,1938-1939,2020-2021,RESOLVED,Current D1 registry / Maryland source normalization,,
43,43,maryland,Cleveland State,cleveland-state,Cleveland State,Yes,2,1984-1985,2015-2016,RESOLVED,Current D1 registry / Maryland source normalization,,
44,44,maryland,Coastal Carolina,coastal-carolina,Coastal Carolina,Yes,1,1999-2000,1999-2000,RESOLVED,Current D1 registry / Maryland source normalization,,
45,45,maryland,Colgate,colgate,Colgate,Yes,2,1994-1995,2010-2011,RESOLVED,Current D1 registry / Maryland source normalization,,
46,46,maryland,Coll. of Charleston,charleston,Charleston,Yes,1,2010-2011,2010-2011,RESOLVED,Current D1 registry / Maryland source normalization,,
47,47,maryland,College of Charleston,charleston,Charleston,Yes,1,1996-1997,1996-1997,RESOLVED,Current D1 registry / Maryland source normalization,,
48,48,maryland,Colorado,colorado,Colorado,Yes,1,2011-2012,2011-2012,RESOLVED,Current D1 registry / Maryland source normalization,,
49,49,maryland,Colorado State,colorado-state,Colorado State,Yes,1,2024-2025,2024-2025,RESOLVED,Current D1 registry / Maryland source normalization,,
50,50,maryland,Columbia,columbia,Columbia,Yes,2,1924-1925,1963-1964,RESOLVED,Current D1 registry / Maryland source normalization,,
51,51,maryland,Connecticut,uconn,UConn,Yes,7,1940-1941,2020-2021,RESOLVED,Current D1 registry / Maryland source normalization,,
52,52,maryland,Coppin State,coppin-state,Coppin State,Yes,4,1989-1990,2025-2026,RESOLVED,Current D1 registry / Maryland source normalization,,
53,53,maryland,Cornell,cornell,Cornell,Yes,2,1993-1994,2011-2012,RESOLVED,Current D1 registry / Maryland source normalization,,
54,54,maryland,Creighton,creighton,Creighton,Yes,2,1974-1975,1998-1999,RESOLVED,Current D1 registry / Maryland source normalization,,
55,55,maryland,Davidson,davidson,Davidson,Yes,12,1938-1939,2023-2024,RESOLVED,Current D1 registry / Maryland source normalization,,
56,56,maryland,Dayton,dayton,Dayton,Yes,4,1965-1966,2000-2001,RESOLVED,Current D1 registry / Maryland source normalization,,
57,57,maryland,DePaul,depaul,DePaul,Yes,2,1976-1977,1998-1999,RESOLVED,Current D1 registry / Maryland source normalization,,
58,58,maryland,DePauw,depauw,DePauw,No,2,1974-1975,1975-1976,RESOLVED,Historical/non-current source identity or documented institutional lineage,,
59,59,maryland,Delaware,delaware,Delaware,Yes,6,1910-1911,2018-2019,RESOLVED,Current D1 registry / Maryland source normalization,,
60,60,maryland,Delaware State,delaware-state,Delaware State,Yes,7,1989-1990,2012-2013,RESOLVED,Current D1 registry / Maryland source normalization,,
61,61,maryland,Denver,denver,Denver,Yes,1,2012-2013,2012-2013,RESOLVED,Current D1 registry / Maryland source normalization,,
62,62,maryland,Detroit,detroit-mercy,Detroit Mercy,Yes,1,2001-2002,2001-2002,RESOLVED,Current D1 registry / Maryland source normalization,,
63,63,maryland,Dickinson College,dickinson-college,Dickinson College,No,1,1937-1938,1937-1938,RESOLVED,Historical/non-current source identity or documented institutional lineage,,
64,64,maryland,Duke,duke,Duke,Yes,177,1925-1926,2013-2014,RESOLVED,Current D1 registry / Maryland source normalization,,
65,65,maryland,Duquesne,duquesne,Duquesne,Yes,8,1971-1972,2002-2003,RESOLVED,Current D1 registry / Maryland source normalization,,
66,66,maryland,E. Tennessee State,east-tennessee-state,East Tennessee State,Yes,2,1974-1975,1989-1990,RESOLVED,Current D1 registry / Maryland source normalization,,
67,67,maryland,East Carolina,east-carolina,East Carolina,Yes,6,1975-1976,1987-1988,RESOLVED,Current D1 registry / Maryland source normalization,,
68,68,maryland,Eastern Kentucky,eastern-kentucky,Eastern Kentucky,Yes,2,1973-1974,2009-2010,RESOLVED,Current D1 registry / Maryland source normalization,,
69,69,maryland,Elon,elon,Elon,Yes,2,2008-2009,2010-2011,RESOLVED,Current D1 registry / Maryland source normalization,,
70,70,maryland,Evansville,evansville,Evansville,Yes,2,1953-1954,1991-1992,RESOLVED,Current D1 registry / Maryland source normalization,,
71,71,maryland,Fairfield,fairfield,Fairfield,Yes,2,2009-2010,2019-2020,RESOLVED,Current D1 registry / Maryland source normalization,,
72,72,maryland,Fairleigh Dickinson,fairleigh-dickinson,Fairleigh Dickinson,Yes,7,1980-1981,2017-2018,RESOLVED,Current D1 registry / Maryland source normalization,,
73,73,maryland,Fla. International,florida-international,FIU,Yes,1,2011-2012,2011-2012,RESOLVED,Current D1 registry / Maryland source normalization,,
74,74,maryland,Florida,florida,Florida,Yes,5,1931-1932,2024-2025,RESOLVED,Current D1 registry / Maryland source normalization,,
75,75,maryland,Florida A&M,florida-a-m,Florida A&M,Yes,2,2006-2007,2024-2025,RESOLVED,Current D1 registry / Maryland source normalization,,
76,76,maryland,Florida Atlantic,florida-atlantic,Florida Atlantic,Yes,2,2009-2010,2013-2014,RESOLVED,Current D1 registry / Maryland source normalization,,
77,77,maryland,Florida Gulf Coast,florida-gulf-coast,Florida Gulf Coast,Yes,1,2011-2012,2011-2012,RESOLVED,Current D1 registry / Maryland source normalization,,
78,78,maryland,Florida International,florida-international,FIU,Yes,1,1997-1998,1997-1998,RESOLVED,Current D1 registry / Maryland source normalization,,
79,79,maryland,Florida State,florida-state,Florida State,Yes,45,1991-1992,2013-2014,RESOLVED,Current D1 registry / Maryland source normalization,,
80,80,maryland,Fordham,fordham,Fordham,Yes,10,1956-1957,2014-2015,RESOLVED,Current D1 registry / Maryland source normalization,,
81,81,maryland,Fort Belvoir,fort-belvoir,Fort Belvoir,No,1,1943-1944,1943-1944,RESOLVED,Historical/non-current source identity or documented institutional lineage,,
82,82,maryland,G. Washington,george-washington,George Washington,Yes,4,1952-1953,2002-2003,RESOLVED,Current D1 registry / Maryland source normalization,,
83,83,maryland,Gallaudet,gallaudet,Gallaudet,No,14,1910-1911,1944-1945,RESOLVED,Historical/non-current source identity or documented institutional lineage,,
84,84,maryland,Gardner-Webb,gardner-webb,Gardner-Webb,Yes,1,2017-2018,2017-2018,RESOLVED,Current D1 registry / Maryland source normalization,,
85,85,maryland,Geo. Washington,george-washington,George Washington,Yes,24,1938-1939,2005-2006,RESOLVED,Current D1 registry / Maryland source normalization,,
86,86,maryland,George Mason,george-mason,George Mason,Yes,10,1981-1982,2021-2022,RESOLVED,Current D1 registry / Maryland source normalization,,
87,87,maryland,George Wash.,george-washington,George Washington,Yes,1,2008-2009,2008-2009,RESOLVED,Current D1 registry / Maryland source normalization,,
88,88,maryland,George Washington,george-washington,George Washington,Yes,39,1912-1913,2021-2022,RESOLVED,Current D1 registry / Maryland source normalization,,
89,89,maryland,Georgetown,georgetown,Georgetown,Yes,66,1910-1911,2025-2026,RESOLVED,Current D1 registry / Maryland source normalization,,
90,90,maryland,Georgia,georgia,Georgia,Yes,7,1923-1924,1996-1997,RESOLVED,Current D1 registry / Maryland source normalization,,
91,91,maryland,Georgia Southern,georgia-southern,Georgia Southern,Yes,1,2012-2013,2012-2013,RESOLVED,Current D1 registry / Maryland source normalization,,
92,92,maryland,Georgia State,georgia-state,Georgia State,Yes,2,1988-1989,2000-2001,RESOLVED,Current D1 registry / Maryland source normalization,,
93,93,maryland,Georgia Tech,georgia-tech,Georgia Tech,Yes,76,1972-1973,2013-2014,RESOLVED,Current D1 registry / Maryland source normalization,,
94,94,maryland,Gonzaga,gonzaga,Gonzaga,Yes,5,1994-1995,2025-2026,RESOLVED,Current D1 registry / Maryland source normalization,,
95,95,maryland,Grand Canyon,grand-canyon,Grand Canyon,Yes,1,2024-2025,2024-2025,RESOLVED,Current D1 registry / Maryland source normalization,,
96,96,maryland,Hampden-Sydney,hampden-sydney,Hampden-Sydney,No,4,1938-1939,1945-1946,RESOLVED,Historical/non-current source identity or documented institutional lineage,,
97,97,maryland,Hampton,hampton,Hampton,Yes,3,2002-2003,2007-2008,RESOLVED,Current D1 registry / Maryland source normalization,,
98,98,maryland,Harvard,harvard,Harvard,Yes,1,2019-2020,2019-2020,RESOLVED,Current D1 registry / Maryland source normalization,,
99,99,maryland,Hawaii,hawai-i,Hawai'i,Yes,3,1984-1985,2015-2016,RESOLVED,Current D1 registry / Maryland source normalization,,
100,100,maryland,Hawaii-Pacific,hawaii-pacific,Hawaii-Pacific,No,1,1985-1986,1985-1986,RESOLVED,Historical/non-current source identity or documented institutional lineage,,
101,101,maryland,High Point,high-point,High Point,Yes,1,2006-2007,2006-2007,RESOLVED,Current D1 registry / Maryland source normalization,,
102,102,maryland,Hofstra,hofstra,Hofstra,Yes,6,1981-1982,2021-2022,RESOLVED,Current D1 registry / Maryland source normalization,,
103,103,maryland,Holy Cross,holy-cross,Holy Cross,Yes,6,1971-1972,2019-2020,RESOLVED,Current D1 registry / Maryland source normalization,,
104,104,maryland,Houston,houston,Houston,Yes,3,1965-1966,2009-2010,RESOLVED,Current D1 registry / Maryland source normalization,,
105,105,maryland,Howard,howard,Howard,Yes,4,1992-1993,2016-2017,RESOLVED,Current D1 registry / Maryland source normalization,,
106,106,maryland,ILLINOIS,illinois,Illinois,Yes,1,2022-2023,2022-2023,RESOLVED,Current D1 registry / Maryland source normalization,,
107,107,maryland,IUPUI,iu-indianapolis,IU Indianapolis,Yes,1,2012-2013,2012-2013,RESOLVED,Current D1 registry / Maryland source normalization,,
108,108,maryland,Illinois,illinois,Illinois,Yes,26,1983-1984,2025-2026,RESOLVED,Current D1 registry / Maryland source normalization,,
109,109,maryland,Illinois State,illinois-state,Illinois State,Yes,1,2015-2016,2015-2016,RESOLVED,Current D1 registry / Maryland source normalization,,
110,110,maryland,Indiana,indiana,Indiana,Yes,25,1933-1934,2025-2026,RESOLVED,Current D1 registry / Maryland source normalization,,
111,111,maryland,Iona,iona,Iona,Yes,3,1999-2000,2011-2012,RESOLVED,Current D1 registry / Maryland source normalization,,
112,112,maryland,Iowa,iowa,Iowa,Yes,21,1984-1985,2025-2026,RESOLVED,Current D1 registry / Maryland source normalization,,
113,113,maryland,Iowa State,iowa-state,Iowa State,Yes,1,2014-2015,2014-2015,RESOLVED,Current D1 registry / Maryland source normalization,,
114,114,maryland,Jackson State,jackson-state,Jackson State,Yes,2,2004-2005,2017-2018,RESOLVED,Current D1 registry / Maryland source normalization,,
115,115,maryland,Jacksonville,jacksonville,Jacksonville,Yes,3,1971-1972,1990-1991,RESOLVED,Current D1 registry / Maryland source normalization,,
116,116,maryland,Jacksonville St.,jacksonville-state,Jacksonville State,Yes,1,2016-2017,2016-2017,RESOLVED,Current D1 registry / Maryland source normalization,,
117,117,maryland,James Madison,james-madison,James Madison,Yes,1,1986-1987,1986-1987,RESOLVED,Current D1 registry / Maryland source normalization,,
118,118,maryland,Johns Hopkins,johns-hopkins,Johns Hopkins,No,24,1927-1928,1983-1984,RESOLVED,Historical/non-current source identity or documented institutional lineage,,
119,119,maryland,Kansas,kansas,Kansas,Yes,6,1964-1965,2015-2016,RESOLVED,Current D1 registry / Maryland source normalization,,
120,120,maryland,Kansas State,kansas-state,Kansas State,Yes,2,1965-1966,2016-2017,RESOLVED,Current D1 registry / Maryland source normalization,,
121,121,maryland,Kent,kent-state,Kent State,Yes,1,1972-1973,1972-1973,RESOLVED,Current D1 registry / Maryland source normalization,,
122,122,maryland,Kentucky,kentucky,Kentucky,Yes,14,1927-1928,2012-2013,RESOLVED,Current D1 registry / Maryland source normalization,,
123,123,maryland,Kentucky Wesleyan,kentucky-wesleyan,Kentucky Wesleyan,No,1,1953-1954,1953-1954,RESOLVED,Historical/non-current source identity or documented institutional lineage,,
124,124,maryland,LIU-Brooklyn,long-island-university,Long Island University,Yes,1,2012-2013,2012-2013,RESOLVED,Current D1 registry / Maryland source normalization,,Normalized to the LIU program lineage.
125,125,maryland,LSU,lsu,LSU,Yes,1,2018-2019,2018-2019,RESOLVED,Current D1 registry / Maryland source normalization,,
126,126,maryland,La Salle,la-salle,La Salle,Yes,4,1983-1984,2020-2021,RESOLVED,Current D1 registry / Maryland source normalization,,
127,127,maryland,Lafayette,lafayette,Lafayette,Yes,5,1924-1925,2012-2013,RESOLVED,Current D1 registry / Maryland source normalization,,
128,128,maryland,Lamar,lamar,Lamar,Yes,1,1988-1989,1988-1989,RESOLVED,Current D1 registry / Maryland source normalization,,
129,129,maryland,Lehigh,lehigh,Lehigh,Yes,3,1970-1971,2021-2022,RESOLVED,Current D1 registry / Maryland source normalization,,
130,130,maryland,Liberty,liberty,Liberty,Yes,1,2004-2005,2004-2005,RESOLVED,Current D1 registry / Maryland source normalization,,
131,131,maryland,Long Island,long-island-university,Long Island University,Yes,7,1971-1972,1981-1982,RESOLVED,Current D1 registry / Maryland source normalization,,Normalized to the LIU program lineage.
132,132,maryland,Longwood,longwood,Longwood,Yes,2,2009-2010,2010-2011,RESOLVED,Current D1 registry / Maryland source normalization,,
133,133,maryland,Louisiana State,lsu,LSU,Yes,4,1930-1931,1988-1989,RESOLVED,Current D1 registry / Maryland source normalization,,
134,134,maryland,Louisville,louisville,Louisville,Yes,9,1961-1962,2022-2023,RESOLVED,Current D1 registry / Maryland source normalization,,
135,135,maryland,Loyola (Chicago),loyola-chicago,Loyola (Chicago),Yes,1,2018-2019,2018-2019,RESOLVED,Current D1 registry / Maryland source normalization,,
136,136,maryland,Loyola (Md.),loyola-maryland,Loyola Maryland,Yes,13,1913-1914,2018-2019,RESOLVED,Current D1 registry / Maryland source normalization,,
137,137,maryland,Loyola (New Orleans),loyola-new-orleans,Loyola (New Orleans),No,1,1958-1959,1958-1959,RESOLVED,Historical/non-current source identity or documented institutional lineage,,
138,138,maryland,MD-Eastern Shore,maryland-eastern-shore,Maryland Eastern Shore,Yes,1,2003-2004,2003-2004,RESOLVED,Current D1 registry / Maryland source normalization,,
139,139,maryland,MIchigan,michigan,Michigan,Yes,1,2019-2020,2019-2020,RESOLVED,Current D1 registry / Maryland source normalization,,
140,140,maryland,Maine,maine,Maine,Yes,2,1969-1970,2010-2011,RESOLVED,Current D1 registry / Maryland source normalization,,
141,141,maryland,Manhattan,manhattan,Manhattan,Yes,3,1957-1958,2024-2025,RESOLVED,Current D1 registry / Maryland source normalization,,
142,142,maryland,Marine Corps Institute,marine-corps-institute,Marine Corps Institute,No,2,1944-1945,1945-1946,RESOLVED,Historical/non-current source identity or documented institutional lineage,,
143,143,maryland,Marist,marist,Marist,Yes,1,2013-2014,2013-2014,RESOLVED,Current D1 registry / Maryland source normalization,,
144,144,maryland,Marquette,marquette,Marquette,Yes,3,2019-2020,2025-2026,RESOLVED,Current D1 registry / Maryland source normalization,,
145,145,maryland,Marshall,marshall,Marshall,Yes,6,1943-1944,2018-2019,RESOLVED,Current D1 registry / Maryland source normalization,,
146,146,maryland,Maryland Eastern Shore,maryland-eastern-shore,Maryland Eastern Shore,Yes,1,2015-2016,2015-2016,RESOLVED,Current D1 registry / Maryland source normalization,,
147,147,maryland,Massachusetts,massachusetts,Massachusetts,Yes,6,1989-1990,1996-1997,RESOLVED,Current D1 registry / Maryland source normalization,,
148,148,maryland,Memphis,memphis,Memphis,Yes,2,2004-2005,2008-2009,RESOLVED,Current D1 registry / Maryland source normalization,,
149,149,maryland,Memphis State,memphis,Memphis,Yes,2,1957-1958,1966-1967,RESOLVED,Current D1 registry / Maryland source normalization,,Historical Memphis State name normalized to Memphis program lineage.
150,150,maryland,Mercer,mercer,Mercer,Yes,1,2004-2005,2004-2005,RESOLVED,Current D1 registry / Maryland source normalization,,
151,151,maryland,Miami,miami,Miami (FL),Yes,22,1948-1949,2013-2014,RESOLVED,Current D1 registry / Maryland source normalization,,
152,152,maryland,Miami (FL),miami,Miami (FL),Yes,1,2022-2023,2022-2023,RESOLVED,Current D1 registry / Maryland source normalization,,
153,153,maryland,Miami (Ohio),miami-oh,Miami (OH),Yes,1,2002-2003,2002-2003,RESOLVED,Current D1 registry / Maryland source normalization,,
154,154,maryland,Miami-OH,miami-oh,Miami (OH),Yes,2,1979-1980,1984-1985,RESOLVED,Current D1 registry / Maryland source normalization,,
155,155,maryland,Michigan,michigan,Michigan,Yes,24,1926-1927,2025-2026,RESOLVED,Current D1 registry / Maryland source normalization,,
156,156,maryland,Michigan State,michigan-state,Michigan State,Yes,26,1955-1956,2025-2026,RESOLVED,Current D1 registry / Maryland source normalization,,
157,157,maryland,Minnesota,minnesota,Minnesota,Yes,21,1960-1961,2025-2026,RESOLVED,Current D1 registry / Maryland source normalization,,
158,158,maryland,Mississippi,ole-miss,Ole Miss,Yes,2,1928-1929,1987-1988,RESOLVED,Current D1 registry / Maryland source normalization,,
159,159,maryland,Mississippi State,mississippi-state,Mississippi State,Yes,3,1925-1926,1961-1962,RESOLVED,Current D1 registry / Maryland source normalization,,
160,160,maryland,Missouri,missouri,Missouri,Yes,5,1987-1988,2007-2008,RESOLVED,Current D1 registry / Maryland source normalization,,
161,161,maryland,Missouri-Kansas City,kansas-city,Kansas City,Yes,1,2006-2007,2006-2007,RESOLVED,Current D1 registry / Maryland source normalization,,
162,162,maryland,Monmouth,monmouth,Monmouth,Yes,4,1988-1989,2014-2015,RESOLVED,Current D1 registry / Maryland source normalization,,
163,163,maryland,Montana State,montana-state,Montana State,Yes,1,1956-1957,1956-1957,RESOLVED,Current D1 registry / Maryland source normalization,,
164,164,maryland,Morehead State,morehead-state,Morehead State,Yes,1,2012-2013,2012-2013,RESOLVED,Current D1 registry / Maryland source normalization,,
165,165,maryland,Morgan State,morgan-state,Morgan State,Yes,7,1988-1989,2013-2014,RESOLVED,Current D1 registry / Maryland source normalization,,
166,166,maryland,Mount St. Joseph’s,mount-st-josephs,Mount St. Joseph's,No,5,1910-1911,1913-1914,RESOLVED,Historical/non-current source identity or documented institutional lineage,,
167,167,maryland,Mount St. Mary's,mount-st-mary-s,Mount St. Mary's,Yes,1,2025-2026,2025-2026,RESOLVED,Current D1 registry / Maryland source normalization,,
168,168,maryland,Mount St. Mary’s,mount-st-mary-s,Mount St. Mary's,Yes,12,1987-1988,2024-2025,RESOLVED,Current D1 registry / Maryland source normalization,,
169,169,maryland,N.C. Central,north-carolina-central,North Carolina Central,Yes,1,2013-2014,2013-2014,RESOLVED,Current D1 registry / Maryland source normalization,,
170,170,maryland,N.C. State,nc-state,NC State,Yes,1,2013-2014,2013-2014,RESOLVED,Current D1 registry / Maryland source normalization,,
171,171,maryland,NC A&T,north-carolina-a-t,NC A&T,Yes,1,2018-2019,2018-2019,RESOLVED,Current D1 registry / Maryland source normalization,,
172,172,maryland,NC Central,north-carolina-central,North Carolina Central,Yes,1,2014-2015,2014-2015,RESOLVED,Current D1 registry / Maryland source normalization,,
173,173,maryland,NC State,nc-state,NC State,Yes,150,1924-1925,2012-2013,RESOLVED,Current D1 registry / Maryland source normalization,,
174,174,maryland,NJIT,njit,NJIT,Yes,1,2010-2011,2010-2011,RESOLVED,Current D1 registry / Maryland source normalization,,
175,175,maryland,Navy,navy,Navy,Yes,59,1924-1925,2020-2021,RESOLVED,Current D1 registry / Maryland source normalization,,
176,176,maryland,Nebraska,nebraska,Nebraska,Yes,19,2014-2015,2025-2026,RESOLVED,Current D1 registry / Maryland source normalization,,
177,177,maryland,New Hampshire,new-hampshire,New Hampshire,Yes,1,2009-2010,2009-2010,RESOLVED,Current D1 registry / Maryland source normalization,,
178,178,maryland,New Mexico,new-mexico,New Mexico,Yes,1,2017-2018,2017-2018,RESOLVED,Current D1 registry / Maryland source normalization,,
179,179,maryland,New Mexico A&M,new-mexico-state,New Mexico State,Yes,1,1956-1957,1956-1957,RESOLVED,Current D1 registry / Maryland source normalization,,Historical New Mexico A&M name normalized to New Mexico State program lineage.
180,180,maryland,New York University,new-york-university,New York University,No,2,1910-1911,1937-1938,RESOLVED,Historical/non-current source identity or documented institutional lineage,,
181,181,maryland,Niagara,niagara,Niagara,Yes,3,1971-1972,2022-2023,RESOLVED,Current D1 registry / Maryland source normalization,,
182,182,maryland,Nicholls,nicholls,Nicholls,Yes,1,2023-2024,2023-2024,RESOLVED,Current D1 registry / Maryland source normalization,,
183,183,maryland,Nicholls State,nicholls,Nicholls,Yes,1,2005-2006,2005-2006,RESOLVED,Current D1 registry / Maryland source normalization,,
184,184,maryland,No. Carolina,north-carolina,North Carolina,Yes,156,1923-1924,2001-2002,RESOLVED,Current D1 registry / Maryland source normalization,,
185,185,maryland,Norfolk State,norfolk-state,Norfolk State,Yes,2,2000-2001,2001-2002,RESOLVED,Current D1 registry / Maryland source normalization,,
186,186,maryland,North Carolina,north-carolina,North Carolina,Yes,24,2001-2002,2015-2016,RESOLVED,Current D1 registry / Maryland source normalization,,
187,187,maryland,North Florida,north-florida,North Florida,Yes,2,2007-2008,2010-2011,RESOLVED,Current D1 registry / Maryland source normalization,,
188,188,maryland,North Texas,north-texas,North Texas,Yes,1,1998-1999,1998-1999,RESOLVED,Current D1 registry / Maryland source normalization,,
189,189,maryland,Northeastern,northeastern,Northeastern,Yes,2,1985-1986,2007-2008,RESOLVED,Current D1 registry / Maryland source normalization,,
190,190,maryland,Northern Iowa,northern-iowa,Northern Iowa,Yes,1,2013-2014,2013-2014,RESOLVED,Current D1 registry / Maryland source normalization,,
191,191,maryland,Northwestern,northwestern,Northwestern,Yes,21,1958-1959,2025-2026,RESOLVED,Current D1 registry / Maryland source normalization,,
192,192,maryland,Notre Dame,notre-dame,Notre Dame,Yes,21,1974-1975,2019-2020,RESOLVED,Current D1 registry / Maryland source normalization,,
193,193,maryland,Oakland,oakland,Oakland,Yes,2,2014-2015,2019-2020,RESOLVED,Current D1 registry / Maryland source normalization,,
