index,index,source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
10,10,maryland,brendan-byrne-arena,VEN-000028,Brendan Byrne Arena,,East Rutherford,NJ,arena,,,unknown,1,1983-12-01,1983-12-01,,,,,,Maryland record book game/event footnotes,Integration rebase resolved final global venue ID VEN-000028.
11,11,maryland,bridgestone-arena,VEN-000031,Bridgestone Arena,Gaylord Entertainment Center,Nashville,TN,arena,,,unknown,2,2003-03-21,2003-03-23,,,,,,Maryland record book NCAA Tournament history / game footnotes,Physical venue aliases/source-era names used in Maryland evidence: Gaylord Entertainment Center. Integration rebase resolved final global venue ID VEN-000031.
12,12,maryland,bryce-jordan-center,VEN-000303,Bryce Jordan Center,Bryce Center,State College,PA,arena,,,unknown,1,2010-12-01,2010-12-01,,,,,,Maryland record book game/event footnotes,Physical venue aliases/source-era names used in Maryland evidence: Bryce Center. Integration rebase resolved final global venue ID VEN-000303.
13,13,maryland,baltimore-arena,VEN-000019,CFG Bank Arena,Baltimore Arena,Baltimore,MD,arena,,,unknown,12,1982-11-27,2025-11-03,,,,,,Maryland record book game/event footnotes | Maryland Athletics official 2025-26 schedule/results and nonconference schedule release,Physical venue aliases/source-era names used in Maryland evidence: Baltimore Arena. Integration preparation: current-main physical identity uses venue_key baltimore-arena. Integration rebase resolved final global venue ID VEN-000019.
14,14,maryland,cameron-indoor-stadium,VEN-000035,Cameron Indoor Stadium,,Durham,NC,arena,,,unknown,3,1947-03-13,1949-03-03,,,,,,Owner-authorized conference-tournament site workbook,Integration rebase resolved final global venue ID VEN-000035.
15,15,maryland,capital-centre,VEN-000259,Capital Centre,USAir Arena,Landover,MD,arena,,,unknown,18,1974-02-09,1996-12-09,,,,,,Owner-authorized conference-tournament site workbook | Maryland record book game/event footnotes,Physical venue aliases/source-era names used in Maryland evidence: USAir Arena. Integration rebase resolved final global venue ID VEN-000259.
16,16,maryland,capital-one-arena,VEN-000036,Capital One Arena,MCI Center; Verizon Center,Washington,DC,arena,,,unknown,21,1997-12-07,2017-03-10,,,,,,Maryland record book NCAA Tournament history / game footnotes | Owner-authorized conference-tournament site workbook | Maryland record book game/event footnotes,Physical venue aliases/source-era names used in Maryland evidence: MCI Center; Verizon Center. Integration rebase resolved final global venue ID VEN-000036.
17,17,maryland,charlotte-coliseum-1955,VEN-000040,Charlotte Coliseum (1955),Charlotte Coliseum; Charlotte Coliseum I,Charlotte,NC,arena,,,unknown,11,1958-03-14,1973-03-17,,,,,,Maryland record book NCAA Tournament history / game footnotes | Owner-authorized conference-tournament site workbook | Maryland record book game/event footnotes,Physical venue aliases/source-era names used in Maryland evidence: Charlotte Coliseum; Charlotte Coliseum I. Physical 1955 Charlotte Coliseum; distinct from the 1988 Charlotte Coliseum. Integration rebase resolved final global venue ID VEN-000040.
18,18,maryland,charlotte-coliseum-1988,VEN-000041,Charlotte Coliseum (1988),Charlotte Coliseum II,Charlotte,NC,arena,,,unknown,13,1990-03-09,2002-03-09,,,,,,Owner-authorized conference-tournament site workbook,Physical venue aliases/source-era names used in Maryland evidence: Charlotte Coliseum II. Physical 1988 Charlotte Coliseum; distinct from the 1955 Charlotte Coliseum. Integration rebase resolved final global venue ID VEN-000041.
19,19,maryland,chase-center,VEN-000042,Chase Center,,San Francisco,CA,arena,,,unknown,1,2025-03-27,2025-03-27,,,,,,Maryland record book NCAA Tournament history / game footnotes,Integration rebase resolved final global venue ID VEN-000042.
20,20,maryland,climate-pledge-arena,VEN-000315,Climate Pledge Arena,,Seattle,WA,arena,,,unknown,2,2025-03-21,2025-03-23,,,,,,Maryland record book NCAA Tournament history / game footnotes,Integration rebase resolved final global venue ID VEN-000315.
21,21,maryland,cole-field-house,VEN-000047,Cole Field House,,College Park,MD,arena,,,unknown,641,1955-12-02,2002-03-03,primary_home,1955-1956,2001-2002,season,Apply only after a game is independently established as Maryland home.,Maryland record book NIT/all-time-results footnotes | Maryland record book Arena History / home chronology,Integration rebase resolved final global venue ID VEN-000047.
22,22,maryland,extramile-arena,VEN-000061,ExtraMile Arena,BSU Pavilion,Boise,ID,arena,,,unknown,2,2001-03-15,2001-03-17,,,,,,Maryland record book NCAA Tournament history / game footnotes,Physical venue aliases/source-era names used in Maryland evidence: BSU Pavilion. Integration rebase resolved final global venue ID VEN-000061.
23,23,maryland,fiserv-forum,VEN-000063,Fiserv Forum,,Milwaukee,WI,arena,,,unknown,1,2025-11-15,2025-11-15,,,,,,Maryland Athletics official 2025-26 schedule/results and nonconference schedule release,Integration rebase resolved final global venue ID VEN-000063.
24,24,maryland,gainbridge-fieldhouse,VEN-000070,Gainbridge Fieldhouse,Bankers Life Fieldhouse; Conseco Fieldhouse,Indianapolis,IN,arena,,,unknown,7,2002-12-03,2025-03-15,,,,,,Maryland record book NCAA Tournament history / game footnotes | Owner-authorized conference-tournament site workbook | Maryland record book game/event footnotes,Physical venue aliases/source-era names used in Maryland evidence: Bankers Life Fieldhouse; Conseco Fieldhouse. Integration rebase resolved final global venue ID VEN-000070.
25,25,maryland,georgia-dome,VEN-000073,Georgia Dome,,Atlanta,GA,arena,,,unknown,7,2001-03-09,2009-03-14,,,,,,Maryland record book NCAA Tournament history / game footnotes | Owner-authorized conference-tournament site workbook,Integration rebase resolved final global venue ID VEN-000073.
26,26,maryland,greensboro-coliseum,VEN-000076,Greensboro Coliseum,,Greensboro,NC,arena,,,unknown,62,1967-03-09,2013-03-16,,,,,,Maryland record book NCAA Tournament history / game footnotes | Owner-authorized conference-tournament site workbook | Maryland record book game/event footnotes,Integration rebase resolved final global venue ID VEN-000076.
27,27,maryland,xl-center,VEN-000257,Hartford Civic Center,,Hartford,CT,arena,,,unknown,1,1991-12-04,1991-12-04,,,,,,Maryland record book game/event footnotes,Integration preparation: current-main physical identity uses venue_key xl-center. Integration rebase resolved final global venue ID VEN-000257.
28,28,maryland,hershey-park-arena,VEN-000316,Hershey Park Arena,,Hershey,PA,arena,,,unknown,4,1977-12-01,1983-12-06,,,,,,Maryland record book game/event footnotes,Integration rebase resolved final global venue ID VEN-000316.
29,29,maryland,honda-center,VEN-000082,Honda Center,Arrowhead Pond of Anaheim,Anaheim,CA,arena,,,unknown,3,1998-03-19,2001-03-24,,,,,,Maryland record book NCAA Tournament history / game footnotes,Physical venue aliases/source-era names used in Maryland evidence: Arrowhead Pond of Anaheim. Integration rebase resolved final global venue ID VEN-000082.
30,30,maryland,hubert-h-humphrey-metrodome,VEN-000085,Hubert H. Humphrey Metrodome,HHH Metrodome,Minneapolis,MN,arena,,,unknown,3,2000-03-16,2001-03-31,,,,,,Maryland record book NCAA Tournament history / game footnotes,Physical venue aliases/source-era names used in Maryland evidence: HHH Metrodome. Integration rebase resolved final global venue ID VEN-000085.
31,31,maryland,jma-wireless-dome,VEN-000096,JMA Wireless Dome,Carrier Dome,Syracuse,NY,arena,,,unknown,4,1980-12-05,2002-03-24,,,,,,Maryland record book NCAA Tournament history / game footnotes | Maryland record book game/event footnotes,Physical venue aliases/source-era names used in Maryland evidence: Carrier Dome. Integration rebase resolved final global venue ID VEN-000096.
32,32,maryland,john-paul-jones-arena,VEN-000317,John Paul Jones Arena,,Charlottesville,VA,arena,,,unknown,1,2025-12-20,2025-12-20,,,,,,Maryland Athletics official 2025-26 schedule/results and nonconference schedule release,Integration rebase resolved final global venue ID VEN-000317.
33,33,maryland,jon-m-huntsman-center,VEN-000097,Jon Huntsman Center,,Salt Lake City,UT,arena,,,unknown,2,1995-03-16,1995-03-18,,,,,,Maryland record book NCAA Tournament history / game footnotes,Integration preparation: current-main physical identity uses venue_key jon-m-huntsman-center. Integration rebase resolved final global venue ID VEN-000097.
34,34,maryland,kfc-yum-center,VEN-000104,KFC Yum! Center,,Louisville,KY,arena,,,unknown,1,2016-03-24,2016-03-24,,,,,,Maryland record book NCAA Tournament history / game footnotes,Integration rebase resolved final global venue ID VEN-000104.
35,35,maryland,britt-brown-arena,VEN-000296,Kansas Coliseum,,Wichita,KS,arena,,,unknown,2,1994-03-17,1994-03-19,,,,,,Maryland record book NCAA Tournament history / game footnotes,Integration preparation: current-main physical identity uses venue_key britt-brown-arena. Integration rebase resolved final global venue ID VEN-000296.
36,36,maryland,freedom-hall,VEN-000069,Freedom Hall,,Louisville,KY,arena,,,unknown,2,1959-12-28,1959-12-29,,,,,,Maryland record book game/event footnotes,Integration preparation: 1959 Blue Grass Festival physical site resolved to Freedom Hall; source-era pavilion wording remains in source evidence. Integration rebase resolved final global venue ID VEN-000069.
37,37,maryland,keybank-center,VEN-000103,KeyBank Center,HSBC Center,Buffalo,NY,arena,,,unknown,2,2007-03-15,2007-03-17,,,,,,Maryland record book NCAA Tournament history / game footnotes,Physical venue aliases/source-era names used in Maryland evidence: HSBC Center. Integration rebase resolved final global venue ID VEN-000103.
38,38,maryland,legacy-arena,VEN-000109,Legacy Arena,Birmingham Coliseum,Birmingham,AL,arena,,,unknown,4,1984-03-17,2023-03-18,,,,,,Maryland record book NCAA Tournament history / game footnotes,Physical venue aliases/source-era names used in Maryland evidence: Birmingham Coliseum. Integration rebase resolved final global venue ID VEN-000109.
39,39,maryland,long-beach-arena,VEN-000117,Long Beach Arena,,Long Beach,CA,arena,,,unknown,2,1986-03-14,1986-03-16,,,,,,Maryland record book NCAA Tournament history / game footnotes,Integration rebase resolved final global venue ID VEN-000117.
40,40,maryland,loyola-field-house,VEN-000318,Loyola Field House,,New Orleans,LA,arena,,,unknown,8,1957-12-28,1965-12-30,,,,,,Maryland record book game/event footnotes,Integration rebase resolved final global venue ID VEN-000318.
41,41,maryland,lucas-oil-stadium,VEN-000120,Lucas Oil Stadium,,Indianapolis,IN,arena,,,unknown,2,2021-03-11,2021-03-12,,,,,,Owner-authorized conference-tournament site workbook,Integration rebase resolved final global venue ID VEN-000120.
42,42,maryland,mgm-grand-garden-arena,VEN-000133,MGM Grand Garden Arena,,Paradise,NV,arena,,,unknown,3,2025-11-24,2025-11-26,,,,,,Maryland Athletics official 2025-26 schedule/results and nonconference schedule release,"Integration preparation: project global geography for this physical venue is Paradise, NV; source wording may use Las Vegas. Integration rebase resolved final global venue ID VEN-000133."
43,43,maryland,mackey-arena,VEN-000122,Mackey Arena,,West Lafayette,IN,arena,,,unknown,1,2021-03-20,2021-03-20,,,,,,Maryland record book NCAA Tournament history / game footnotes,Integration rebase resolved final global venue ID VEN-000122.
44,44,maryland,madison-square-garden-1968,VEN-000124,Madison Square Garden,,New York,NY,arena,,,unknown,19,1972-03-18,2018-03-01,,,,,,Owner-authorized conference-tournament site workbook | Maryland record book NIT/all-time-results footnotes | Maryland record book game/event footnotes,This is the current 1968 physical Madison Square Garden building; it is distinct from Madison Square Garden III. Integration preparation: mapped to the current Madison Square Garden physical building opened in 1968. Integration rebase resolved final global venue ID VEN-000124.
45,45,maryland,madison-square-garden-1925,VEN-000123,Madison Square Garden III,,New York,NY,arena,,,unknown,1,1958-03-11,1958-03-11,,,,,,Maryland record book NCAA Tournament history / game footnotes,Physical venue aliases/source-era names used in Maryland evidence: Madison Square Garden. This is the 1925-1968 physical Madison Square Garden building; it is distinct from the current 1968 Madison Square Garden. Integration preparation: mapped to the 1925-1968 Madison Square Garden III physical identity; generic Madison Square Garden alias removed locally so the two buildings remain unambiguous. Integration rebase resolved final global venue ID VEN-000123.
46,46,maryland,mckale-center,VEN-000127,McKale Center,,Tucson,AZ,arena,,,unknown,2,1991-12-28,1991-12-30,,,,,,Maryland record book game/event footnotes,Integration rebase resolved final global venue ID VEN-000127.
47,47,maryland,lubbock-municipal-coliseum,VEN-000119,Lubbock Municipal Coliseum,,Lubbock,TX,arena,,,unknown,1,1975-03-18,1975-03-18,,,,,,Maryland record book NCAA Tournament history / game footnotes,Integration preparation: Maryland source-era Memorial Coliseum label resolved to Lubbock Municipal Coliseum. Integration rebase resolved final global venue ID VEN-000119.
48,48,maryland,memorial-gymnasium-el-paso,VEN-000319,Memorial Gymnasium,,El Paso,TX,arena,,,unknown,2,1967-12-21,1967-12-22,,,,,,Maryland record book game/event footnotes,Integration preparation: disambiguated from the unrelated Nashville Memorial Gymnasium global identity. Integration rebase resolved final global venue ID VEN-000319.
49,49,maryland,memphis-pyramid,VEN-000131,Memphis Pyramid,The Pyramid,Memphis,TN,arena,,,unknown,1,1997-03-13,1997-03-13,,,,,,Maryland record book NCAA Tournament history / game footnotes,Physical venue aliases/source-era names used in Maryland evidence: The Pyramid. Integration rebase resolved final global venue ID VEN-000131.
50,50,maryland,miami-beach-convention-center,VEN-000320,Miami Beach Convention Center,,Miami,FL,arena,,,unknown,1,1964-12-29,1964-12-29,,,,,,Maryland record book game/event footnotes,Integration rebase resolved final global venue ID VEN-000320.
51,51,maryland,mid-south-coliseum,VEN-000136,Mid-South Coliseum,,Memphis,TN,arena,,,unknown,2,1966-12-16,1966-12-17,,,,,,Maryland record book game/event footnotes,Integration rebase resolved final global venue ID VEN-000136.
52,52,maryland,atlanta-municipal-auditorium,VEN-000274,Municipal Auditorium,,Atlanta,GA,arena,,,unknown,13,1924-02-29,1932-02-26,,,,,,Owner-authorized conference-tournament site workbook,Integration preparation: current-main physical identity uses venue_key atlanta-municipal-auditorium. Integration rebase resolved final global venue ID VEN-000274.
53,53,maryland,music-hall,VEN-000321,Music Hall,,Cincinnati,OH,arena,,,unknown,1,1949-02-02,1949-02-02,,,,,,Maryland record book game/event footnotes,Integration rebase resolved final global venue ID VEN-000321.
54,54,maryland,nationwide-arena,VEN-000148,Nationwide Arena,,Columbus,OH,arena,,,unknown,2,2015-03-20,2015-03-22,,,,,,Maryland record book NCAA Tournament history / game footnotes,Integration rebase resolved final global venue ID VEN-000148.
55,55,maryland,oakland-coliseum-arena,VEN-000153,Oakland Arena,Oakland Coliseum,Oakland,CA,arena,,,unknown,3,1973-12-21,1995-03-23,,,,,,Maryland record book NCAA Tournament history / game footnotes | Maryland record book game/event footnotes,Physical venue aliases/source-era names used in Maryland evidence: Oakland Coliseum. Integration preparation: current-main physical identity uses venue_key oakland-coliseum-arena. Integration rebase resolved final global venue ID VEN-000153.
56,56,maryland,omni-coliseum,VEN-000157,Omni Coliseum,,Atlanta,GA,arena,,,unknown,4,1983-03-11,1989-03-11,,,,,,Owner-authorized conference-tournament site workbook,Integration rebase resolved final global venue ID VEN-000157.
57,57,maryland,orlando-arena,VEN-000158,Orlando Arena,,Orlando,FL,arena,,,unknown,2,1999-03-11,1999-03-13,,,,,,Maryland record book NCAA Tournament history / game footnotes,Integration rebase resolved final global venue ID VEN-000158.
58,58,maryland,pan-american-center,VEN-000322,Pan American Center,,Las Cruces,NM,arena,,,unknown,2,1975-03-20,1975-03-22,,,,,,Maryland record book NCAA Tournament history / game footnotes,Integration rebase resolved final global venue ID VEN-000322.
59,59,maryland,prudential-center,VEN-000170,Prudential Center,"Newark, NJ / Prudential Center",Newark,NJ,arena,,,unknown,1,2024-11-24,2024-11-24,,,,,,Maryland record book game/event footnotes,"Physical venue aliases/source-era names used in Maryland evidence: Newark, NJ / Prudential Center. Integration rebase resolved final global venue ID VEN-000170."
60,60,maryland,rec-hall-penn-state,VEN-000308,Rec Hall,Recreation Building,State College,PA,arena,,,unknown,1,1990-03-19,1990-03-19,,,,,,Maryland record book NIT/all-time-results footnotes,"Physical venue aliases/source-era names used in Maryland evidence: Recreation Building. Integration preparation: current project display geography for Penn State Rec Hall is State College, PA; source wording may use University Park. Integration rebase resolved final global venue ID VEN-000308."
61,61,maryland,reunion-arena,VEN-000173,Reunion Arena,,Dallas,TX,arena,,,unknown,1,1994-03-25,1994-03-25,,,,,,Maryland record book NCAA Tournament history / game footnotes,Integration rebase resolved final global venue ID VEN-000173.
62,62,maryland,reynolds-coliseum,VEN-000174,Reynolds Coliseum,,Raleigh,NC,arena,,,unknown,24,1951-03-01,1966-03-03,,,,,,Owner-authorized conference-tournament site workbook,Integration rebase resolved final global venue ID VEN-000174.
63,63,maryland,richmond-coliseum,VEN-000175,Richmond Coliseum,,Richmond,VA,arena,,,unknown,1,1990-12-03,1990-12-03,,,,,,Maryland record book game/event footnotes,Integration rebase resolved final global venue ID VEN-000175.
64,64,maryland,ritchie-coliseum,VEN-000323,Ritchie Coliseum,,College Park,MD,arena,,,unknown,259,1932-01-11,1955-02-15,primary_home,1931-1932,1954-1955,season,Apply only after a game is independently established as Maryland home.,Maryland record book Arena History / home chronology,Integration rebase resolved final global venue ID VEN-000323.
65,65,maryland,riverfront-coliseum,VEN-000176,Riverfront Coliseum,,Cincinnati,OH,arena,,,unknown,2,1988-03-18,1988-03-20,,,,,,Maryland record book NCAA Tournament history / game footnotes,Integration rebase resolved final global venue ID VEN-000176.
66,66,maryland,robbins-center,VEN-000324,Robbins Center,,Richmond,VA,arena,,,unknown,2,1989-12-01,1989-12-02,,,,,,Maryland record book game/event footnotes,Integration rebase resolved final global venue ID VEN-000324.
67,67,maryland,roberts-municipal-stadium,VEN-000177,Roberts Stadium,,Evansville,IN,arena,,,unknown,2,1963-12-27,1963-12-28,,,,,,Maryland record book game/event footnotes,Integration preparation: current-main physical identity uses venue_key roberts-municipal-stadium. Integration rebase resolved final global venue ID VEN-000177.
68,68,maryland,rupp-arena,VEN-000181,Rupp Arena,,Lexington,KY,arena,,,unknown,1,1984-03-22,1984-03-22,,,,,,Maryland record book NCAA Tournament history / game footnotes,Integration rebase resolved final global venue ID VEN-000181.
69,69,maryland,don-haskins-center,VEN-000325,Don Haskins Center,Special Events Center,El Paso,TX,arena,,,unknown,2,1988-12-29,1988-12-30,,,,,,Maryland record book game/event footnotes,Integration preparation: El Paso Special Events Center is the physical arena now named Don Haskins Center; Special Events Center retained as its historical alias. Integration rebase resolved final global venue ID VEN-000325.
70,70,maryland,desert-financial-arena,VEN-000056,University Activity Center,,Tempe,AZ,arena,,,unknown,1,1996-03-15,1996-03-15,,,,,,Maryland record book NCAA Tournament history / game footnotes,"Integration preparation: 1996 Tempe game resolved to Arizona State University Activity Center, the physical venue now represented globally as Desert Financial Arena; source wording remains in source evidence. Integration rebase resolved final global venue ID VEN-000056."
71,71,maryland,the-spectrum,VEN-000209,Spectrum,The Spectrum,Philadelphia,PA,arena,,,unknown,1,1980-03-14,1980-03-14,,,,,,Maryland record book NCAA Tournament history / game footnotes,Physical venue aliases/source-era names used in Maryland evidence: The Spectrum. Integration preparation: current-main physical identity uses venue_key the-spectrum. Integration rebase resolved final global venue ID VEN-000209.
72,72,maryland,spectrum-center,VEN-000190,Spectrum Center,,Charlotte,NC,arena,,,unknown,1,2008-03-13,2008-03-13,,,,,,Owner-authorized conference-tournament site workbook,Integration rebase resolved final global venue ID VEN-000190.
73,73,maryland,numerica-veterans-arena,VEN-000152,Spokane Veterans Memorial Arena,Spokane Arena,Spokane,WA,arena,,,unknown,4,2010-03-19,2016-03-20,,,,,,Maryland record book NCAA Tournament history / game footnotes,Physical venue aliases/source-era names used in Maryland evidence: Spokane Arena. Integration preparation: current-main physical identity uses venue_key numerica-veterans-arena. Integration rebase resolved final global venue ID VEN-000152.
74,74,maryland,springfield-civic-center,VEN-000326,Springfield Civic Center,,Springfield,MA,arena,,,unknown,3,1993-12-28,1995-11-24,,,,,,Maryland record book game/event footnotes,Integration rebase resolved final global venue ID VEN-000326.
75,75,maryland,state-farm-arena,VEN-000195,State Farm Arena,,Atlanta,GA,arena,,,unknown,2,2012-03-08,2012-03-09,,,,,,Owner-authorized conference-tournament site workbook,Integration rebase resolved final global venue ID VEN-000195.
76,76,maryland,t-mobile-center,VEN-000202,T-Mobile Center,Sprint Center,Kansas City,MO,arena,,,unknown,4,2007-11-19,2009-03-21,,,,,,Maryland record book NCAA Tournament history / game footnotes | Maryland record book game/event footnotes,Physical venue aliases/source-era names used in Maryland evidence: Sprint Center. Integration rebase resolved final global venue ID VEN-000202.
77,77,maryland,target-center,VEN-000260,Target Center,,Minneapolis,MN,arena,,,unknown,3,1997-11-14,2024-03-14,,,,,,Owner-authorized conference-tournament site workbook | Maryland record book game/event footnotes,Integration rebase resolved final global venue ID VEN-000260.
78,78,maryland,the-gymnasium,VEN-000327,The Gymnasium,,College Park,MD,arena,,,unknown,82,1924-02-05,1931-02-25,primary_home,1923-1924,1930-1931,season,Apply only after a game is independently established as Maryland home.,Maryland record book Arena History / home chronology,Integration rebase resolved final global venue ID VEN-000327.
79,79,maryland,the-summit,VEN-000210,The Summit,,Houston,TX,arena,,,unknown,2,1983-03-17,1983-03-22,,,,,,Maryland record book NCAA Tournament history / game footnotes,Integration rebase resolved final global venue ID VEN-000210.
80,80,maryland,thompson-gym,VEN-000328,Thompson Gym,,Raleigh,NC,arena,,,unknown,15,1933-02-24,1946-03-01,,,,,,Owner-authorized conference-tournament site workbook,Integration rebase resolved final global venue ID VEN-000328.
81,81,maryland,thompson-boling-arena,VEN-000211,Thompson-Boling Arena,,Knoxville,TN,arena,,,unknown,1,1999-03-18,1999-03-18,,,,,,Maryland record book NCAA Tournament history / game footnotes,Integration rebase resolved final global venue ID VEN-000211.
82,82,maryland,university-of-dayton-arena,VEN-000221,UD Arena,Dayton Arena,Dayton,OH,arena,,,unknown,4,1981-03-12,1985-03-17,,,,,,Maryland record book NCAA Tournament history / game footnotes,Physical venue aliases/source-era names used in Maryland evidence: Dayton Arena. Integration preparation: current-main physical identity uses venue_key university-of-dayton-arena. Integration rebase resolved final global venue ID VEN-000221.
83,83,maryland,united-center,VEN-000217,United Center,,Chicago,IL,arena,,,unknown,7,2015-03-13,2026-03-11,,,,,,Owner-authorized conference-tournament site workbook | Maryland Athletics official 2025-26 schedule/results and nonconference schedule release,Integration rebase resolved final global venue ID VEN-000217.
84,84,maryland,cassell-coliseum,VEN-000329,Cassell Coliseum,,Blacksburg,VA,arena,,,unknown,2,1963-12-20,1963-12-21,,,,,,Maryland record book game/event footnotes,Integration preparation: 1963 Virginia Tech tournament site resolved to Cassell Coliseum; source wording remains in evidence. Integration rebase resolved final global venue ID VEN-000329.
85,85,maryland,vystar-veterans-memorial-arena,VEN-000227,VyStar Veterans Memorial Arena,Jacksonville Veterans Memorial Arena,Jacksonville,FL,arena,,,unknown,2,2019-03-21,2019-03-23,,,,,,Maryland record book NCAA Tournament history / game footnotes,Physical venue aliases/source-era names used in Maryland evidence: Jacksonville Veterans Memorial Arena. Integration rebase resolved final global venue ID VEN-000227.
86,86,maryland,worcester-centrum,VEN-000234,Worcester Centrum,,Worcester,MA,arena,,,unknown,2,1983-01-26,1997-02-15,,,,,,Maryland record book game/event footnotes,Integration rebase resolved final global venue ID VEN-000234.
87,87,maryland,xfinity-center,VEN-000236,XFINITY Center,Comcast Center,College Park,MD,arena,,,unknown,421,2002-11-12,2026-03-08,primary_home,2002-2003,,season,Apply only after a game is independently established as Maryland home.,Maryland record book NIT/all-time-results footnotes | Maryland record book Arena History / home chronology | Maryland Athletics official 2025-26 schedule/results and nonconference schedule release,Physical venue aliases/source-era names used in Maryland evidence: Comcast Center. Integration rebase resolved final global venue ID VEN-000236.
88,88,maryland,virginia-memorial-gymnasium,VEN-000330,Memorial Gymnasium (Virginia),,Charlottesville,VA,ARENA,1924,1965,YEAR,1,1949-01-04,1949-01-04,EVENT_SITE,1949-01-04,1949-01-04,EXACT,NEUTRAL_ONLY,Maryland record-book game footnote; official Maryland 1948-49 schedule; University of Virginia venue history,"Physical identity is the University of Virginia Memorial Gymnasium in Charlottesville, opened 1924 and used by Virginia basketball before University Hall. Distinct from the Memorial Gymnasium in El Paso, Texas. Research-time venue_id is provisional pending current-main rebase. Integration preparation: generic Memorial Gymnasium alias removed locally to prevent collision with the distinct El Paso venue. Integration rebase resolved final global venue ID VEN-000330."
