index,source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,site_research_status,site_research_basis,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
13,UTA-S1-00014,utah,2025_26_record_book_year_by_year,1909-1910,1910,1909-12-06,Fort Douglas,Fort Douglas,fort-douglas,No,63,2,W,0,,,,SOURCE_PROGRAM_HOME,,,Salt Lake City,UT,,,REGULAR_SEASON,,PDF p.135 col.1 (printed history section),12/06 Fort Douglas W 63-2,resolved,[STAGE1_CORRECTION RAW_ACCEPTED] | [RESEARCHED_UNRESOLVED_HOME_VENUE] HOME and complete city/state established; exact physical venue remains unresolved after dedicated historical research.,RESEARCHED_UNRESOLVED_HOME_VENUE,"University catalogs confirm a campus gymnasium was in use by 1905-06, while Deseret Gym opened in 1910; Utah source establishes HOME/Salt Lake City but reviewed evidence does not safely identify the exact building for these pre-Deseret games.",,,,
14,UTA-S1-00015,utah,2025_26_record_book_year_by_year,1909-1910,1910,1909-12-11,YMCA,YMCA,ymca,No,25,21,W,0,,,,SOURCE_PROGRAM_HOME,,,Salt Lake City,UT,,,REGULAR_SEASON,,PDF p.135 col.1 (printed history section),12/11 YMCA W 25-21,resolved,[STAGE1_CORRECTION RAW_ACCEPTED] | [RESEARCHED_UNRESOLVED_HOME_VENUE] HOME and complete city/state established; exact physical venue remains unresolved after dedicated historical research.,RESEARCHED_UNRESOLVED_HOME_VENUE,"University catalogs confirm a campus gymnasium was in use by 1905-06, while Deseret Gym opened in 1910; Utah source establishes HOME/Salt Lake City but reviewed evidence does not safely identify the exact building for these pre-Deseret games.",,,,
15,UTA-S1-00016,utah,2025_26_record_book_year_by_year,1909-1910,1910,1909-12-18,at Appollo,Appollo,appollo,No,38,24,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p.135 col.1 (printed history section),12/18 at Appollo W 38-24,resolved,[STAGE1_CORRECTION RAW_ACCEPTED] | Research site provenance: Regular-season AWAY H/A/N is explicit in Utah source; opponent-building reconstruction is reciprocal debt allowed by site-completeness policy and is not a Utah research-freeze blocker.,,,,,,
16,UTA-S1-00017,utah,2025_26_record_book_year_by_year,1909-1910,1910,1910-01-05,Salt Lake HS,Salt Lake HS (West),salt-lake-hs-west,No,26,10,W,0,,,,SOURCE_PROGRAM_HOME,,,Salt Lake City,UT,,,REGULAR_SEASON,,PDF p.135 col.1 (printed history section),01/05 Salt Lake HS W 26-10,resolved,[STAGE1_CORRECTION RAW_ACCEPTED] | [RESEARCHED_UNRESOLVED_HOME_VENUE] HOME and complete city/state established; exact physical venue remains unresolved after dedicated historical research.,RESEARCHED_UNRESOLVED_HOME_VENUE,"University catalogs confirm a campus gymnasium was in use by 1905-06, while Deseret Gym opened in 1910; Utah source establishes HOME/Salt Lake City but reviewed evidence does not safely identify the exact building for these pre-Deseret games.",,,,
17,UTA-S1-00018,utah,2025_26_record_book_year_by_year,1909-1910,1910,1910-01-12,YMCA,YMCA,ymca,No,29,35,L,0,,,,SOURCE_PROGRAM_HOME,,,Salt Lake City,UT,,,REGULAR_SEASON,,PDF p.135 col.1 (printed history section),01/12 YMCA L 29-35,resolved,[STAGE1_CORRECTION RAW_ACCEPTED] | [RESEARCHED_UNRESOLVED_HOME_VENUE] HOME and complete city/state established; exact physical venue remains unresolved after dedicated historical research.,RESEARCHED_UNRESOLVED_HOME_VENUE,"University catalogs confirm a campus gymnasium was in use by 1905-06, while Deseret Gym opened in 1910; Utah source establishes HOME/Salt Lake City but reviewed evidence does not safely identify the exact building for these pre-Deseret games.",,,,
18,UTA-S1-00019,utah,2025_26_record_book_year_by_year,1909-1910,1910,1910-01-20,BY College*,Brigham Young College,brigham-young-college,No,98,27,W,0,,,,SOURCE_PROGRAM_HOME,,,Salt Lake City,UT,,,REGULAR_SEASON,,PDF p.135 col.1 (printed history section),01/20 BY College* W 98-27,resolved,[STAGE1_CORRECTION RAW_ACCEPTED] | [RESEARCHED_UNRESOLVED_HOME_VENUE] HOME and complete city/state established; exact physical venue remains unresolved after dedicated historical research.,RESEARCHED_UNRESOLVED_HOME_VENUE,"University catalogs confirm a campus gymnasium was in use by 1905-06, while Deseret Gym opened in 1910; Utah source establishes HOME/Salt Lake City but reviewed evidence does not safely identify the exact building for these pre-Deseret games.",,,,
19,UTA-S1-00020,utah,2025_26_record_book_year_by_year,1909-1910,1910,1910-01-28,LDSU*,LDS University,lds-university,No,73,23,W,0,,,,SOURCE_PROGRAM_HOME,,,Salt Lake City,UT,,,REGULAR_SEASON,,PDF p.135 col.1 (printed history section),01/28 LDSU* W 73-23,resolved,[STAGE1_CORRECTION RAW_ACCEPTED] | [RESEARCHED_UNRESOLVED_HOME_VENUE] HOME and complete city/state established; exact physical venue remains unresolved after dedicated historical research.,RESEARCHED_UNRESOLVED_HOME_VENUE,"University catalogs confirm a campus gymnasium was in use by 1905-06, while Deseret Gym opened in 1910; Utah source establishes HOME/Salt Lake City but reviewed evidence does not safely identify the exact building for these pre-Deseret games.",,,,
20,UTA-S1-00021,utah,2025_26_record_book_year_by_year,1909-1910,1910,1910-02-05,BYU*,BYU,byu,Yes,27,31,L,0,,,,SOURCE_PROGRAM_HOME,,,Salt Lake City,UT,,,REGULAR_SEASON,,PDF p.135 col.1 (printed history section),02/05 BYU* L 27-31,resolved,[STAGE1_CORRECTION RAW_ACCEPTED] | [RESEARCHED_UNRESOLVED_HOME_VENUE] HOME and complete city/state established; exact physical venue remains unresolved after dedicated historical research.,RESEARCHED_UNRESOLVED_HOME_VENUE,"University catalogs confirm a campus gymnasium was in use by 1905-06, while Deseret Gym opened in 1910; Utah source establishes HOME/Salt Lake City but reviewed evidence does not safely identify the exact building for these pre-Deseret games.",,,,
21,UTA-S1-00022,utah,2025_26_record_book_year_by_year,1909-1910,1910,1910-02-09,YMCA,YMCA,ymca,No,31,27,W,0,,,,SOURCE_PROGRAM_HOME,,,Salt Lake City,UT,,,REGULAR_SEASON,,PDF p.135 col.1 (printed history section),02/09 YMCA W 31-27,resolved,[STAGE1_CORRECTION RAW_ACCEPTED] | [RESEARCHED_UNRESOLVED_HOME_VENUE] HOME and complete city/state established; exact physical venue remains unresolved after dedicated historical research.,RESEARCHED_UNRESOLVED_HOME_VENUE,"University catalogs confirm a campus gymnasium was in use by 1905-06, while Deseret Gym opened in 1910; Utah source establishes HOME/Salt Lake City but reviewed evidence does not safely identify the exact building for these pre-Deseret games.",,,,
22,UTA-S1-00023,utah,2025_26_record_book_year_by_year,1909-1910,1910,1910-02-11,at BYU*,BYU,byu,Yes,17,31,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p.135 col.1 (printed history section),02/11 at BYU* L 17-31,resolved,[STAGE1_CORRECTION RAW_ACCEPTED] | Research site provenance: Regular-season AWAY H/A/N is explicit in Utah source; opponent-building reconstruction is reciprocal debt allowed by site-completeness policy and is not a Utah research-freeze blocker.,,,,,,
23,UTA-S1-00024,utah,2025_26_record_book_year_by_year,1909-1910,1910,1910-02-12,YMCA,YMCA,ymca,No,34,26,W,0,,,,SOURCE_PROGRAM_HOME,,,Salt Lake City,UT,,,REGULAR_SEASON,,PDF p.135 col.1 (printed history section),02/12 YMCA W 34-26,resolved,[STAGE1_CORRECTION RAW_ACCEPTED] | [RESEARCHED_UNRESOLVED_HOME_VENUE] HOME and complete city/state established; exact physical venue remains unresolved after dedicated historical research.,RESEARCHED_UNRESOLVED_HOME_VENUE,"University catalogs confirm a campus gymnasium was in use by 1905-06, while Deseret Gym opened in 1910; Utah source establishes HOME/Salt Lake City but reviewed evidence does not safely identify the exact building for these pre-Deseret games.",,,,
24,UTA-S1-00025,utah,2025_26_record_book_year_by_year,1909-1910,1910,1910-02-17,Utah State*,Utah State,utah-state,Yes,63,20,W,0,,,,SOURCE_PROGRAM_HOME,,,Salt Lake City,UT,,,REGULAR_SEASON,,PDF p.135 col.1 (printed history section),02/17 Utah State* W 63-20,resolved,[STAGE1_CORRECTION RAW_ACCEPTED] | [RESEARCHED_UNRESOLVED_HOME_VENUE] HOME and complete city/state established; exact physical venue remains unresolved after dedicated historical research.,RESEARCHED_UNRESOLVED_HOME_VENUE,"University catalogs confirm a campus gymnasium was in use by 1905-06, while Deseret Gym opened in 1910; Utah source establishes HOME/Salt Lake City but reviewed evidence does not safely identify the exact building for these pre-Deseret games.",,,,
25,UTA-S1-00026,utah,2025_26_record_book_year_by_year,1909-1910,1910,1910-02-23,LDSU*,LDS University,lds-university,No,67,20,W,0,,,,SOURCE_PROGRAM_HOME,,,Salt Lake City,UT,,,REGULAR_SEASON,,PDF p.135 col.1 (printed history section),02/23 LDSU* W 67-20,resolved,[STAGE1_CORRECTION RAW_ACCEPTED] | [RESEARCHED_UNRESOLVED_HOME_VENUE] HOME and complete city/state established; exact physical venue remains unresolved after dedicated historical research.,RESEARCHED_UNRESOLVED_HOME_VENUE,"University catalogs confirm a campus gymnasium was in use by 1905-06, while Deseret Gym opened in 1910; Utah source establishes HOME/Salt Lake City but reviewed evidence does not safely identify the exact building for these pre-Deseret games.",,,,
26,UTA-S1-00027,utah,2025_26_record_book_year_by_year,1909-1910,1910,1910-02-25,at BY College*,Brigham Young College,brigham-young-college,No,62,25,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p.135 col.1 (printed history section),02/25 at BY College* W 62-25,resolved,[STAGE1_CORRECTION RAW_ACCEPTED] | Research site provenance: Regular-season AWAY H/A/N is explicit in Utah source; opponent-building reconstruction is reciprocal debt allowed by site-completeness policy and is not a Utah research-freeze blocker.,,,,,,
27,UTA-S1-00028,utah,2025_26_record_book_year_by_year,1909-1910,1910,1910-02-26,at Utah State*,Utah State,utah-state,Yes,38,18,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p.135 col.1 (printed history section),02/26 at Utah State* W 38-18,resolved,[STAGE1_CORRECTION RAW_ACCEPTED] | Research site provenance: Regular-season AWAY H/A/N is explicit in Utah source; opponent-building reconstruction is reciprocal debt allowed by site-completeness policy and is not a Utah research-freeze blocker.,,,,,,
28,UTA-S1-00029,utah,2025_26_record_book_year_by_year,1909-1910,1910,1910-03-18,at Montana State,Montana State,montana-state,Yes,36,19,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p.135 col.1 (printed history section),03/18 at Montana State W 36-19,resolved,[STAGE1_CORRECTION RAW_ACCEPTED] | Research site provenance: Regular-season AWAY H/A/N is explicit in Utah source; opponent-building reconstruction is reciprocal debt allowed by site-completeness policy and is not a Utah research-freeze blocker.,,,,,,
29,UTA-S1-00030,utah,2025_26_record_book_year_by_year,1909-1910,1910,1910-03-19,at Butte 5W,Butte 5W,butte-5w,No,,,W,0,FORFEIT,Official Utah year-by-year history records W 2-0 (FF). The 2-0 is preserved as source/admin evidence; no separate on-court score is asserted in Stage 1.,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p.135 col.1 (printed history section),03/19 at Butte 5W W 2-0 (FF),resolved,[STAGE1_CORRECTION ADMIN_RESULT_PRESERVED_ON_COURT_SCORE_UNASSERTED] Utah historical record explicitly marks the 03/19/1910 Butte 5W entry as a forfeit. | Research site provenance: Regular-season AWAY H/A/N is explicit in Utah source; opponent-building reconstruction is reciprocal debt allowed by site-completeness policy and is not a Utah research-freeze blocker.,,,,,,
30,UTA-S1-00031,utah,2025_26_record_book_year_by_year,1909-1910,1910,1910-03-21,at Shelley HS,Shelley HS,shelley-hs,No,80,29,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p.135 col.1 (printed history section),03/21 at Shelley HS W 80-29,resolved,[STAGE1_CORRECTION RAW_ACCEPTED] | Research site provenance: Regular-season AWAY H/A/N is explicit in Utah source; opponent-building reconstruction is reciprocal debt allowed by site-completeness policy and is not a Utah research-freeze blocker.,,,,,,
31,UTA-S1-00032,utah,2025_26_record_book_year_by_year,1910-1911,1911,1911-01-14,YMCA,YMCA,ymca,No,43,18,W,0,,,,SOURCE_PROGRAM_HOME,,Deseret Gymnasium,Salt Lake City,UT,,,REGULAR_SEASON,,PDF p.135 col.1 (printed history section),01/14 YMCA W 43-18,resolved,[STAGE1_CORRECTION RAW_ACCEPTED] | Research site provenance: Deseret Gym history states University of Utah home basketball games used the original 1910 gym; Utah Athletics identifies 1940-01-09 as the first game at Nielsen Fieldhouse.,,,,,,
32,UTA-S1-00033,utah,2025_26_record_book_year_by_year,1910-1911,1911,1911-01-19,Fort Douglas,Fort Douglas,fort-douglas,No,79,6,W,0,,,,SOURCE_PROGRAM_HOME,,Deseret Gymnasium,Salt Lake City,UT,,,REGULAR_SEASON,,PDF p.135 col.1 (printed history section),01/19 Fort Douglas W 79-6,resolved,[STAGE1_CORRECTION RAW_ACCEPTED] | Research site provenance: Deseret Gym history states University of Utah home basketball games used the original 1910 gym; Utah Athletics identifies 1940-01-09 as the first game at Nielsen Fieldhouse.,,,,,,
33,UTA-S1-00034,utah,2025_26_record_book_year_by_year,1910-1911,1911,1911-01-28,at BYU*,BYU,byu,Yes,27,47,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p.135 col.1 (printed history section),01/28 at BYU* L 27-47,resolved,[STAGE1_CORRECTION RAW_ACCEPTED] | Research site provenance: Regular-season AWAY H/A/N is explicit in Utah source; opponent-building reconstruction is reciprocal debt allowed by site-completeness policy and is not a Utah research-freeze blocker.,,,,,,
34,UTA-S1-00035,utah,2025_26_record_book_year_by_year,1910-1911,1911,1911-02-11,at Utah State*,Utah State,utah-state,Yes,26,22,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p.135 col.1 (printed history section),02/11 at Utah State* W 26-22,resolved,[STAGE1_CORRECTION RAW_ACCEPTED] | Research site provenance: Regular-season AWAY H/A/N is explicit in Utah source; opponent-building reconstruction is reciprocal debt allowed by site-completeness policy and is not a Utah research-freeze blocker.,,,,,,
35,UTA-S1-00036,utah,2025_26_record_book_year_by_year,1910-1911,1911,1911-02-17,Utah State*,Utah State,utah-state,Yes,45,32,W,0,,,,SOURCE_PROGRAM_HOME,,Deseret Gymnasium,Salt Lake City,UT,,,REGULAR_SEASON,,PDF p.135 col.1 (printed history section),02/17 Utah State* W 45-32,resolved,[STAGE1_CORRECTION RAW_ACCEPTED] | Research site provenance: Deseret Gym history states University of Utah home basketball games used the original 1910 gym; Utah Athletics identifies 1940-01-09 as the first game at Nielsen Fieldhouse.,,,,,,
36,UTA-S1-00037,utah,2025_26_record_book_year_by_year,1910-1911,1911,1911-02-22,Henagers,Henagers,henagers,No,55,34,W,0,,,,SOURCE_PROGRAM_HOME,,Deseret Gymnasium,Salt Lake City,UT,,,REGULAR_SEASON,,PDF p.135 col.1 (printed history section),02/22 Henagers W 55-34,resolved,[STAGE1_CORRECTION RAW_ACCEPTED] | Research site provenance: Deseret Gym history states University of Utah home basketball games used the original 1910 gym; Utah Athletics identifies 1940-01-09 as the first game at Nielsen Fieldhouse.,,,,,,
37,UTA-S1-00038,utah,2025_26_record_book_year_by_year,1910-1911,1911,1911-02-25,BYU*,BYU,byu,Yes,26,33,L,0,,,,SOURCE_PROGRAM_HOME,,Deseret Gymnasium,Salt Lake City,UT,,,REGULAR_SEASON,,PDF p.135 col.1 (printed history section),02/25 BYU* L 26-33,resolved,[STAGE1_CORRECTION RAW_ACCEPTED] | Research site provenance: Deseret Gym history states University of Utah home basketball games used the original 1910 gym; Utah Athletics identifies 1940-01-09 as the first game at Nielsen Fieldhouse.,,,,,,
38,UTA-S1-00039,utah,2025_26_record_book_year_by_year,1911-1912,1912,1912-01-27,YMCA,YMCA,ymca,No,35,28,W,0,,,,SOURCE_PROGRAM_HOME,,Deseret Gymnasium,Salt Lake City,UT,,,REGULAR_SEASON,,PDF p.135 col.2 (printed history section),01/27 YMCA W 35-28,resolved,[STAGE1_CORRECTION RAW_ACCEPTED] | Research site provenance: Deseret Gym history states University of Utah home basketball games used the original 1910 gym; Utah Athletics identifies 1940-01-09 as the first game at Nielsen Fieldhouse.,,,,,,
39,UTA-S1-00040,utah,2025_26_record_book_year_by_year,1911-1912,1912,1912-02-02,Utah State*,Utah State,utah-state,Yes,40,17,W,0,,,,SOURCE_PROGRAM_HOME,,Deseret Gymnasium,Salt Lake City,UT,,,REGULAR_SEASON,,PDF p.135 col.2 (printed history section),02/02 Utah State* W 40-17,resolved,[STAGE1_CORRECTION RAW_ACCEPTED] | Research site provenance: Deseret Gym history states University of Utah home basketball games used the original 1910 gym; Utah Athletics identifies 1940-01-09 as the first game at Nielsen Fieldhouse.,,,,,,
40,UTA-S1-00041,utah,2025_26_record_book_year_by_year,1911-1912,1912,1912-02-07,YMCA,YMCA,ymca,No,42,30,W,0,,,,SOURCE_PROGRAM_HOME,,Deseret Gymnasium,Salt Lake City,UT,,,REGULAR_SEASON,,PDF p.135 col.2 (printed history section),02/07 YMCA W 42-30,resolved,[STAGE1_CORRECTION RAW_ACCEPTED] | Research site provenance: Deseret Gym history states University of Utah home basketball games used the original 1910 gym; Utah Athletics identifies 1940-01-09 as the first game at Nielsen Fieldhouse.,,,,,,
41,UTA-S1-00042,utah,2025_26_record_book_year_by_year,1911-1912,1912,1912-02-09,LDS HS,LDS HS,lds-hs,No,36,32,W,0,,,,SOURCE_PROGRAM_HOME,,Deseret Gymnasium,Salt Lake City,UT,,,REGULAR_SEASON,,PDF p.135 col.2 (printed history section),02/09 LDS HS W 36-32,resolved,[STAGE1_CORRECTION RAW_ACCEPTED] | Research site provenance: Deseret Gym history states University of Utah home basketball games used the original 1910 gym; Utah Athletics identifies 1940-01-09 as the first game at Nielsen Fieldhouse.,,,,,,
42,UTA-S1-00043,utah,2025_26_record_book_year_by_year,1911-1912,1912,1912-02-17,BYU*,BYU,byu,Yes,25,36,L,0,,,,SOURCE_PROGRAM_HOME,,Deseret Gymnasium,Salt Lake City,UT,,,REGULAR_SEASON,,PDF p.135 col.2 (printed history section),02/17 BYU* L 25-36,resolved,[STAGE1_CORRECTION RAW_ACCEPTED] | Research site provenance: Deseret Gym history states University of Utah home basketball games used the original 1910 gym; Utah Athletics identifies 1940-01-09 as the first game at Nielsen Fieldhouse.,,,,,,
