source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
iowa-state,Bradley,bradley,Bradley,Yes,13,1940-1941,2009-2010,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Bucknell,bucknell,Bucknell,Yes,1,2004-2005,2004-2005,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Buffalo,buffalo,Buffalo,Yes,2,1992-1993,2015-2016,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Butler,butler,Butler,Yes,1,1987-1988,1987-1988,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,California,california,California,Yes,5,1976-1977,2010-2011,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Camp Dodge,camp-dodge,Camp Dodge,No,2,1917-1918,1918-1919,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Campbell,campbell,Campbell,Yes,1,2012-2013,2012-2013,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Canisius,canisius,Canisius,Yes,1,1948-1949,1948-1949,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Carleton,carleton,Carleton,No,1,1954-1955,1954-1955,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Centenary,centenary,Centenary,No,1,2007-2008,2007-2008,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Central,central-college-iowa,Central College (Iowa),No,5,1916-1917,1936-1937,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Central Conn. St.,central-connecticut,Central Connecticut,Yes,2,1995-1996,1999-2000,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Central Michigan,central-michigan,Central Michigan,Yes,1,2011-2012,2011-2012,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Chaminade,chaminade,Chaminade,No,1,1990-1991,1990-1991,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Charleston-Southern,charleston-southern,Charleston Southern,Yes,1,1993-1994,1993-1994,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Charlotte,charlotte,Charlotte,Yes,1,1995-1996,1995-1996,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Chattanooga,chattanooga,Chattanooga,Yes,1,2015-2016,2015-2016,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Chicago,university-of-chicago,University of Chicago,No,3,1916-1917,1926-1927,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Chicago State,chicago-state,Chicago State,Yes,9,1972-1973,2021-2022,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Cincinnati,cincinnati,Cincinnati,Yes,10,1996-1997,2025-2026,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Coe,coe,Coe,No,14,1915-1916,2002-2003,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Colorado,colorado,Colorado,Yes,152,1947-1948,2025-2026,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Colorado State,colorado-state,Colorado State,Yes,6,1953-1954,2005-2006,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Connecticut,uconn,UConn,Yes,3,2011-2012,2022-2023,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Coppin State,coppin-state,Coppin State,Yes,3,1995-1996,2015-2016,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Cornell,cornell-college-iowa,Cornell College (Iowa),No,10,1917-1918,1948-1949,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Cornell (N.Y.),cornell,Cornell,Yes,1,1984-1985,1984-1985,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Creighton,creighton,Creighton,Yes,33,1925-1926,2025-2026,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Dartmouth,dartmouth,Dartmouth,Yes,1,2010-2011,2010-2011,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Davidson,davidson,Davidson,Yes,1,1989-1990,1989-1990,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Dayton,dayton,Dayton,Yes,3,1986-1987,2024-2025,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,DePaul,depaul,DePaul,Yes,2,1967-1968,2023-2024,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Denver,denver,Denver,Yes,5,1936-1937,1984-1985,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Detroit,detroit-mercy,Detroit Mercy,Yes,3,1985-1986,1997-1998,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Drake,drake,Drake,Yes,175,1907-1908,2018-2019,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Dubuque,university-of-dubuque,University of Dubuque,No,1,1941-1942,1941-1942,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Duke,duke,Duke,Yes,1,2009-2010,2009-2010,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,East Carolina,east-carolina,East Carolina,Yes,1,1980-1981,1980-1981,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,East Tenn. St.,east-tennessee-state,East Tennessee State,Yes,1,1996-1997,1996-1997,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Eastern Illinois,eastern-illinois,Eastern Illinois,Yes,5,1987-1988,2025-2026,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,FDU,fairleigh-dickinson,Fairleigh Dickinson,Yes,1,2025-2026,2025-2026,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,FIU,florida-international,Florida International,Yes,1,1986-1987,1986-1987,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Fairfield,fairfield,Fairfield,Yes,2,1980-1981,1991-1992,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Florida,florida,Florida,Yes,3,1979-1980,1994-1995,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Florida A&M,florida-a-m,Florida A&M,Yes,3,1989-1990,2023-2024,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Florida Atlantic,florida-atlantic,Florida Atlantic,Yes,2,1992-1993,1993-1994,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Florida Gulf Coast,florida-gulf-coast,Florida Gulf Coast,Yes,1,2012-2013,2012-2013,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Florida State,florida-state,Florida State,Yes,2,1992-1993,2003-2004,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Florida Tech,florida-tech,Florida Tech,No,1,1994-1995,1994-1995,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Fort Dodge,fort-dodge-company-g,Fort Dodge Co. G,No,1,1915-1916,1915-1916,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Fort Dodge YMCA,fort-dodge-ymca,Fort Dodge YMCA,No,1,1920-1921,1920-1921,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Fresno State,fresno-state,Fresno State,Yes,2,1998-1999,2005-2006,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,George Mason,george-mason,George Mason,Yes,1,2013-2014,2013-2014,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Georgia,georgia,Georgia,Yes,1,2003-2004,2003-2004,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Georgia State,georgia-state,Georgia State,Yes,1,2014-2015,2014-2015,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Georgia Tech,georgia-tech,Georgia Tech,Yes,1,1987-1988,1987-1988,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Gonzaga,gonzaga,Gonzaga,Yes,1,2016-2017,2016-2017,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Grambling State,grambling,Grambling,Yes,4,1987-1988,2025-2026,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Green Bay,green-bay,Green Bay,Yes,2,1986-1987,2023-2024,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Grinnell,grinnell,Grinnell,No,52,1908-1909,1953-1954,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Hampton,hampton,Hampton,Yes,1,2000-2001,2000-2001,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Hardin-Simmons,hardin-simmons,Hardin-Simmons,No,1,1968-1969,1968-1969,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Hartford,hartford,Hartford,No,1,2001-2002,2001-2002,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Harvard,harvard,Harvard,Yes,1,1948-1949,1948-1949,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Hawaii,hawai-i,Hawai'i,Yes,1,2008-2009,2008-2009,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Hawaii-Hilo,hawaii-hilo,Hawaii-Hilo,No,1,1999-2000,1999-2000,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Holy Cross,holy-cross,Holy Cross,Yes,1,1970-1971,1970-1971,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Houston,houston,Houston,Yes,11,1956-1957,2025-2026,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
