index,source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,opened,closed,date_precision,games_using_venue,first_game_date,last_game_date,source_basis,notes
17,butler,greensboro-coliseum,VEN-000076,Greensboro Coliseum,,Greensboro,NC,arena,,,,1,2009-03-19,2009-03-19,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000076.
18,butler,riverfront-coliseum,VEN-000176,Heritage Bank Center,Riverfront Coliseum;Cincinnati Coliseum;Firstar Center;U.S. Bank Arena,Cincinnati,OH,arena,,,,3,1992-03-12,1992-03-14,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration current-main rebase mechanically normalized research venue key 'heritage-bank-center' to authoritative physical venue key 'riverfront-coliseum' (VEN-000176). Integration rebase resolved final global venue ID VEN-000176.
19,butler,hinkle-fieldhouse,VEN-000080,Hinkle Fieldhouse,Butler Fieldhouse,Indianapolis,IN,arena,,,,1242,1928-03-07,2026-03-04,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000080.
20,butler,sap-center,VEN-000183,HP Pavilion,SAP Center,San Jose,CA,arena,,,,2,2010-03-18,2010-03-20,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration current-main rebase mechanically normalized research venue key 'hp-pavilion' to authoritative physical venue key 'sap-center' (VEN-000183). Integration rebase resolved final global venue ID VEN-000183.
21,butler,keybank-center,VEN-000103,HSBC Arena,KeyBank Center,Buffalo,NY,arena,,,,2,2007-03-15,2007-03-17,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration current-main rebase mechanically normalized research venue key 'hsbc-arena' to authoritative physical venue key 'keybank-center' (VEN-000103). Integration rebase resolved final global venue ID VEN-000103.
22,butler,iowa-field-house,VEN-000091,Iowa Field House,,Iowa City,IA,arena,,,,2,1962-03-16,1962-03-17,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000091.
23,butler,kemper-arena,VEN-000099,Kemper Arena,,Kansas City,MO,arena,,,,2,2001-03-16,2001-03-18,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000099.
24,butler,ljvm-coliseum,VEN-000115,Lawrence Joel Veterans Memorial Coliseum,,Winston-Salem,NC,arena,,,,1,2000-03-17,2000-03-17,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration current-main rebase mechanically normalized research venue key 'lawrence-joel-veterans-memorial-coliseum' to authoritative physical venue key 'ljvm-coliseum' (VEN-000115). Integration rebase resolved final global venue ID VEN-000115.
25,butler,little-caesars-arena,VEN-000113,Little Caesars Arena,,Detroit,MI,arena,,,,2,2018-03-16,2018-03-18,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000113.
26,butler,littlejohn-coliseum,VEN-000355,Littlejohn Coliseum,,Clemson,SC,arena,,,,1,1999-03-18,1999-03-18,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000355.
27,butler,lucas-oil-stadium,VEN-000120,Lucas Oil Stadium,,Indianapolis,IN,arena,,,,2,2010-04-03,2010-04-05,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000120.
28,butler,mabee-center,VEN-000121,Mabee Center,,Tulsa,OK,arena,,,,2,1982-03-02,1985-03-07,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000121.
29,butler,mackey-arena,VEN-000122,Mackey Arena,,West Lafayette,IN,arena,,,,1,1992-03-19,1992-03-19,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000122.
30,butler,madison-square-garden-1925,VEN-000123,Madison Square Garden III,Madison Square Garden (1925);MSG III,New York,NY,arena,1925,1968,YEAR,3,1958-03-13,1959-03-14,Butler official record book/postseason history; owner-authorized Butler-relevant conference-tournament workbook where applicable; research-base global venue registry physical-building split.,Definite research-base physical reuse of madison-square-garden-1925 / VEN-000123. Research-time canonical name explicitly distinguishes the 1925-1968 building. Integration rebase resolved final global venue ID VEN-000123. Stage 2 pre-Gate deterministic normalization removed the undated shared alias 'Madison Square Garden' because current global venue identity intentionally splits MSG III (VEN-000123) from MSG IV (VEN-000124); date-specific identity and source-game evidence remain unchanged.
31,butler,madison-square-garden-1968,VEN-000124,Madison Square Garden IV,Madison Square Garden (1968);MSG IV,New York,NY,arena,1968-02-11,,EXACT_START,19,2006-11-22,2026-03-11,Butler official record book/postseason history; owner-authorized Butler-relevant conference-tournament workbook where applicable; research-base global venue registry physical-building split.,Definite research-base physical reuse of madison-square-garden-1968 / VEN-000124. Research-time canonical name explicitly distinguishes the current building. Integration rebase resolved final global venue ID VEN-000124. Stage 2 pre-Gate deterministic normalization removed the undated shared alias 'Madison Square Garden' because current global venue identity intentionally splits MSG III (VEN-000123) from MSG IV (VEN-000124); date-specific identity and source-game evidence remain unchanged.
32,butler,market-square-arena,VEN-000125,Market Square Arena,,Indianapolis,IN,arena,,,,7,1976-02-16,1998-12-19,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000125.
33,butler,memorial-coliseum-kentucky,VEN-000129,Memorial Coliseum,,Lexington,KY,arena,,,,1,1962-03-12,1962-03-12,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration current-main rebase mechanically normalized research venue key 'memorial-coliseum' to authoritative physical venue key 'memorial-coliseum-kentucky' (VEN-000129). Integration rebase resolved final global venue ID VEN-000129.
34,butler,mgm-grand-garden-arena,VEN-000133,MGM Grand Garden Arena,,Paradise,NV,arena,,,,2,2025-03-31,2025-04-02,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration current-main rebase normalized venue-registry city from Las Vegas to Paradise to match authoritative global VEN-000133; source-game site-city evidence was not changed. Integration rebase resolved final global venue ID VEN-000133.
35,butler,smoothie-king-center,VEN-000188,New Orleans Arena,Smoothie King Center,New Orleans,LA,arena,,,,2,2011-03-24,2011-03-26,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration current-main rebase mechanically normalized research venue key 'new-orleans-arena' to authoritative physical venue key 'smoothie-king-center' (VEN-000188). Integration rebase resolved final global venue ID VEN-000188.
36,butler,nutter-center,VEN-000464,Nutter Center,Ervin J. Nutter Center,Fairborn,OH,arena,,,,11,1995-03-04,2007-03-06,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000464.
37,butler,mvp-arena,VEN-000145,Pepsi Arena,Times Union Center;MVP Arena,Albany,NY,arena,,,,1,2003-03-28,2003-03-28,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration current-main rebase mechanically normalized research venue key 'pepsi-arena' to authoritative physical venue key 'mvp-arena' (VEN-000145). Integration rebase resolved final global venue ID VEN-000145.
38,butler,pinnacle-bank-arena,VEN-000165,Pinnacle Bank Arena,,Lincoln,NE,arena,,,,1,2019-03-20,2019-03-20,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000165.
39,butler,lenovo-center,VEN-000110,PNC Arena,Lenovo Center,Raleigh,NC,arena,,,,2,2016-03-17,2016-03-19,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration current-main rebase mechanically normalized research venue key 'pnc-arena' to authoritative physical venue key 'lenovo-center' (VEN-000110). Integration rebase resolved final global venue ID VEN-000110.
40,butler,reliant-stadium,VEN-000172,Reliant Stadium,NRG Stadium,Houston,TX,arena,,,,2,2011-04-02,2011-04-04,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000172.
41,butler,roberts-municipal-stadium,VEN-000177,Roberts Municipal Stadium,,Evansville,IN,arena,,,,2,1980-02-29,1983-03-09,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000177.
42,butler,rupp-arena,VEN-000181,Rupp Arena,,Lexington,KY,arena,,,,3,1998-03-13,2013-03-23,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000181.
43,butler,the-palace-of-auburn-hills,VEN-000206,The Palace of Auburn Hills,,Auburn Hills,MI,arena,,,,1,1997-03-13,1997-03-13,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000206.
44,butler,palestra,VEN-000159,The Palestra,,Philadelphia,PA,arena,,,,1,2012-03-19,2012-03-19,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration current-main rebase mechanically normalized research venue key 'the-palestra' to authoritative physical venue key 'palestra' (VEN-000159). Integration rebase resolved final global venue ID VEN-000159.
45,butler,university-of-dayton-arena,VEN-000221,University of Dayton Arena,UD Arena,Dayton,OH,arena,,,,3,1989-03-09,1991-03-07,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000221.
46,butler,uw-milwaukee-panther-arena,VEN-000224,UW-Milwaukee Panther Arena,U.S. Cellular Arena;Milwaukee Arena,Milwaukee,WI,arena,,,,5,2003-03-11,2011-03-08,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000224.
47,butler,capital-one-arena,VEN-000036,Verizon Center,Capital One Arena,Washington,DC,arena,,,,2,2011-03-17,2011-03-19,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration current-main rebase mechanically normalized research venue key 'verizon-center' to authoritative physical venue key 'capital-one-arena' (VEN-000036). Integration rebase resolved final global venue ID VEN-000036.
48,butler,wolstein-center,VEN-000233,Wolstein Center,CSU Convocation Center,Cleveland,OH,arena,,,,1,2002-03-02,2002-03-02,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000233.
49,butler,met-center,VEN-000372,Met Center,,Bloomington,MN,arena,,,,1,1975-12-27,1975-12-27,Butler official record book/event footnote plus targeted official institutional/event/reciprocal venue research.,Definite physical reuse of VEN-000372 at research_base_sha=e982a0ae746879d3a4c41a4dc128dc0107229f6d; numeric global ID intentionally deferred to Implementation rebase. Integration rebase resolved final global venue ID VEN-000372.
50,butler,hearnes-center,VEN-000077,Hearnes Center,,Columbia,MO,arena,,,,1,1977-12-03,1977-12-03,Butler official record book/event footnote plus targeted official institutional/event/reciprocal venue research.,Definite physical reuse of VEN-000077 at research_base_sha=e982a0ae746879d3a4c41a4dc128dc0107229f6d; numeric global ID intentionally deferred to Implementation rebase. Integration rebase resolved final global venue ID VEN-000077.
51,butler,yuengling-center,VEN-000238,Yuengling Center,USF Sun Dome;Sun Dome,Tampa,FL,arena,,,,1,1991-12-27,1991-12-27,Butler official record book/event footnote plus targeted official institutional/event/reciprocal venue research.,Definite physical reuse of VEN-000238 at research_base_sha=e982a0ae746879d3a4c41a4dc128dc0107229f6d; numeric global ID intentionally deferred to Implementation rebase. Integration rebase resolved final global venue ID VEN-000238.
52,butler,afook-chinen-civic-auditorium,VEN-000465,Afook-Chinen Civic Auditorium,,Hilo,HI,arena,,,,2,1997-11-28,1997-11-30,Butler official record book/event footnote plus targeted official institutional/event/reciprocal venue research.,Research-time new physical venue candidate not found in the global venue registry at research_base_sha=e982a0ae746879d3a4c41a4dc128dc0107229f6d; numeric global ID intentionally deferred to Implementation rebase. Integration rebase resolved final global venue ID VEN-000465.
53,butler,mckale-center,VEN-000127,McKale Center,,Tucson,AZ,arena,,,,3,2000-12-30,2004-12-30,Butler official record book/event footnote plus targeted official institutional/event/reciprocal venue research.,Definite physical reuse of VEN-000127 at research_base_sha=e982a0ae746879d3a4c41a4dc128dc0107229f6d; numeric global ID intentionally deferred to Implementation rebase. Integration rebase resolved final global venue ID VEN-000127.
54,butler,carlson-center,VEN-000466,Carlson Center,,Fairbanks,AK,arena,,,,3,2001-11-16,2001-11-18,Butler official record book/event footnote plus targeted official institutional/event/reciprocal venue research.,Research-time new physical venue candidate not found in the global venue registry at research_base_sha=e982a0ae746879d3a4c41a4dc128dc0107229f6d; numeric global ID intentionally deferred to Implementation rebase. Integration rebase resolved final global venue ID VEN-000466.
55,butler,stan-sheriff-center,VEN-000194,Stan Sheriff Center,,Honolulu,HI,arena,,,,5,2002-12-28,2010-12-25,Butler official record book/event footnote plus targeted official institutional/event/reciprocal venue research.,Definite physical reuse of VEN-000194 at research_base_sha=e982a0ae746879d3a4c41a4dc128dc0107229f6d; numeric global ID intentionally deferred to Implementation rebase. Integration rebase resolved final global venue ID VEN-000194.
56,butler,sullivan-arena,VEN-000361,Sullivan Arena,,Anchorage,AK,arena,,,,3,2007-11-21,2007-11-24,Butler official record book/event footnote plus targeted official institutional/event/reciprocal venue research.,Definite physical reuse of VEN-000361 at research_base_sha=e982a0ae746879d3a4c41a4dc128dc0107229f6d; numeric global ID intentionally deferred to Implementation rebase. Integration rebase resolved final global venue ID VEN-000361.
57,butler,anaheim-convention-center,VEN-000386,Anaheim Convention Center,,Anaheim,CA,arena,,,,3,2009-11-26,2009-11-29,Butler official record book/event footnote plus targeted official institutional/event/reciprocal venue research.,Research-time new physical venue candidate not found in the global venue registry at research_base_sha=e982a0ae746879d3a4c41a4dc128dc0107229f6d; numeric global ID intentionally deferred to Implementation rebase. Integration rebase resolved final global venue ID VEN-000386.
58,butler,brendan-byrne-arena,VEN-000028,Brendan Byrne Arena,Continental Airlines Arena;IZOD Center;Izod Center,East Rutherford,NJ,arena,,,,1,2010-12-04,2010-12-04,Butler official record book/event footnote plus targeted official institutional/event/reciprocal venue research.,Definite physical reuse of VEN-000028 at research_base_sha=e982a0ae746879d3a4c41a4dc128dc0107229f6d; numeric global ID intentionally deferred to Implementation rebase. Integration rebase resolved final global venue ID VEN-000028.
59,butler,lahaina-civic-center,VEN-000108,Lahaina Civic Center,,Lahaina,HI,arena,,,,3,2012-11-19,2012-11-21,Butler official record book/event footnote plus targeted official institutional/event/reciprocal venue research.,Definite physical reuse of VEN-000108 at research_base_sha=e982a0ae746879d3a4c41a4dc128dc0107229f6d; numeric global ID intentionally deferred to Implementation rebase. Integration rebase resolved final global venue ID VEN-000108.
60,butler,hp-field-house,VEN-000084,HP Field House,State Farm Field House,Orlando,FL,arena,,,,6,2013-11-28,2023-11-26,Butler official record book/event footnote plus targeted official institutional/event/reciprocal venue research.,Definite physical reuse of VEN-000084 at research_base_sha=e982a0ae746879d3a4c41a4dc128dc0107229f6d; numeric global ID intentionally deferred to Implementation rebase. Integration rebase resolved final global venue ID VEN-000084.
61,butler,imperial-arena,VEN-000088,Imperial Arena,,Nassau,BS,arena,,,,9,2014-11-26,2022-11-25,Butler official record book/event footnote plus targeted official institutional/event/reciprocal venue research.,Definite physical reuse of VEN-000088 at research_base_sha=e982a0ae746879d3a4c41a4dc128dc0107229f6d; numeric global ID intentionally deferred to Implementation rebase. Integration rebase resolved final global venue ID VEN-000088.
62,butler,coliseo-roberto-clemente,VEN-000467,Coliseo Roberto Clemente,,San Juan,PR,arena,,,,3,2015-11-19,2015-11-22,Butler official record book/event footnote plus targeted official institutional/event/reciprocal venue research.,Research-time new physical venue candidate not found in the global venue registry at research_base_sha=e982a0ae746879d3a4c41a4dc128dc0107229f6d; numeric global ID intentionally deferred to Implementation rebase. Integration rebase resolved final global venue ID VEN-000467.
63,butler,orleans-arena,VEN-000356,Orleans Arena,,Las Vegas,NV,arena,,,,2,2016-11-24,2016-11-25,Butler official record book/event footnote plus targeted official institutional/event/reciprocal venue research.,Definite physical reuse of VEN-000356 at research_base_sha=e982a0ae746879d3a4c41a4dc128dc0107229f6d; numeric global ID intentionally deferred to Implementation rebase. Integration rebase resolved final global venue ID VEN-000356.
64,butler,veterans-memorial-coliseum-portland,VEN-000297,Veterans Memorial Coliseum,Memorial Coliseum,Portland,OR,arena,,,,3,1962-03-12,2017-11-26,Butler official record book/event footnote plus targeted official institutional/event/reciprocal venue research.,Definite physical reuse of VEN-000297 at research_base_sha=e982a0ae746879d3a4c41a4dc128dc0107229f6d; numeric global ID intentionally deferred to Implementation rebase. Integration rebase resolved final global venue ID VEN-000297.
65,butler,moda-center,VEN-000138,Moda Center,,Portland,OR,arena,,,,1,2017-11-24,2017-11-24,Butler official record book/event footnote plus targeted official institutional/event/reciprocal venue research.,Definite physical reuse of VEN-000138 at research_base_sha=e982a0ae746879d3a4c41a4dc128dc0107229f6d; numeric global ID intentionally deferred to Implementation rebase. Integration rebase resolved final global venue ID VEN-000138.
