source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
depaul,#16 Marquette*,marquette,Marquette,TRUE,1,2022-2023,2022-2023,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Albany^,ualbany,Albany,TRUE,1,2008-2009,2008-2009,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Alcorn State,alcorn-state,Alcorn State,TRUE,2,2008-2009,2019-2020,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Amer. Col. Phys. Ed.,american-college-physical-education,American College of Physical Education,FALSE,2,1923-1924,1925-1926,RESOLVED,HISTORICAL_NON_D1_RESEARCHED,,Accepted Stage 2 identity; literal source label preserved.
depaul,American,american-university,American,TRUE,4,1963-1964,2009-2010,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Aquinas,aquinas,Aquinas,FALSE,2,1962-1963,1966-1967,RESOLVED,HISTORICAL_NON_D1_RESEARCHED,,Accepted Stage 2 identity; literal source label preserved.
depaul,Arizona,arizona,Arizona,TRUE,1,1933-1934,1933-1934,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Arizona State,arizona-state,Arizona State,TRUE,1,2013-2014,2013-2014,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Arizona State%,arizona-state,Arizona State,TRUE,1,1982-1983,1982-1983,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Arkansas Pine Bluff,arkansas-pine-bluff,UAPB,TRUE,1,2025-2026,2025-2026,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Arkansas State,arkansas-state,Arkansas State,TRUE,3,1938-1939,1945-1946,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Arkansas State&,arkansas-state,Arkansas State,TRUE,1,1940-1941,1940-1941,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Arkansas-Pine Bluff^,arkansas-pine-bluff,UAPB,TRUE,1,2011-2012,2011-2012,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Army,army,Army,TRUE,2,1959-1960,1976-1977,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Augustana,augustana-sd,Augustana (SD),FALSE,1,1967-1968,1967-1968,RESOLVED,HISTORICAL_NON_D1_CONTEXTUAL_SPLIT,,Accepted Stage 2 identity; literal source label preserved.
depaul,Austin Peay,austin-peay,Austin Peay,TRUE,1,2012-2013,2012-2013,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Baldwin Wallace,baldwin-wallace,Baldwin Wallace,FALSE,1,1956-1957,1956-1957,RESOLVED,HISTORICAL_NON_D1_RESEARCHED,,Accepted Stage 2 identity; literal source label preserved.
depaul,Baldwin-Wallace,baldwin-wallace,Baldwin Wallace,FALSE,7,1958-1959,1966-1967,RESOLVED,HISTORICAL_NON_D1_RESEARCHED,,Accepted Stage 2 identity; literal source label preserved.
depaul,Ball State,ball-state,Ball State,TRUE,1,1979-1980,1979-1980,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Ball State^,ball-state,Ball State,TRUE,1,2010-2011,2010-2011,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Baylor,baylor,Baylor,TRUE,1,1992-1993,1992-1993,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Bellarmine,bellarmine,Bellarmine,TRUE,3,1966-1967,1968-1969,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Beloit,beloit,Beloit,FALSE,3,1932-1933,1945-1946,RESOLVED,HISTORICAL_NON_D1_RESEARCHED,,Accepted Stage 2 identity; literal source label preserved.
depaul,Beloit^,beloit,Beloit,FALSE,2,1950-1951,1951-1952,RESOLVED,HISTORICAL_NON_D1_RESEARCHED,,Accepted Stage 2 identity; literal source label preserved.
depaul,Bethune-Cookman,bethune-cookman,Bethune-Cookman,TRUE,1,2018-2019,2018-2019,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Biscayne College,st-thomas-fl,St. Thomas (FL),FALSE,1,1983-1984,1983-1984,RESOLVED,HISTORICAL_NON_D1_RESEARCHED,,Accepted Stage 2 identity; literal source label preserved.
depaul,Boston College,boston-college,Boston College,TRUE,1,2018-2019,2018-2019,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Bowling Green,bowling-green,Bowling Green,TRUE,7,1956-1957,2004-2005,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Bowling Green^,bowling-green,Bowling Green,TRUE,4,1945-1946,1950-1951,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Bradley,bradley,Bradley,TRUE,9,1976-1977,2005-2006,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Bradley^,bradley,Bradley,TRUE,12,1939-1940,1955-1956,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Brandeis^,brandeis,Brandeis,FALSE,1,1955-1956,1955-1956,RESOLVED,HISTORICAL_NON_D1_RESEARCHED,,Accepted Stage 2 identity; literal source label preserved.
depaul,Bucknell,bucknell,Bucknell,TRUE,1,2005-2006,2005-2006,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Buffalo,buffalo,Buffalo,TRUE,2,2019-2020,2025-2026,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Butler,butler,Butler,TRUE,4,1977-1978,2025-2026,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Butler#,butler,Butler,TRUE,1,1938-1939,1938-1939,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Butler*,butler,Butler,TRUE,12,2013-2014,2024-2025,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Butler^,butler,Butler,TRUE,1,1940-1941,1940-1941,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Cal Poly,cal-poly,Cal Poly,TRUE,1,2011-2012,2011-2012,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,California,california,California,TRUE,3,1998-1999,2006-2007,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,California State,cal-state-east-bay,Cal State East Bay,FALSE,1,1973-1974,1973-1974,RESOLVED,OWNER_IDENTIFIED_HISTORICAL_NON_D1,,Stage 6 owner disposition: California State = Cal State Hayward / present-day Cal State East Bay institutional identity; preserve literal label; historical/non-current-D1.
depaul,California Western,usiu,United States International (USIU),FALSE,1,1968-1969,1968-1969,RESOLVED,HISTORICAL_NON_D1_RESEARCHED,,Accepted Stage 2 identity; literal source label preserved.
depaul,Camp Grant^,camp-grant,Camp Grant,FALSE,1,1942-1943,1942-1943,RESOLVED,HISTORICAL_NON_D1_RESEARCHED,,Accepted Stage 2 identity; literal source label preserved.
depaul,Canisius,canisius,Canisius,TRUE,1,1957-1958,1957-1958,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Carleton,carleton,Carleton,FALSE,1,1931-1932,1931-1932,RESOLVED,HISTORICAL_NON_D1_RESEARCHED,,Accepted Stage 2 identity; literal source label preserved.
depaul,Centenary,centenary,Centenary,FALSE,5,1930-1931,1978-1979,RESOLVED,HISTORICAL_NON_D1_RESEARCHED,,Accepted Stage 2 identity; literal source label preserved.
depaul,Centenary&,centenary,Centenary,FALSE,1,1939-1940,1939-1940,RESOLVED,HISTORICAL_NON_D1_RESEARCHED,,Accepted Stage 2 identity; literal source label preserved.
depaul,Central Connecticut,central-connecticut,Central Connecticut,TRUE,1,2017-2018,2017-2018,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Central Michigan,central-michigan,Central Michigan,TRUE,4,2002-2003,2021-2022,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Central Michigan^,central-michigan,Central Michigan,TRUE,1,2018-2019,2018-2019,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Central Missouri,central-missouri,Central Missouri,FALSE,1,1967-1968,1967-1968,RESOLVED,HISTORICAL_NON_D1_RESEARCHED,,Accepted Stage 2 identity; literal source label preserved.
depaul,Central Normal%#,central-normal,Central Normal,FALSE,1,1935-1936,1935-1936,RESOLVED,HISTORICAL_NON_D1_RESEARCHED,,Accepted Stage 2 identity; literal source label preserved.
depaul,Chaminade%,chaminade,Chaminade,FALSE,1,1988-1989,1988-1989,RESOLVED,HISTORICAL_NON_D1_RESEARCHED,,Accepted Stage 2 identity; literal source label preserved.
depaul,Charlotte,charlotte,Charlotte,TRUE,2,1971-1972,1997-1998,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Charlotte*,charlotte,Charlotte,TRUE,7,1996-1997,2003-2004,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Chicago,chicago,Chicago,FALSE,2,1939-1940,2019-2020,RESOLVED,HISTORICAL_NON_D1_RESEARCHED,,Accepted Stage 2 identity; literal source label preserved.
depaul,Chicago Athletic Assoc.,chicago-athletic-association,Chicago Athletic Association,FALSE,1,1927-1928,1927-1928,RESOLVED,HISTORICAL_NON_D1_RESEARCHED,,Accepted Stage 2 identity; literal source label preserved.
depaul,Chicago Chiropractic,chicago-chiropractic,Chicago Chiropractic,FALSE,1,1923-1924,1923-1924,RESOLVED,HISTORICAL_NON_D1_RESEARCHED,,Accepted Stage 2 identity; literal source label preserved.
depaul,Chicago State,chicago-state,Chicago State,TRUE,14,1992-1993,2025-2026,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Chicago State#,chicago-state,Chicago State,TRUE,1,2016-2017,2016-2017,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Chicago State^,chicago-state,Chicago State,TRUE,1,2010-2011,2010-2011,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Chicago Teachers,chicago-state,Chicago State,TRUE,9,1939-1940,1951-1952,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Chicago^,chicago,Chicago,FALSE,1,1943-1944,1943-1944,RESOLVED,HISTORICAL_NON_D1_RESEARCHED,,Accepted Stage 2 identity; literal source label preserved.
depaul,Chico State,chico-state,Chico State,FALSE,1,1984-1985,1984-1985,RESOLVED,HISTORICAL_NON_D1_RESEARCHED,,Accepted Stage 2 identity; literal source label preserved.
depaul,Christian Brothers,christian-brothers,Christian Brothers,FALSE,6,1958-1959,1965-1966,RESOLVED,HISTORICAL_NON_D1_RESEARCHED,,Accepted Stage 2 identity; literal source label preserved.
depaul,Cicero Merchants,cicero-merchants,Cicero Merchants,FALSE,1,1945-1946,1945-1946,RESOLVED,HISTORICAL_NON_D1_RESEARCHED,,Accepted Stage 2 identity; literal source label preserved.
depaul,Cincinnati,cincinnati,Cincinnati,TRUE,2,1975-1976,1997-1998,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Cincinnati%,cincinnati,Cincinnati,TRUE,1,1959-1960,1959-1960,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Cincinnati&,cincinnati,Cincinnati,TRUE,1,1989-1990,1989-1990,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Cincinnati*,cincinnati,Cincinnati,TRUE,14,1991-1992,2012-2013,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Cincinnati^,cincinnati,Cincinnati,TRUE,2,1949-1950,1951-1952,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Cincinnati^*,cincinnati,Cincinnati,TRUE,3,1996-1997,2001-2002,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Cleveland State,cleveland-state,Cleveland State,TRUE,2,1985-1986,2018-2019,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Coastal Carolina^,coastal-carolina,Coastal Carolina,TRUE,1,2018-2019,2018-2019,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Columbia,columbia,Columbia,TRUE,1,2009-2010,2009-2010,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Concordia,concordia-chicago,Concordia Chicago,FALSE,5,1939-1940,1943-1944,RESOLVED,HISTORICAL_NON_D1_RESEARCHED,,Accepted Stage 2 identity; literal source label preserved.
depaul,Coppin State,coppin-state,Coppin State,TRUE,1,2021-2022,2021-2022,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Cornell,cornell,Cornell,TRUE,1,2019-2020,2019-2020,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Cornell College,cornell-college,Cornell College,FALSE,1,1930-1931,1930-1931,RESOLVED,HISTORICAL_NON_D1_RESEARCHED,,Accepted Stage 2 identity; literal source label preserved.
depaul,Creighton,creighton,Creighton,TRUE,13,1937-1938,2025-2026,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Creighton&,creighton,Creighton,TRUE,1,1989-1990,1989-1990,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Creighton*,creighton,Creighton,TRUE,12,2013-2014,2024-2025,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Davidson%,davidson,Davidson,TRUE,1,1982-1983,1982-1983,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Dayton,dayton,Dayton,TRUE,31,1928-1929,2004-2005,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Dayton&,dayton,Dayton,TRUE,1,2003-2004,2003-2004,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Dayton*,dayton,Dayton,TRUE,2,1993-1994,1994-1995,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Delaware State,delaware-state,Delaware State,TRUE,1,2017-2018,2017-2018,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Denver,denver,Denver,TRUE,1,1961-1962,1961-1962,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Denver^,denver,Denver,TRUE,1,1948-1949,1948-1949,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Des Moines,des-moines-university-historical,Des Moines University (historical),FALSE,1,1928-1929,1928-1929,RESOLVED,HISTORICAL_NON_D1_RESEARCHED,,Accepted Stage 2 identity; literal source label preserved.
depaul,Detroit,detroit-mercy,Detroit Mercy,TRUE,17,1926-1927,2009-2010,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Detroit Mercy,detroit-mercy,Detroit Mercy,TRUE,2,1932-1933,2025-2026,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Detroit^,detroit-mercy,Detroit Mercy,TRUE,2,1939-1940,1939-1940,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Doane,doane,Doane,FALSE,1,1968-1969,1968-1969,RESOLVED,HISTORICAL_NON_D1_RESEARCHED,,Accepted Stage 2 identity; literal source label preserved.
depaul,Drake,drake,Drake,TRUE,5,1935-1936,2014-2015,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Drake^,drake,Drake,TRUE,1,2016-2017,2016-2017,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Dubuque,dubuque,University of Dubuque,FALSE,1,1971-1972,1971-1972,RESOLVED,HISTORICAL_NON_D1_RESEARCHED,,Accepted Stage 2 identity; literal source label preserved.
depaul,Duke^,duke,Duke,TRUE,1,1998-1999,1998-1999,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Duquesne,duquesne,Duquesne,TRUE,13,1957-1958,2024-2025,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Duquesne#,duquesne,Duquesne,TRUE,1,1938-1939,1938-1939,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Duquesne%,duquesne,Duquesne,TRUE,1,1955-1956,1955-1956,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Duquesne^,duquesne,Duquesne,TRUE,1,1952-1953,1952-1953,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,East Carolina*,east-carolina,East Carolina,TRUE,3,2001-2002,2004-2005,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,East Tennessee State,east-tennessee-state,East Tennessee State,TRUE,1,1969-1970,1969-1970,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Eastern Illinois,eastern-illinois,Eastern Illinois,TRUE,8,1971-1972,2024-2025,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Eastern Michigan,eastern-michigan,Eastern Michigan,TRUE,2,1976-1977,1978-1979,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Eastern Michigan#,eastern-michigan,Eastern Michigan,TRUE,1,2021-2022,2021-2022,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Eastern Washington,eastern-washington,Eastern Washington,TRUE,1,1984-1985,1984-1985,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Elmhurst,elmhurst,Elmhurst,FALSE,6,1923-1924,1954-1955,RESOLVED,HISTORICAL_NON_D1_RESEARCHED,,Accepted Stage 2 identity; literal source label preserved.
depaul,Elon,elon,Elon,TRUE,1,1999-2000,1999-2000,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Evansville,evansville,Evansville,TRUE,6,1977-1978,1987-1988,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,FIU,florida-international,FIU,TRUE,1,2002-2003,2002-2003,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Fairfield,fairfield,Fairfield,TRUE,3,2000-2001,2012-2013,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Fairleigh Dickinson,fairleigh-dickinson,Fairleigh Dickinson,TRUE,1,2019-2020,2019-2020,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Fairleigh-Dickinson,fairleigh-dickinson,Fairleigh Dickinson,TRUE,1,1982-1983,1982-1983,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Florida A&M,florida-a-m,Florida A&M,TRUE,1,2018-2019,2018-2019,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Florida Atlantic,florida-atlantic,Florida Atlantic,TRUE,2,2010-2011,2013-2014,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Florida Gulf Coast,florida-gulf-coast,Florida Gulf Coast,TRUE,1,2007-2008,2007-2008,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
depaul,Florida International,florida-international,Florida International,TRUE,2,1990-1991,2005-2006,RESOLVED,CURRENT_PROGRAM_REGISTRY_OR_ACCEPTED_ALIAS,,Accepted Stage 2 identity; literal source label preserved.
