source_game_id,source_program_key,season_label,game_date,source_opponent_label,normalized_opponent_key,normalized_opponent_name,team_score,opponent_score,played_result,overtime_periods,curated_site_type,curated_venue_name,city,state,curated_game_type,curated_postseason_round,event_or_tournament,administrative_status,site_research_status,site_research_basis,raw_text,source_page,source_series_event_note
DEPRAW-00011,depaul,1923-1924,,Luther,luther,Luther,27,9,W,0,SOURCE_PROGRAM_HOME,University Auditorium,Chicago,IL,REGULAR_SEASON,,,,,,"Luther W, 27-9",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00012,depaul,1923-1924,,Amer. Col. Phys. Ed.,american-college-physical-education,American College of Physical Education,30,15,W,0,SOURCE_PROGRAM_HOME,University Auditorium,Chicago,IL,REGULAR_SEASON,,,,,,"Amer. Col. Phys. Ed. W, 30-15",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00013,depaul,1923-1924,,St. Mary’s (Minn.),st-mary-s-minn,St. Mary’s (Minn.),11,23,L,0,SOURCE_PROGRAM_HOME,University Auditorium,Chicago,IL,REGULAR_SEASON,,,,,,"St. Mary’s (Minn.) L, 11-23",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00014,depaul,1923-1924,,Elmhurst,elmhurst,Elmhurst,37,20,W,0,SOURCE_PROGRAM_HOME,University Auditorium,Chicago,IL,REGULAR_SEASON,,,,,,"Elmhurst W, 37-20",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00015,depaul,1924-1925,1925-01-09,at Northern Illinois,northern-illinois,Northern Illinois,12,9,W,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,"1/9/25 at Northern Illinois W, 12-9",,Normalized package date 1925-01-09; literal source date preserved in raw_text
DEPRAW-00016,depaul,1924-1925,,at Valparaiso,valparaiso,Valparaiso,13,37,L,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,"at Valparaiso L, 13-37",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00017,depaul,1924-1925,1925-01-16,Saint Louis,saint-louis,Saint Louis,11,25,L,0,SOURCE_PROGRAM_HOME,University Auditorium,Chicago,IL,REGULAR_SEASON,,,,,,"1/16/25 Saint Louis L, 11-23",,Stage1 accepted opponent_score correction applied | Normalized package date 1925-01-16; literal source date preserved in raw_text
DEPRAW-00018,depaul,1924-1925,,St. Thomas,st-thomas-minnesota,St. Thomas,24,16,W,0,SOURCE_PROGRAM_HOME,University Auditorium,Chicago,IL,REGULAR_SEASON,,,,,,"St. Thomas W, 24-16",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00019,depaul,1924-1925,,UW-LaCrosse,uw-la-crosse,UW-La Crosse,23,25,L,0,SOURCE_PROGRAM_HOME,University Auditorium,Chicago,IL,REGULAR_SEASON,,,,,,"UW-LaCrosse L, 23-25",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00020,depaul,1924-1925,,at YMCA College,central-ymca-college-chicago,Central YMCA College (Chicago),8,36,L,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,"at YMCA College L, 8-36",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00021,depaul,1924-1925,,at Valpraiso,valparaiso,Valparaiso,13,26,L,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,"at Valpraiso L, 13-26",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00022,depaul,1924-1925,,Elmhurst,elmhurst,Elmhurst,25,11,W,0,SOURCE_PROGRAM_HOME,University Auditorium,Chicago,IL,REGULAR_SEASON,,,,,,"Elmhurst W, 25-11",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00023,depaul,1924-1925,1925-02-06,at Saint Louis,saint-louis,Saint Louis,15,31,L,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,"2/6/25 at Saint Louis L, 17-29",,Stage1 accepted team_score correction applied | Stage1 accepted opponent_score correction applied | Normalized package date 1925-02-06; literal source date preserved in raw_text
DEPRAW-00024,depaul,1924-1925,,at Concordia,concordia-chicago,Concordia Chicago,29,35,L,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,"at Concordia L, 29-35",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00025,depaul,1924-1925,,Lombard,lombard-college,Lombard College,21,42,L,0,SOURCE_PROGRAM_HOME,University Auditorium,Chicago,IL,REGULAR_SEASON,,,,,,"Lombard L, 21-42",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00026,depaul,1924-1925,,vs. Loras,loras,Loras,19,21,L,0,UNKNOWN,,,,REGULAR_SEASON,,,,RESEARCHED_UNRESOLVED,"Completed post-Checkpoint-12 adversarial review did not produce sufficiently supported H/A/N. Preserved explicitly rather than inferred from geography, chronology, or series pattern.","vs. Loras L, 19-21",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00027,depaul,1924-1925,,at Kent College,chicago-kent,Chicago-Kent College of Law,40,19,W,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,"at Kent College W, 40-19",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00028,depaul,1924-1925,,at Lombard,lombard-college,Lombard College,15,29,L,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,"at Lombard L, 15-29",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00029,depaul,1924-1925,,at Loras,loras,Loras,27,33,L,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,"at Loras L, 27-33",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00030,depaul,1924-1925,,at UW-LaCrose,uw-la-crosse,UW-La Crosse,17,20,L,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,"at UW-LaCrose L, 17-20",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00031,depaul,1924-1925,,St. Mary’s (Minn.),st-mary-s-minn,St. Mary’s (Minn.),20,24,L,0,SOURCE_PROGRAM_HOME,University Auditorium,Chicago,IL,REGULAR_SEASON,,,,,,"St. Mary’s (Minn.) L, 20-24",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00032,depaul,1924-1925,,YMCA College,central-ymca-college-chicago,Central YMCA College (Chicago),,,W,0,SOURCE_PROGRAM_HOME,University Auditorium,Chicago,IL,REGULAR_SEASON,,,,,,YMCA College W,,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00033,depaul,1924-1925,,at St. Mary’s (Minn.),st-mary-s-minn,St. Mary’s (Minn.),,,W,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,at St. Mary’s (Minn.) W,,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00034,depaul,1925-1926,,St. Mary’s (Minn.),st-mary-s-minn,St. Mary’s (Minn.),33,18,W,0,SOURCE_PROGRAM_HOME,University Auditorium,Chicago,IL,REGULAR_SEASON,,,,,,"St. Mary’s (Minn.) W, 33-18",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00035,depaul,1925-1926,,Loras,loras,Loras,37,26,W,0,SOURCE_PROGRAM_HOME,University Auditorium,Chicago,IL,REGULAR_SEASON,,,,,,"Loras W, 37-26",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00036,depaul,1925-1926,1926-01-21,at Saint Louis,saint-louis,Saint Louis,43,37,W,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,"1/21/26 at Saint Louis W, 43-37",,Normalized package date 1926-01-21; literal source date preserved in raw_text
DEPRAW-00037,depaul,1925-1926,,at Concordia,concordia-chicago,Concordia Chicago,24,22,W,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,"at Concordia W, 24-22",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00038,depaul,1925-1926,,Valparaiso,valparaiso,Valparaiso,42,24,W,0,SOURCE_PROGRAM_HOME,University Auditorium,Chicago,IL,REGULAR_SEASON,,,,,,"Valparaiso W, 42-24",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00039,depaul,1925-1926,1926-02-02,at Northern Illinois,northern-illinois,Northern Illinois,21,32,L,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,"at Northern Illinois L, 21-32",,
DEPRAW-00040,depaul,1925-1926,,YMCA College,central-ymca-college-chicago,Central YMCA College (Chicago),24,19,W,0,SOURCE_PROGRAM_HOME,University Auditorium,Chicago,IL,REGULAR_SEASON,,,,,,"YMCA College W, 24-19",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00041,depaul,1925-1926,1926-02-09,Northern Illinois,northern-illinois,Northern Illinois,34,19,W,0,SOURCE_PROGRAM_HOME,University Auditorium,Chicago,IL,REGULAR_SEASON,,,,,,"Northern Illinois W, 34-19",,
DEPRAW-00042,depaul,1925-1926,,St. Viator’s,st-viator,St. Viator,27,22,W,0,SOURCE_PROGRAM_HOME,University Auditorium,Chicago,IL,REGULAR_SEASON,,,,,,"St. Viator’s W, 27-22",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00043,depaul,1925-1926,1926-02-19,Saint Louis,saint-louis,Saint Louis,22,38,L,0,SOURCE_PROGRAM_HOME,University Auditorium,Chicago,IL,REGULAR_SEASON,,,,,,"2/19/26 Saint Louis L, 22-38",,Normalized package date 1926-02-19; literal source date preserved in raw_text
DEPRAW-00044,depaul,1925-1926,,Amer. Col. Phys. Ed.,american-college-physical-education,American College of Physical Education,25,21,W,0,SOURCE_PROGRAM_HOME,University Auditorium,Chicago,IL,REGULAR_SEASON,,,,,,"Amer. Col. Phys. Ed. W, 25-21",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00045,depaul,1925-1926,,at St. Viator’s,st-viator,St. Viator,22,45,L,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,"at St. Viator’s L, 22-45",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00046,depaul,1925-1926,,at Loras,loras,Loras,31,33,L,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,"at Loras L, 31-33",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00047,depaul,1925-1926,,at UW-LaCrosse,uw-la-crosse,UW-La Crosse,26,21,W,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,"at UW-LaCrosse W, 26-21",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00048,depaul,1925-1926,,at St. Mary’s (Minn.),st-mary-s-minn,St. Mary’s (Minn.),36,20,W,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,"at St. Mary’s (Minn.) W, 36-20",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00049,depaul,1925-1926,,at Valparaiso,valparaiso,Valparaiso,26,33,L,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,"at Valparaiso L, 26-33",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00050,depaul,1926-1927,1927-01-10,vs. Saint Louis,saint-louis,Saint Louis,28,13,W,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,"1/21/26 vs. Saint Louis W, 28-13",,Stage1 accepted date normalization: 1/21/26 -> 1927-01-10
DEPRAW-00051,depaul,1926-1927,,vs. Augustana,augustana-il,Augustana (IL),27,20,W,0,UNKNOWN,,,,REGULAR_SEASON,,,,RESEARCHED_UNRESOLVED,"Completed post-Checkpoint-12 adversarial review did not produce sufficiently supported H/A/N. Preserved explicitly rather than inferred from geography, chronology, or series pattern.","vs. Augustana W, 27-20",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00052,depaul,1926-1927,1927-01-18,Valparaiso,valparaiso,Valparaiso,21,20,W,0,SOURCE_PROGRAM_HOME,University Auditorium,Chicago,IL,REGULAR_SEASON,,,,,,"1/18/27 Valparaiso W, 21-20",,Normalized package date 1927-01-18; literal source date preserved in raw_text
DEPRAW-00053,depaul,1926-1927,,at St. Viator’s,st-viator,St. Viator,20,24,L,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,"at St. Viator’s L, 20-24",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00054,depaul,1926-1927,,vs. St. Thomas,st-thomas-minnesota,St. Thomas,26,23,W,0,SOURCE_PROGRAM_HOME,,Chicago,IL,REGULAR_SEASON,,,,RESEARCHED_UNRESOLVED_HOME_VENUE,H/A/N resolved to DePaul HOME during completed post-Checkpoint-12 review; exact individual physical building could not be safely established and is not inferred from facility chronology.,"vs. St. Thomas W, 26-23",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00055,depaul,1926-1927,,Detroit,detroit-mercy,Detroit Mercy,32,29,W,0,SOURCE_PROGRAM_HOME,University Auditorium,Chicago,IL,REGULAR_SEASON,,,,,,"Detroit W, 32-29",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00056,depaul,1926-1927,,St. Mary’s (Minn.),st-mary-s-minn,St. Mary’s (Minn.),30,19,W,0,SOURCE_PROGRAM_HOME,University Auditorium,Chicago,IL,REGULAR_SEASON,,,,,,"St. Mary’s (Minn.) W, 30-19",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00057,depaul,1926-1927,1927-02-12,vs. Saint Louis,saint-louis,Saint Louis,31,13,W,0,SOURCE_PROGRAM_HOME,University Auditorium,Chicago,IL,REGULAR_SEASON,,,,,,"2/19/26 vs. Saint Louis W, 31-13",,Stage1 accepted date normalization: 2/19/26 -> 1927-02-12
DEPRAW-00058,depaul,1926-1927,,vs. Loras,loras,Loras,12,20,L,0,UNKNOWN,,,,REGULAR_SEASON,,,,RESEARCHED_UNRESOLVED,"Completed post-Checkpoint-12 adversarial review did not produce sufficiently supported H/A/N. Preserved explicitly rather than inferred from geography, chronology, or series pattern.","vs. Loras L, 12-20",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00059,depaul,1926-1927,,vs. St. Thomas,st-thomas-minnesota,St. Thomas,26,27,L,0,SOURCE_PROGRAM_HOME,,Chicago,IL,REGULAR_SEASON,,,,RESEARCHED_UNRESOLVED_HOME_VENUE,H/A/N resolved to DePaul HOME during completed post-Checkpoint-12 review; exact individual physical building could not be safely established and is not inferred from facility chronology.,"vs. St. Thomas L, 26-27",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00060,depaul,1926-1927,,at St. Mary’s (Minn.),st-mary-s-minn,St. Mary’s (Minn.),25,27,L,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,"at St. Mary’s (Minn.) L, 25-27",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00061,depaul,1926-1927,,at St. Viator’s,st-viator,St. Viator,17,29,L,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,"at St. Viator’s L, 17-29",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00062,depaul,1926-1927,,vs. Valparaiso,valparaiso,Valparaiso,24,31,L,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,"vs. Valparaiso L, 24-31",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00063,depaul,1926-1927,,vs. Chicago Athletic Assoc.,chicago-athletic-association,Chicago Athletic Association,23,27,L,0,UNKNOWN,,,,REGULAR_SEASON,,,,RESEARCHED_UNRESOLVED,"Completed post-Checkpoint-12 adversarial review did not produce sufficiently supported H/A/N. Preserved explicitly rather than inferred from geography, chronology, or series pattern.","vs. Chicago Athletic Assoc. L, 23-27",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00064,depaul,1927-1928,1928-01-14,Chicago Athletic Assoc.,chicago-athletic-association,Chicago Athletic Association,19,22,L,0,SOURCE_PROGRAM_HOME,University Auditorium,Chicago,IL,REGULAR_SEASON,,,,,,"1/14/28 Chicago Athletic Assoc. L, 19-22",,Normalized package date 1928-01-14; literal source date preserved in raw_text
DEPRAW-00065,depaul,1927-1928,1928-01-19,at Loras,loras,Loras,18,14,W,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,"1/19/28 at Loras W, 18-14",,Normalized package date 1928-01-19; literal source date preserved in raw_text
DEPRAW-00066,depaul,1927-1928,1928-01-19,at St. Ambrose,st-ambrose,St. Ambrose,12,37,L,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,"1/19/28 at St. Ambrose L, 12-37",,Normalized package date 1928-01-19; literal source date preserved in raw_text
DEPRAW-00067,depaul,1927-1928,1928-02-03,Saint Louis,saint-louis,Saint Louis,31,14,W,0,SOURCE_PROGRAM_HOME,University Auditorium,Chicago,IL,REGULAR_SEASON,,,,,,"2/3/28 Saint Louis W, 31-14",,Normalized package date 1928-02-03; literal source date preserved in raw_text
DEPRAW-00068,depaul,1927-1928,,St. Viator’s,st-viator,St. Viator,10,15,L,0,SOURCE_PROGRAM_HOME,University Auditorium,Chicago,IL,REGULAR_SEASON,,,,,,"St. Viator’s L, 10-15",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00069,depaul,1927-1928,1928-02-18,at Concordia-St. Louis,concordia-seminary-st-louis,Concordia Seminary (St. Louis),26,40,L,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,"2/18/28 at Concordia-St. Louis L, 26-40",,Normalized package date 1928-02-18; literal source date preserved in raw_text
DEPRAW-00070,depaul,1927-1928,1928-02-27,at Detroit,detroit-mercy,Detroit Mercy,19,27,L,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,"2/27/28 at Detroit L, 19-27",,Normalized package date 1928-02-27; literal source date preserved in raw_text
DEPRAW-00071,depaul,1927-1928,1928-02-29,St. Ambrose,st-ambrose,St. Ambrose,15,33,L,0,SOURCE_PROGRAM_HOME,University Auditorium,Chicago,IL,REGULAR_SEASON,,,,,,"2/29/28 St. Ambrose L, 15-33",,Normalized package date 1928-02-29; literal source date preserved in raw_text
DEPRAW-00072,depaul,1927-1928,,vs. Saint Louis,saint-louis,Saint Louis,17,34,L,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,"vs. Saint Louis L, 17-34",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00073,depaul,1928-1929,,at Illinois “B”,illinois-b,Illinois B reserve squad,21,16,W,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,"at Illinois “B” W, 21-16",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00074,depaul,1928-1929,,at St. Ambrose,st-ambrose,St. Ambrose,24,25,L,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,"at St. Ambrose L, 24-25",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00075,depaul,1928-1929,,at Des Moines,des-moines-university-historical,Des Moines University (historical),39,28,W,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,"at Des Moines W, 39-28",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00076,depaul,1928-1929,,at St. Viator’s,st-viator,St. Viator,21,19,W,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,"at St. Viator’s W, 21-19",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
